hit,seq1,seq2,S,N,t,kappa,omega,dN,dN_SE,dS,dS_SE
Os12t0104200-00_Os11t0104240-00,Os12t0104200-00,Os11t0104240-00,235.9,664.1,0.9912,1.5223,0.4902,0.2596,0.0227,0.5296,0.0729
Os03t0748500-01_Os01t0784800-01,Os03t0748500-01,Os01t0784800-01,123.1,452.9,3.109,1.0781,0.0932,0.3365,0.0329,3.61,4.8435
Os04t0570600-01_Os04t0570000-00,Os04t0570600-01,Os04t0570000-00,271.2,1159.8,1.9638,1.3455,0.1414,0.3043,0.0191,2.1522,1.1427
Os03t0727200-00_Os07t0129700-01,Os03t0727200-00,Os07t0129700-01,174.8,836.2,3.0187,1.0557,0.1051,0.4071,0.0278,3.8727,5.7571
Os04t0508751-00_Os01t0741300-00,Os04t0508751-00,Os01t0741300-00,57.6,275.4,0.0763,4.6,0.1162,0.011,0.0063,0.0944,0.0441
Os02t0267700-00_Os03t0155300-00,Os02t0267700-00,Os03t0155300-00,108.1,641.9,2.2301,1.7626,0.0789,0.277,0.0242,3.5124,4.5433
Os03t0856300-01_Os08t0549300-01,Os03t0856300-01,Os08t0549300-01,111.6,287.4,1.874,0.9617,0.2075,0.302,0.0383,1.4559,0.3161
Os03t0248300-01_Os10t0167250-00,Os03t0248300-01,Os10t0167250-00,142.2,325.8,4.0573,4.4032,0.086,0.3198,0.0379,3.718,5.1996
Os07t0490100-02_Os07t0486700-00,Os07t0490100-02,Os07t0486700-00,220.6,1183.4,0.822,1.6845,0.1778,0.1587,0.0126,0.8924,0.1652
Os11t0210600-01_Os10t0159800-01,Os11t0210600-01,Os10t0159800-01,176.7,708.3,2.3235,1.848,0.1694,0.3913,0.0293,2.3108,0.7393
Os03t0193000-01_Os07t0583600-02,Os03t0193000-01,Os07t0583600-02,366.9,1232.1,3.8787,1.1255,0.081,0.3589,0.0208,4.4289,8.3171
Os12t0446500-00_Os04t0321600-01,Os12t0446500-00,Os04t0321600-01,744.0,2397.0,2.1495,2.0301,0.2165,0.3858,0.0158,1.7819,0.184
Os10t0555900-02_Os02t0658800-01,Os10t0555900-02,Os02t0658800-01,100.1,691.9,2.8734,1.1607,0.0664,0.3449,0.027,5.1941,44.0968
Os06t0109300-01_Os02t0103600-01,Os06t0109300-01,Os02t0103600-01,294.2,761.8,2.0517,1.9666,0.313,0.4244,0.03,1.3558,0.2675
Os02t0120600-01_Os01t0673600-01,Os02t0120600-01,Os01t0673600-01,94.0,350.0,3.1064,0.8619,0.1666,0.5029,0.0509,3.0179,2.5402
Os05t0391300-00_Os10t0332733-00,Os05t0391300-00,Os10t0332733-00,154.0,509.0,0.0319,5.7551,1.8232,0.0119,0.0049,0.0065,0.0065
Os11t0700900-02_Os11t0701400-01,Os11t0700900-02,Os11t0701400-01,80.6,783.4,1.867,1.6139,0.1056,0.3476,0.0255,3.2923,3.9349
Os02t0268400-00_Os03t0428700-01,Os02t0268400-00,Os03t0428700-01,117.8,647.2,2.3605,1.856,0.0781,0.2792,0.0241,3.5766,4.7385
Os06t0286700-00_Os06t0286500-01,Os06t0286700-00,Os06t0286500-01,623.6,1863.4,1.3135,2.255,0.3038,0.2781,0.0143,0.9153,0.092
Os06t0196600-01_Os04t0445700-01,Os06t0196600-01,Os04t0445700-01,367.6,1015.4,0.889,1.1479,0.1255,0.1039,0.0107,0.8278,0.0835
Os05t0232800-00_Os05t0256350-00,Os05t0232800-00,Os05t0256350-00,337.4,982.6,0.0068,4.6,0.6863,0.002,0.0014,0.003,0.003
Os04t0655300-01_Os06t0241100-01,Os04t0655300-01,Os06t0241100-01,152.2,1056.8,2.4399,1.0929,0.1029,0.3878,0.0238,3.7687,5.3761
Os10t0531400-01_Os10t0528100-01,Os10t0531400-01,Os10t0528100-01,88.2,604.8,1.2046,0.9877,0.2101,0.2716,0.0245,1.2926,0.2902
Os04t0641700-00_Os11t0603000-01,Os04t0641700-00,Os11t0603000-01,43.9,244.1,3.0743,1.6783,0.0751,0.3563,0.0465,4.7463,36.6988
Os12t0169800-00_Os04t0560600-01,Os12t0169800-00,Os04t0560600-01,320.3,1149.7,1.9624,1.2537,0.2095,0.359,0.0215,1.7136,0.4203
Os07t0439750-00_Os07t0577801-00,Os07t0439750-00,Os07t0577801-00,73.0,236.0,0.1022,13.1575,0.1931,0.0171,0.0086,0.0888,0.0376
Os04t0555300-01_Os08t0156600-01,Os04t0555300-01,Os08t0156600-01,413.5,1083.5,1.9915,1.9409,0.1429,0.2499,0.0174,1.7485,0.2366
Os08t0505200-01_Os09t0487200-01,Os08t0505200-01,Os09t0487200-01,541.8,1519.2,1.1894,2.6386,0.2076,0.1979,0.0128,0.9532,0.1053
Os04t0691100-01_Os03t0764800-01,Os04t0691100-01,Os03t0764800-01,192.4,827.6,56.6754,1.159,0.0027,0.2714,0.021,99.0,0.0
Os01t0764800-01_Os07t0592600-01,Os01t0764800-01,Os07t0592600-01,166.4,1639.6,27.813,2.2446,0.0017,0.1669,0.011,99.0,0.0
Os01t0928600-01_Os01t0928700-00,Os01t0928600-01,Os01t0928700-00,373.6,1114.4,0.6505,1.296,0.1525,0.0905,0.0094,0.5936,0.0634
Os07t0490100-02_Os09t0119600-01,Os07t0490100-02,Os09t0119600-01,226.6,1171.4,1.531,2.2113,0.138,0.2536,0.0169,1.8375,0.366
Os01t0196500-01_Os05t0200280-01,Os01t0196500-01,Os05t0200280-01,78.0,501.0,0.8542,1.1353,0.1162,0.1407,0.0181,1.2105,0.2786
Os02t0607400-00_Os02t0604800-00,Os02t0607400-00,Os02t0604800-00,194.7,894.3,0.5826,1.6898,0.3554,0.1466,0.0138,0.4127,0.0596
Os07t0663800-01_Os07t0664000-00,Os07t0663800-01,Os07t0664000-00,107.9,726.1,0.8788,3.1002,0.1813,0.1849,0.0177,1.0199,0.2347
Os12t0273800-00_Os04t0206300-00,Os12t0273800-00,Os04t0206300-00,200.0,811.0,1.1324,2.4385,0.1062,0.1416,0.0143,1.3339,0.2029
Os06t0203200-01_Os09t0548400-01,Os06t0203200-01,Os09t0548400-01,357.1,1160.9,4.0018,2.4655,0.088,0.3881,0.0229,4.4085,8.2056
Os01t0901200-01_Os11t0302700-01,Os01t0901200-01,Os11t0302700-01,322.0,956.0,2.1404,1.7486,0.1555,0.3012,0.0209,1.9374,0.3402
Os07t0510400-02_Os07t0564100-01,Os07t0510400-02,Os07t0564100-01,193.6,1225.4,1.2548,1.3463,0.1941,0.267,0.0171,1.3757,0.2172
Os03t0843100-01_Os09t0327100-01,Os03t0843100-01,Os09t0327100-01,136.0,506.0,2.8611,1.9486,0.0596,0.2196,0.0235,3.6846,5.0867
Os03t0583700-00_Os02t0801200-01,Os03t0583700-00,Os02t0801200-01,62.1,261.9,0.2397,2.3669,0.1697,0.0412,0.0128,0.243,0.0755
Os07t0621800-01_Os10t0159800-01,Os07t0621800-01,Os10t0159800-01,225.8,908.2,2.3063,1.3154,0.2049,0.4337,0.0279,2.1166,0.5101
Os09t0284200-01_Os01t0691700-01,Os09t0284200-01,Os01t0691700-01,214.2,691.8,3.0714,1.5227,0.1052,0.3401,0.0267,3.2314,7.965
Os03t0682100-00_Os03t0800000-02,Os03t0682100-00,Os03t0800000-02,187.1,1594.9,1.2022,1.5691,0.1155,0.2221,0.0133,1.9234,0.4385
Os12t0586600-01_Os11t0140400-01,Os12t0586600-01,Os11t0140400-01,657.8,2024.2,2.0507,1.5035,0.1759,0.318,0.0149,1.8085,0.2023
Os11t0569733-00_Os11t0569800-01,Os11t0569733-00,Os11t0569800-01,525.0,1506.0,1.6082,2.2026,0.2144,0.2753,0.0157,1.2841,0.21
Os02t0178800-01_Os06t0653000-01,Os02t0178800-01,Os06t0653000-01,314.3,1554.7,0.9879,1.8063,0.0932,0.125,0.0096,1.3402,0.3387
Os06t0548100-00_Os06t0549900-01,Os06t0548100-00,Os06t0549900-01,193.6,1384.4,2.2665,1.3923,0.0782,0.3087,0.0177,3.9495,6.0563
Os02t0509500-01_Os01t0101900-00,Os02t0509500-01,Os01t0101900-00,26.5,180.5,1.0405,0.9242,0.4245,0.2956,0.0477,0.6964,0.245
Os01t0205900-01_Os02t0240300-01,Os01t0205900-01,Os02t0240300-01,104.7,846.3,1.9535,1.5397,0.0861,0.3004,0.0222,3.488,4.4713
Os10t0365200-00_Os10t0527400-01,Os10t0365200-00,Os10t0527400-01,95.0,607.0,1.6018,2.9441,0.2155,0.3577,0.0299,1.6601,0.4583
Os01t0371500-01_Os01t0353400-00,Os01t0371500-01,Os01t0353400-00,109.3,484.7,2.792,1.2934,0.0985,0.3467,0.0323,3.5205,4.5675
Os01t0721200-00_Os01t0721800-01,Os01t0721200-00,Os01t0721800-01,415.4,1090.6,0.5805,3.4846,0.6143,0.1649,0.0135,0.2685,0.0309
Os07t0112100-00_Os07t0111700-01,Os07t0112100-00,Os07t0111700-01,181.3,1213.7,1.1373,1.3417,0.1829,0.2398,0.016,1.3116,0.2097
Os10t0167900-00_Os11t0530600-01,Os10t0167900-00,Os11t0530600-01,224.0,952.0,3.3449,1.2748,0.1041,0.4224,0.0267,4.0587,6.5092
Os03t0370000-01_Os07t0637300-01,Os03t0370000-01,Os07t0637300-01,269.3,813.7,0.741,1.5723,0.1343,0.0949,0.0113,0.7066,0.0912
Os11t0293800-00_Os12t0152000-00,Os11t0293800-00,Os12t0152000-00,123.3,392.7,3.5586,1.2204,0.1177,0.4248,0.0417,3.611,4.8466
Os11t0272675-00_Os12t0190875-00,Os11t0272675-00,Os12t0190875-00,142.5,490.5,0.0384,4.6,0.2868,0.0082,0.0041,0.0286,0.0144
Os10t0562200-00_Os02t0653900-03,Os10t0562200-00,Os02t0653900-03,207.9,1391.1,2.3175,1.5902,0.0724,0.2897,0.0169,4.0028,6.2732
Os06t0323550-00_Os04t0247700-00,Os06t0323550-00,Os04t0247700-00,141.4,677.6,2.1555,1.4607,0.0252,0.0937,0.0124,3.7135,5.1843
Os03t0251500-01_Os01t0834200-01,Os03t0251500-01,Os01t0834200-01,588.8,1856.2,2.2094,1.6854,0.1415,0.2993,0.0149,2.1149,0.3152
Os05t0171300-01_Os06t0602700-01,Os05t0171300-01,Os06t0602700-01,316.4,922.6,2.1958,1.9713,0.1377,0.2816,0.0204,2.0453,0.3935
Os07t0668900-02_Os01t0936100-01,Os07t0668900-02,Os01t0936100-01,372.5,1046.5,1.7475,2.1389,0.2125,0.2953,0.0198,1.3894,0.267
Os02t0190500-01_Os10t0389800-01,Os02t0190500-01,Os10t0389800-01,524.7,1581.3,2.8018,1.2548,0.2043,0.4739,0.0226,2.3203,0.4343
Os12t0611500-00_Os08t0504200-00,Os12t0611500-00,Os08t0504200-00,146.1,672.9,3.1603,1.6029,0.0179,0.0978,0.0127,5.4548,51.6536
Os01t0210600-02_Os07t0120500-00,Os01t0210600-02,Os07t0120500-00,49.9,373.1,1.9319,0.8589,0.1153,0.3381,0.0364,2.9321,3.1168
Os12t0603800-00_Os11t0134400-00,Os12t0603800-00,Os11t0134400-00,32.0,418.0,21.8763,2.5382,0.0027,0.2656,0.0293,99.0,0.0
Os10t0431900-02_Os09t0361100-01,Os10t0431900-02,Os09t0361100-01,222.7,755.3,3.5504,1.1644,0.0831,0.3367,0.0254,4.0545,6.4912
Os02t0813183-00_Os09t0292350-00,Os02t0813183-00,Os09t0292350-00,88.1,238.9,0.0464,2.2781,1.4814,0.0169,0.0085,0.0114,0.0115
Os09t0537600-01_Os09t0571400-01,Os09t0537600-01,Os09t0571400-01,119.0,418.0,66.8601,1.2843,0.0045,0.4427,0.042,99.0,0.0
Os04t0562800-00_Os02t0669900-01,Os04t0562800-00,Os02t0669900-01,350.1,888.9,1.1499,2.9288,0.2974,0.2299,0.0184,0.7728,0.0951
Os12t0215950-01_Os04t0349700-01,Os12t0215950-01,Os04t0349700-01,705.1,1976.9,1.9102,1.8507,0.2843,0.3831,0.0172,1.3478,0.1928
Os06t0220000-01_Os06t0220300-00,Os06t0220000-01,Os06t0220300-00,106.5,703.5,2.0402,1.9147,0.0722,0.2528,0.0218,3.5014,4.5106
Os04t0447700-01_Os10t0113100-01,Os04t0447700-01,Os10t0113100-01,149.7,810.3,2.5951,1.0563,0.088,0.3307,0.0242,3.7567,5.3336
Os07t0575700-01_Os07t0131375-00,Os07t0575700-01,Os07t0131375-00,490.5,1297.5,2.6749,2.5705,0.1356,0.3244,0.019,2.392,0.4925
Os10t0528900-01_Os10t0530200-01,Os10t0528900-01,Os10t0530200-01,93.0,597.0,1.1506,2.4254,0.2276,0.2632,0.0244,1.1564,0.373
Os10t0529500-01_Os10t0528100-01,Os10t0529500-01,Os10t0528100-01,89.6,606.4,0.8338,1.115,0.2202,0.1909,0.0196,0.867,0.2009
Os11t0227100-00_Os11t0229300-00,Os11t0227100-00,Os11t0229300-00,407.2,1152.8,1.1397,2.0815,0.2951,0.234,0.0162,0.793,0.0906
Os09t0422500-01_Os03t0808100-01,Os09t0422500-01,Os03t0808100-01,606.2,2471.8,3.3824,1.2734,0.0469,0.2254,0.0108,4.8055,10.6792
Os03t0639233-00_Os12t0423484-00,Os03t0639233-00,Os12t0423484-00,55.5,184.5,0.3127,3.5106,0.465,0.0823,0.0222,0.1771,0.0631
Os03t0651800-00_Os02t0491600-00,Os03t0651800-00,Os02t0491600-00,118.8,523.2,2.9313,1.7616,0.1075,0.3851,0.0336,3.5833,4.7594
Os06t0662850-00_Os06t0655200-01,Os06t0662850-00,Os06t0655200-01,66.6,284.4,0.637,2.4787,0.1531,0.1036,0.0201,0.6765,0.2234
Os02t0323600-01_Os05t0416400-00,Os02t0323600-01,Os05t0416400-00,354.7,1097.3,4.1321,2.0075,0.0906,0.3991,0.0239,4.4035,8.1782
Os07t0575600-02_Os07t0283125-00,Os07t0575600-02,Os07t0283125-00,530.4,1470.6,1.9214,2.5215,0.2166,0.327,0.0179,1.5096,0.155
Os03t0688300-01_Os12t0169800-00,Os03t0688300-01,Os12t0169800-00,284.6,1275.4,3.2742,1.1924,0.0918,0.3892,0.0217,4.2383,7.3304
Os01t0771900-01_Os03t0749300-02,Os01t0771900-01,Os03t0749300-02,484.7,1387.3,2.3897,1.7004,0.0959,0.2314,0.0146,2.4139,0.5097
Os10t0577500-01_Os03t0239000-01,Os10t0577500-01,Os03t0239000-01,115.2,835.8,36.9412,0.8801,0.0037,0.3698,0.0259,99.0,0.0
Os01t0851600-01_Os11t0184100-01,Os01t0851600-01,Os11t0184100-01,111.2,677.8,1.0121,7.8489,0.0629,0.1089,0.0135,1.7296,1.4089
Os06t0131500-01_Os02t0200300-02,Os06t0131500-01,Os02t0200300-02,195.9,1058.1,2.241,1.4448,0.2119,0.4724,0.0276,2.23,0.6329
Os03t0626600-01_Os03t0267800-01,Os03t0626600-01,Os03t0267800-01,315.8,1106.2,3.7279,1.1874,0.0846,0.3651,0.0222,4.3164,7.7194
Os01t0677000-01_Os05t0559000-01,Os01t0677000-01,Os05t0559000-01,228.8,1619.2,1.9884,1.408,0.0444,0.1808,0.0116,4.0745,6.5777
Os08t0277200-01_Os02t0808800-01,Os08t0277200-01,Os02t0808800-01,146.1,852.9,2.5901,1.9044,0.0992,0.3708,0.0257,3.7383,5.2696
Os09t0273800-01_Os09t0539500-01,Os09t0273800-01,Os09t0539500-01,59.5,426.5,1.8698,1.5988,0.0922,0.2824,0.03,3.0649,3.3952
Os03t0336400-01_Os03t0822000-02,Os03t0336400-01,Os03t0822000-02,91.9,667.1,1.8182,1.169,0.0656,0.2223,0.0206,3.3908,4.196
Os06t0220000-01_Os06t0220200-00,Os06t0220000-01,Os06t0220200-00,117.2,704.8,2.1239,1.6289,0.0649,0.2318,0.0206,3.5727,4.7264
Os03t0103200-01_Os04t0554600-00,Os03t0103200-01,Os04t0554600-00,59.0,334.0,1.2432,1.2939,0.2154,0.2678,0.0327,1.2437,0.3342
Os03t0782400-00_Os04t0521900-01,Os03t0782400-00,Os04t0521900-01,127.3,334.7,1.3185,2.6881,0.4262,0.3206,0.0374,0.7523,0.1271
Os01t0153300-00_Os01t0152900-00,Os01t0153300-00,Os01t0152900-00,28.8,430.2,0.3058,4.2058,0.0081,0.0117,0.0053,1.4484,0.997
Os01t0734600-01_Os05t0527100-00,Os01t0734600-01,Os05t0527100-00,227.2,1167.8,2.3982,1.5269,0.1361,0.393,0.0228,2.8882,2.6707
Os10t0160100-02_Os02t0771700-01,Os10t0160100-02,Os02t0771700-01,177.1,1061.9,2.7622,1.3065,0.1099,0.4268,0.0255,3.8825,5.7945
Os08t0149333-00_Os10t0143200-00,Os08t0149333-00,Os10t0143200-00,99.8,329.2,1.7847,1.5949,0.3422,0.411,0.0445,1.201,0.3339
Os03t0651800-00_Os02t0491700-00,Os03t0651800-00,Os02t0491700-00,121.8,523.2,2.8745,1.6372,0.0952,0.343,0.0309,3.6015,4.8167
Os04t0653400-01_Os08t0243500-01,Os04t0653400-01,Os08t0243500-01,497.9,1455.1,1.5577,1.3447,0.1065,0.1654,0.0116,1.5532,0.2989
Os02t0572200-01_Os04t0450300-00,Os02t0572200-01,Os04t0450300-00,139.2,757.8,1.5953,1.1402,0.1565,0.2896,0.0229,1.85,1.2558
Os12t0114500-01_Os12t0115100-00,Os12t0114500-01,Os12t0115100-00,46.9,298.1,1.9366,2.2541,0.1016,0.2931,0.0369,2.8859,3.0258
Os03t0815900-01_Os07t0229700-01,Os03t0815900-01,Os07t0229700-01,283.8,811.2,1.1057,2.3209,0.2793,0.2209,0.0187,0.7909,0.1071
Os02t0569400-01_Os08t0507100-00,Os02t0569400-01,Os08t0507100-00,224.3,1266.7,1.5745,2.1304,0.1204,0.25,0.0161,2.0769,0.5889
Os07t0147900-01_Os02t0103800-03,Os07t0147900-01,Os02t0103800-03,222.5,872.5,3.8686,1.1303,0.1442,0.5844,0.0366,4.0538,6.4884
Os04t0633300-00_Os04t0632500-00,Os04t0633300-00,Os04t0632500-00,623.5,1788.5,1.4193,2.5981,0.2559,0.2701,0.0144,1.0554,0.1258
Os05t0201700-00_Os01t0198900-02,Os05t0201700-00,Os01t0198900-02,93.2,500.8,0.9982,1.2184,0.2076,0.2081,0.0229,1.0024,0.2616
Os07t0664200-01_Os12t0260500-01,Os07t0664200-01,Os12t0260500-01,137.9,738.1,1.4087,1.6335,0.1751,0.2696,0.0222,1.5394,0.3155
Os11t0115375-00_Os12t0115150-00,Os11t0115375-00,Os12t0115150-00,113.3,234.7,0.1256,0.2184,6.4963,0.0578,0.0162,0.0089,0.0089
Os12t0628600-01_Os12t0629700-01,Os12t0628600-01,Os12t0629700-01,55.6,475.4,0.2606,2.5883,0.1347,0.0519,0.0107,0.3856,0.1105
Os08t0284500-00_Os07t0486300-00,Os08t0284500-00,Os07t0486300-00,149.2,669.8,0.4934,1.5723,0.0651,0.0455,0.0085,0.6988,0.1375
Os12t0566300-01_Os11t0696200-01,Os12t0566300-01,Os11t0696200-01,312.6,956.4,0.8608,1.2648,0.0375,0.0392,0.0065,1.0449,0.1709
Os11t0131700-01_Os08t0535600-01,Os11t0131700-01,Os08t0535600-01,35.2,183.8,2.2151,1.8975,0.1376,0.3675,0.0551,2.6717,2.6395
Os12t0538600-00_Os12t0538700-01,Os12t0538600-00,Os12t0538700-01,51.6,257.4,2.1166,2.0411,0.0859,0.2541,0.0361,2.9576,3.1684
Os07t0598000-01_Os07t0602000-01,Os07t0598000-01,Os07t0602000-01,170.9,840.1,0.6755,3.121,0.1325,0.1069,0.012,0.8066,0.1505
Os05t0428600-01_Os03t0113700-01,Os05t0428600-01,Os03t0113700-01,443.0,1546.0,4.2507,1.431,0.1123,0.5133,0.0246,4.5702,9.1347
Os03t0351300-00_Os07t0667100-00,Os03t0351300-00,Os07t0667100-00,177.2,1328.8,1.9657,2.5026,0.0876,0.2944,0.0175,3.3609,2.905
Os10t0210500-02_Os02t0768300-01,Os10t0210500-02,Os02t0768300-01,257.8,834.2,2.7448,3.9884,0.1167,0.3283,0.0239,2.8127,1.1726
Os08t0189700-01_Os08t0189850-01,Os08t0189700-01,Os08t0189850-01,197.5,474.5,0.3951,3.7237,0.0362,0.0149,0.0057,0.4123,0.0634
Os04t0537900-01_Os02t0644000-02,Os04t0537900-01,Os02t0644000-02,371.3,1104.7,1.1618,2.4262,0.1589,0.1661,0.0134,1.0453,0.1594
Os03t0688300-01_Os07t0568600-01,Os03t0688300-01,Os07t0568600-01,296.4,1347.6,3.034,1.1431,0.0691,0.295,0.0174,4.2687,7.4795
Os07t0664200-01_Os11t0523110-01,Os07t0664200-01,Os11t0523110-01,151.3,727.7,1.9045,1.0726,0.1953,0.3714,0.0278,1.9016,0.4743
Os04t0554800-01_Os04t0554600-00,Os04t0554800-01,Os04t0554600-00,55.1,334.9,1.8913,1.4253,0.0882,0.256,0.0318,2.9036,2.8553
Os04t0107300-01_Os04t0107200-01,Os04t0107300-01,Os04t0107200-01,179.5,786.5,1.7261,1.6375,0.1229,0.2474,0.0203,2.0127,0.5013
Os04t0444200-01_Os02t0177800-02,Os04t0444200-01,Os02t0177800-02,437.1,1425.9,2.0906,1.3932,0.1161,0.2501,0.0152,2.1544,0.3847
Os06t0115100-01_Os06t0114500-02,Os06t0115100-01,Os06t0114500-02,59.5,171.5,2.3544,2.3669,0.0732,0.1841,0.0361,2.5172,7.839
Os09t0500100-01_Os01t0946850-00,Os09t0500100-01,Os01t0946850-00,258.2,686.8,0.9475,2.7466,0.772,0.2922,0.0242,0.3786,0.0512
Os02t0823700-00_Os03t0108300-02,Os02t0823700-00,Os03t0108300-02,105.8,785.2,1.9971,1.3159,0.0813,0.2841,0.0222,3.4964,4.496
Os07t0523150-00_Os07t0523100-00,Os07t0523150-00,Os07t0523100-00,66.2,248.8,0.0397,4.6,0.0,-0.0,0.0,0.063,0.0319
Os07t0627700-01_Os02t0745700-01,Os07t0627700-01,Os02t0745700-01,181.3,583.7,1.6166,1.4285,0.2353,0.3044,0.0269,1.2936,0.2551
Os12t0114500-01_Os12t0115000-00,Os12t0114500-01,Os12t0115000-00,37.6,301.4,1.6276,2.1656,0.0996,0.2709,0.0349,2.7202,2.7221
Os07t0559700-00_Os04t0453200-01,Os07t0559700-00,Os04t0453200-01,178.7,1333.3,2.3588,1.8618,0.0952,0.3704,0.0205,3.8892,5.8201
Os06t0235000-00_Os06t0234900-00,Os06t0235000-00,Os06t0234900-00,160.6,1096.4,0.8765,1.3536,0.2131,0.1985,0.015,0.9315,0.1893
Os01t0561500-01_Os08t0332150-00,Os01t0561500-01,Os08t0332150-00,100.9,259.1,-0.0,4.6,99.0,-0.0,0.0,-0.0,0.0
Os08t0552333-00_Os08t0553700-00,Os08t0552333-00,Os08t0553700-00,167.7,534.3,1.5031,2.2541,0.35,0.3471,0.031,0.9916,0.2193
Os09t0405001-00_Os09t0405900-00,Os09t0405001-00,Os09t0405900-00,138.7,263.3,0.0608,1.9697,8.0297,0.029,0.0107,0.0036,0.0051
Os04t0291100-01_Os10t0548000-02,Os04t0291100-01,Os10t0548000-02,245.1,696.9,2.3882,1.4449,0.1992,0.3891,0.0293,1.9531,0.695
Os04t0689700-01_Os09t0111800-02,Os04t0689700-01,Os09t0111800-02,168.2,443.8,0.0851,3.0451,1.2336,0.0299,0.0084,0.0243,0.0122
Os12t0639400-01_Os12t0470700-01,Os12t0639400-01,Os12t0470700-01,194.2,1134.8,2.8617,1.5723,0.1116,0.441,0.0253,3.9516,6.0647
Os02t0267700-00_Os05t0477600-01,Os02t0267700-00,Os05t0477600-01,107.5,624.5,2.2367,1.2486,0.0769,0.2698,0.0241,3.5084,4.5313
Os01t0883800-02_Os03t0856700-01,Os01t0883800-02,Os03t0856700-01,134.2,948.8,2.3482,1.3327,0.1018,0.3739,0.0244,3.6742,5.0522
Os08t0372700-00_Os08t0373000-00,Os08t0372700-00,Os08t0373000-00,706.6,1999.4,0.6471,2.6835,0.52,0.1738,0.0103,0.3343,0.0279
Os04t0344400-00_Os04t0340300-01,Os04t0344400-00,Os04t0340300-01,421.2,1288.8,1.5921,1.971,0.3123,0.344,0.0198,1.1018,0.1706
Os05t0324000-01_Os05t0313700-01,Os05t0324000-01,Os05t0313700-01,317.6,1320.4,0.8829,1.2474,0.3696,0.2212,0.0146,0.5984,0.068
Os06t0598800-01_Os02t0731900-01,Os06t0598800-01,Os02t0731900-01,193.2,1306.8,39.2764,1.5656,0.0039,0.3896,0.0214,99.0,0.0
Os07t0575750-00_Os03t0258000-01,Os07t0575750-00,Os03t0258000-01,350.2,1152.8,2.1774,1.7804,0.1253,0.2763,0.018,2.2057,1.1446
