Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
response to oxygen-containing compound (GO:1901700)	10	+	1.16E-02	2.86E-01
organonitrogen compound biosynthetic process (GO:1901566)	91	-	1.20E-02	2.89E-01
hormone metabolic process (GO:0042445)	5	+	1.31E-02	3.08E-01
transcription by RNA polymerase II (GO:0006366)	13	-	1.39E-02	3.19E-01
DNA-templated DNA replication (GO:0006261)	8	-	1.42E-02	3.19E-01
RNA methylation (GO:0001510)	8	-	1.42E-02	3.12E-01
DNA metabolic process (GO:0006259)	24	-	1.59E-02	3.44E-01
cellular component organization or biogenesis (GO:0071840)	168	-	1.79E-02	3.80E-01
phytosteroid metabolic process (GO:0016128)	2	+	1.86E-02	3.87E-01
organelle assembly (GO:0070925)	24	-	1.91E-02	3.89E-01
organic cyclic compound biosynthetic process (GO:1901362)	55	-	1.94E-02	3.87E-01
carbohydrate metabolic process (GO:0005975)	35	+	1.94E-02	3.80E-01
phosphorylation (GO:0016310)	42	+	1.99E-02	3.84E-01
ribosomal large subunit biogenesis (GO:0042273)	12	-	2.08E-02	3.93E-01
macromolecule metabolic process (GO:0043170)	332	-	2.18E-02	4.05E-01
nitrogen compound metabolic process (GO:0006807)	403	-	2.37E-02	4.32E-01
protein-containing complex assembly (GO:0065003)	34	-	2.39E-02	4.29E-01
protein-RNA complex assembly (GO:0022618)	23	-	2.47E-02	4.36E-01
protein-RNA complex organization (GO:0071826)	23	-	2.47E-02	4.29E-01
phosphate-containing compound metabolic process (GO:0006796)	105	+	2.62E-02	4.47E-01
glucan biosynthetic process (GO:0009250)	3	+	2.66E-02	4.47E-01
mRNA processing (GO:0006397)	25	-	2.70E-02	4.47E-01
peptide biosynthetic process (GO:0043043)	36	-	2.81E-02	4.57E-01
translation (GO:0006412)	36	-	2.81E-02	4.50E-01
secondary metabolite biosynthetic process (GO:0044550)	2	+	2.85E-02	4.50E-01
RNA splicing (GO:0008380)	21	-	2.92E-02	4.55E-01
mRNA splicing, via spliceosome (GO:0000398)	21	-	2.92E-02	4.49E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	21	-	2.92E-02	4.42E-01
RNA splicing, via transesterification reactions (GO:0000375)	21	-	2.92E-02	4.36E-01
protein modification process (GO:0036211)	111	+	3.00E-02	4.41E-01
mRNA metabolic process (GO:0016071)	35	-	3.20E-02	4.64E-01
protein phosphorylation (GO:0006468)	39	+	3.21E-02	4.59E-01
DNA repair (GO:0006281)	19	-	3.49E-02	4.92E-01
cellular component organization (GO:0016043)	137	-	3.54E-02	4.94E-01
glutathione metabolic process (GO:0006749)	3	+	3.63E-02	4.99E-01
oligosaccharide biosynthetic process (GO:0009312)	2	+	3.67E-02	4.98E-01
amino acid transport (GO:0006865)	9	+	3.75E-02	5.03E-01
phosphorus metabolic process (GO:0006793)	107	+	4.17E-02	5.51E-01
organelle organization (GO:0006996)	94	-	4.22E-02	5.51E-01
recombinational repair (GO:0000725)	8	-	4.24E-02	5.47E-01
double-strand break repair (GO:0006302)	8	-	4.24E-02	5.40E-01
protein polyubiquitination (GO:0000209)	5	+	4.31E-02	5.44E-01
aromatic compound biosynthetic process (GO:0019438)	50	-	4.38E-02	5.45E-01
response to reactive oxygen species (GO:0000302)	4	+	4.70E-02	5.78E-01
energy derivation by oxidation of organic compounds (GO:0015980)	10	-	4.71E-02	5.74E-01
response to salt stress (GO:0009651)	2	+	4.74E-02	5.70E-01
DNA damage response (GO:0006974)	20	-	4.74E-02	5.64E-01
signaling (GO:0023052)	36	+	4.75E-02	5.59E-01
signal transduction (GO:0007165)	36	+	4.75E-02	5.52E-01
metal ion transport (GO:0030001)	13	+	4.78E-02	5.50E-01
cellular localization (GO:0051641)	79	-	4.96E-02	5.65E-01
cell fate commitment (GO:0045165)	2	+	4.97E-02	5.60E-01
establishment of localization in cell (GO:0051649)	57	-	5.15E-02	5.75E-01
potassium ion transport (GO:0006813)	3	+	5.22E-02	5.76E-01
rRNA modification (GO:0000154)	5	-	5.23E-02	5.71E-01
carbohydrate catabolic process (GO:0016052)	14	+	5.64E-02	6.09E-01
amide biosynthetic process (GO:0043604)	45	-	5.71E-02	6.10E-01
glycolytic process (GO:0006096)	7	+	5.77E-02	6.11E-01
nucleotide catabolic process (GO:0009166)	8	+	5.85E-02	6.14E-01
purine ribonucleotide catabolic process (GO:0009154)	8	+	5.85E-02	6.08E-01
purine nucleotide catabolic process (GO:0006195)	8	+	5.85E-02	6.02E-01
ribonucleotide catabolic process (GO:0009261)	8	+	5.85E-02	5.96E-01
monosaccharide metabolic process (GO:0005996)	11	+	6.49E-02	6.55E-01
protein transmembrane import into intracellular organelle (GO:0044743)	7	-	6.54E-02	6.53E-01
transcription initiation at RNA polymerase II promoter (GO:0006367)	7	-	6.54E-02	6.47E-01
double-strand break repair via homologous recombination (GO:0000724)	7	-	6.54E-02	6.41E-01
response to chemical (GO:0042221)	23	+	6.61E-02	6.42E-01
cellular response to chemical stimulus (GO:0070887)	9	+	6.66E-02	6.41E-01
developmental process (GO:0032502)	17	+	6.96E-02	6.64E-01
response to osmotic stress (GO:0006970)	3	+	7.04E-02	6.66E-01
protein targeting to mitochondrion (GO:0006626)	9	-	7.13E-02	6.68E-01
diterpenoid biosynthetic process (GO:0016102)	2	+	7.32E-02	6.80E-01
diterpenoid metabolic process (GO:0016101)	2	+	7.32E-02	6.74E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	45	-	7.36E-02	6.72E-01
cellular response to hormone stimulus (GO:0032870)	5	+	7.71E-02	6.98E-01
cellular response to endogenous stimulus (GO:0071495)	5	+	7.71E-02	6.92E-01
hormone-mediated signaling pathway (GO:0009755)	5	+	7.71E-02	6.86E-01
cellular response to oxygen-containing compound (GO:1901701)	3	+	7.93E-02	7.00E-01
non-membrane-bounded organelle assembly (GO:0140694)	16	-	8.18E-02	7.16E-01
anatomical structure development (GO:0048856)	14	+	8.23E-02	7.14E-01
intracellular transport (GO:0046907)	49	-	8.24E-02	7.09E-01
electron transport chain (GO:0022900)	4	-	8.26E-02	7.05E-01
maturation of LSU-rRNA (GO:0000470)	4	-	8.26E-02	7.00E-01
maturation of SSU-rRNA (GO:0030490)	4	-	8.26E-02	6.94E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	4	-	8.26E-02	6.89E-01
rRNA methylation (GO:0031167)	4	-	8.26E-02	6.83E-01
cytokinesis (GO:0000910)	2	+	8.47E-02	6.96E-01
mitotic cytokinesis (GO:0000281)	2	+	8.47E-02	6.90E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	2	+	8.47E-02	6.85E-01
cell wall organization or biogenesis (GO:0071554)	13	+	9.24E-02	7.41E-01
cell communication (GO:0007154)	39	+	9.30E-02	7.41E-01
peptide metabolic process (GO:0006518)	44	-	9.78E-02	7.73E-01
carbohydrate biosynthetic process (GO:0016051)	17	+	9.92E-02	7.79E-01
cellular modified amino acid metabolic process (GO:0006575)	7	+	1.00E-01	7.81E-01
protein ubiquitination (GO:0016567)	32	+	1.00E-01	7.77E-01
chromosome organization (GO:0051276)	6	-	1.02E-01	7.81E-01
cellular metabolic process (GO:0044237)	405	-	1.02E-01	7.77E-01
DNA recombination (GO:0006310)	9	-	1.02E-01	7.74E-01
lipid homeostasis (GO:0055088)	5	+	1.05E-01	7.86E-01
carbohydrate transport (GO:0008643)	1	+	1.06E-01	7.93E-01
protein-containing complex organization (GO:0043933)	50	-	1.08E-01	8.00E-01
vacuole organization (GO:0007033)	8	-	1.08E-01	7.95E-01
aerobic respiration (GO:0009060)	8	-	1.08E-01	7.90E-01
cellular respiration (GO:0045333)	8	-	1.08E-01	7.84E-01
autophagosome assembly (GO:0000045)	8	-	1.08E-01	7.79E-01
protein localization to mitochondrion (GO:0070585)	10	-	1.08E-01	7.74E-01
establishment of protein localization to mitochondrion (GO:0072655)	10	-	1.08E-01	7.69E-01
organophosphate catabolic process (GO:0046434)	12	+	1.10E-01	7.76E-01
cell wall biogenesis (GO:0042546)	11	+	1.10E-01	7.73E-01
protein modification by small protein conjugation (GO:0032446)	34	+	1.12E-01	7.82E-01
mitotic cell cycle phase transition (GO:0044772)	1	+	1.14E-01	7.88E-01
cell cycle phase transition (GO:0044770)	1	+	1.14E-01	7.83E-01
regulation of protein kinase activity (GO:0045859)	1	+	1.14E-01	7.78E-01
regulation of transferase activity (GO:0051338)	1	+	1.14E-01	7.73E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	1	+	1.14E-01	7.68E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1	+	1.14E-01	7.63E-01
regulation of kinase activity (GO:0043549)	1	+	1.14E-01	7.58E-01
establishment of protein localization to organelle (GO:0072594)	23	-	1.16E-01	7.69E-01
beta-glucan biosynthetic process (GO:0051274)	2	+	1.20E-01	7.89E-01
cellular response to lipid (GO:0071396)	2	+	1.20E-01	7.84E-01
glucose metabolic process (GO:0006006)	8	+	1.21E-01	7.88E-01
actin filament depolymerization (GO:0030042)	1	+	1.28E-01	8.26E-01
actin polymerization or depolymerization (GO:0008154)	1	+	1.28E-01	8.21E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	10	+	1.28E-01	8.17E-01
nucleoside triphosphate metabolic process (GO:0009141)	10	+	1.28E-01	8.12E-01
tRNA modification (GO:0006400)	3	-	1.33E-01	8.36E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	3	-	1.33E-01	8.31E-01
ATP synthesis coupled electron transport (GO:0042773)	3	-	1.33E-01	8.27E-01
branched-chain amino acid biosynthetic process (GO:0009082)	3	-	1.33E-01	8.22E-01
cytosolic transport (GO:0016482)	3	-	1.33E-01	8.17E-01
respiratory electron transport chain (GO:0022904)	3	-	1.33E-01	8.12E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	3	-	1.33E-01	8.08E-01
ncRNA transcription (GO:0098781)	3	-	1.33E-01	8.03E-01
mitophagy (GO:0000423)	3	-	1.33E-01	7.98E-01
transcription by RNA polymerase III (GO:0006383)	3	-	1.33E-01	7.94E-01
transcription by RNA polymerase I (GO:0006360)	3	-	1.33E-01	7.89E-01
tRNA processing (GO:0008033)	3	-	1.33E-01	7.85E-01
nucleus organization (GO:0006997)	3	-	1.33E-01	7.81E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	3	-	1.33E-01	7.76E-01
aerobic electron transport chain (GO:0019646)	3	-	1.33E-01	7.72E-01
retrograde transport, endosome to Golgi (GO:0042147)	3	-	1.33E-01	7.68E-01
signal peptide processing (GO:0006465)	3	-	1.33E-01	7.64E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	9	+	1.35E-01	7.73E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	9	+	1.35E-01	7.69E-01
nucleoside diphosphate metabolic process (GO:0009132)	9	+	1.35E-01	7.65E-01
nucleoside phosphate catabolic process (GO:1901292)	9	+	1.35E-01	7.61E-01
ATP metabolic process (GO:0046034)	9	+	1.35E-01	7.57E-01
glucose homeostasis (GO:0042593)	1	+	1.38E-01	7.69E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	1	+	1.38E-01	7.65E-01
intracellular glucose homeostasis (GO:0001678)	1	+	1.38E-01	7.61E-01
carbohydrate homeostasis (GO:0033500)	1	+	1.38E-01	7.57E-01
carbohydrate phosphorylation (GO:0046835)	1	+	1.38E-01	7.53E-01
amide metabolic process (GO:0043603)	56	-	1.40E-01	7.59E-01
sulfur compound metabolic process (GO:0006790)	21	+	1.42E-01	7.66E-01
nucleoside diphosphate catabolic process (GO:0009134)	8	+	1.42E-01	7.63E-01
response to abscisic acid (GO:0009737)	3	+	1.44E-01	7.72E-01
mitochondrial transport (GO:0006839)	10	-	1.48E-01	7.89E-01
DNA-templated transcription initiation (GO:0006352)	10	-	1.48E-01	7.85E-01
system development (GO:0048731)	7	+	1.50E-01	7.90E-01
actin filament-based process (GO:0030029)	9	+	1.50E-01	7.89E-01
protein-DNA complex assembly (GO:0065004)	9	-	1.51E-01	7.87E-01
monoatomic ion transport (GO:0006811)	16	+	1.52E-01	7.89E-01
lipid translocation (GO:0034204)	1	+	1.52E-01	7.85E-01
regulation of membrane lipid distribution (GO:0097035)	1	+	1.52E-01	7.82E-01
phospholipid translocation (GO:0045332)	1	+	1.52E-01	7.78E-01
amino acid transmembrane transport (GO:0003333)	7	+	1.53E-01	7.78E-01
post-translational protein modification (GO:0043687)	49	+	1.54E-01	7.80E-01
protein modification by small protein conjugation or removal (GO:0070647)	49	+	1.54E-01	7.76E-01
import into cell (GO:0098657)	9	+	1.59E-01	7.99E-01
branched-chain amino acid metabolic process (GO:0009081)	5	-	1.60E-01	8.00E-01
glycosylation (GO:0070085)	5	-	1.60E-01	7.96E-01
protein import into mitochondrial matrix (GO:0030150)	5	-	1.60E-01	7.92E-01
regulation of cell cycle phase transition (GO:1901987)	5	-	1.60E-01	7.89E-01
ribosomal large subunit assembly (GO:0000027)	5	-	1.60E-01	7.85E-01
spliceosomal snRNP assembly (GO:0000387)	5	-	1.60E-01	7.81E-01
ribonucleotide metabolic process (GO:0009259)	19	+	1.60E-01	7.79E-01
response to oxidative stress (GO:0006979)	6	+	1.61E-01	7.78E-01
cellular response to oxidative stress (GO:0034599)	3	+	1.62E-01	7.79E-01
organic acid transport (GO:0015849)	12	+	1.63E-01	7.81E-01
carboxylic acid transport (GO:0046942)	12	+	1.63E-01	7.78E-01
monoatomic cation transport (GO:0006812)	15	+	1.63E-01	7.75E-01
endosomal transport (GO:0016197)	7	-	1.65E-01	7.78E-01
autophagy of mitochondrion (GO:0000422)	7	-	1.65E-01	7.74E-01
positive regulation of molecular function (GO:0044093)	7	-	1.65E-01	7.71E-01
RNA 3'-end processing (GO:0031123)	7	-	1.65E-01	7.67E-01
terpenoid biosynthetic process (GO:0016114)	4	+	1.67E-01	7.74E-01
hormone transport (GO:0009914)	2	+	1.70E-01	7.85E-01
defense response to fungus (GO:0050832)	2	+	1.70E-01	7.82E-01
methylation (GO:0032259)	11	-	1.70E-01	7.80E-01
mitochondrial translation (GO:0032543)	1	+	1.74E-01	7.94E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	1	+	1.74E-01	7.91E-01
protein hydroxylation (GO:0018126)	1	+	1.74E-01	7.87E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	1	+	1.74E-01	7.84E-01
cell wall organization (GO:0071555)	1	+	1.74E-01	7.81E-01
regulation of protein modification process (GO:0031399)	2	+	1.77E-01	7.89E-01
regulation of phosphorylation (GO:0042325)	2	+	1.77E-01	7.86E-01
regulation of protein phosphorylation (GO:0001932)	2	+	1.77E-01	7.83E-01
primary metabolic process (GO:0044238)	466	-	1.81E-01	7.99E-01
plastid organization (GO:0009657)	8	-	1.82E-01	8.00E-01
establishment of organelle localization (GO:0051656)	8	-	1.82E-01	7.97E-01
protein localization to organelle (GO:0033365)	24	-	1.89E-01	8.23E-01
regulation of molecular function (GO:0065009)	13	-	1.90E-01	8.25E-01
dephosphorylation (GO:0016311)	18	+	1.94E-01	8.39E-01
modification-dependent macromolecule catabolic process (GO:0043632)	48	-	1.98E-01	8.54E-01
modification-dependent protein catabolic process (GO:0019941)	48	-	1.98E-01	8.50E-01
hormone biosynthetic process (GO:0042446)	3	+	2.00E-01	8.52E-01
cellular response to organic substance (GO:0071310)	6	+	2.08E-01	8.85E-01
cell fate specification (GO:0001708)	1	+	2.10E-01	8.90E-01
regulation of transcription by RNA polymerase II (GO:0006357)	48	-	2.11E-01	8.91E-01
organelle disassembly (GO:1903008)	9	-	2.17E-01	9.11E-01
macroautophagy (GO:0016236)	9	-	2.17E-01	9.08E-01
actin filament organization (GO:0007015)	8	+	2.19E-01	9.14E-01
actin cytoskeleton organization (GO:0030036)	8	+	2.19E-01	9.10E-01
proton transmembrane transport (GO:1902600)	2	-	2.19E-01	9.08E-01
extracellular structure organization (GO:0043062)	2	-	2.19E-01	9.04E-01
P-body assembly (GO:0033962)	2	-	2.19E-01	9.01E-01
regulation of amide metabolic process (GO:0034248)	2	-	2.19E-01	8.97E-01
protein localization to extracellular region (GO:0071692)	2	-	2.19E-01	8.94E-01
DNA replication initiation (GO:0006270)	2	-	2.19E-01	8.91E-01
glycogen metabolic process (GO:0005977)	2	-	2.19E-01	8.87E-01
purine nucleoside metabolic process (GO:0042278)	2	-	2.19E-01	8.84E-01
sterol biosynthetic process (GO:0016126)	2	-	2.19E-01	8.80E-01
cell cycle DNA replication (GO:0044786)	2	-	2.19E-01	8.77E-01
extracellular matrix organization (GO:0030198)	2	-	2.19E-01	8.74E-01
pigment biosynthetic process (GO:0046148)	2	-	2.19E-01	8.71E-01
thylakoid membrane organization (GO:0010027)	2	-	2.19E-01	8.67E-01
Golgi to plasma membrane transport (GO:0006893)	2	-	2.19E-01	8.64E-01
tricarboxylic acid cycle (GO:0006099)	2	-	2.19E-01	8.61E-01
glycosyl compound catabolic process (GO:1901658)	2	-	2.19E-01	8.58E-01
glycosyl compound metabolic process (GO:1901657)	2	-	2.19E-01	8.55E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	2	-	2.19E-01	8.51E-01
DNA integrity checkpoint signaling (GO:0031570)	2	-	2.19E-01	8.48E-01
intracellular iron ion homeostasis (GO:0006879)	2	-	2.19E-01	8.45E-01
plastid membrane organization (GO:0009668)	2	-	2.19E-01	8.42E-01
protein secretion (GO:0009306)	2	-	2.19E-01	8.39E-01
nuclear DNA replication (GO:0033260)	2	-	2.19E-01	8.36E-01
double-strand break repair via break-induced replication (GO:0000727)	2	-	2.19E-01	8.33E-01
telomere maintenance (GO:0000723)	2	-	2.19E-01	8.30E-01
nucleoside catabolic process (GO:0009164)	2	-	2.19E-01	8.27E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	2	-	2.19E-01	8.24E-01
nuclear membrane organization (GO:0071763)	2	-	2.19E-01	8.21E-01
microautophagy (GO:0016237)	2	-	2.19E-01	8.18E-01
regulation of intracellular signal transduction (GO:1902531)	2	-	2.19E-01	8.16E-01
spliceosomal complex assembly (GO:0000245)	2	-	2.19E-01	8.13E-01
protein import into peroxisome matrix (GO:0016558)	2	-	2.19E-01	8.10E-01
fatty acid transport (GO:0015908)	2	-	2.19E-01	8.07E-01
nucleoside metabolic process (GO:0009116)	2	-	2.19E-01	8.04E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	2	-	2.19E-01	8.02E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	2	-	2.19E-01	7.99E-01
establishment of protein localization to extracellular region (GO:0035592)	2	-	2.19E-01	7.96E-01
nuclear envelope organization (GO:0006998)	2	-	2.19E-01	7.93E-01
negative regulation of translation (GO:0017148)	2	-	2.19E-01	7.91E-01
purine nucleoside catabolic process (GO:0006152)	2	-	2.19E-01	7.88E-01
rRNA base methylation (GO:0070475)	2	-	2.19E-01	7.85E-01
cell cycle checkpoint signaling (GO:0000075)	2	-	2.19E-01	7.83E-01
carbohydrate derivative transport (GO:1901264)	2	-	2.19E-01	7.80E-01
energy reserve metabolic process (GO:0006112)	2	-	2.19E-01	7.77E-01
monocarboxylic acid transport (GO:0015718)	2	-	2.19E-01	7.75E-01
telomere organization (GO:0032200)	2	-	2.19E-01	7.72E-01
piecemeal microautophagy of the nucleus (GO:0034727)	2	-	2.19E-01	7.70E-01
regulation of translation (GO:0006417)	2	-	2.19E-01	7.67E-01
negative regulation of RNA metabolic process (GO:0051253)	2	-	2.19E-01	7.65E-01
pigment metabolic process (GO:0042440)	2	-	2.19E-01	7.62E-01
negative regulation of protein metabolic process (GO:0051248)	2	-	2.19E-01	7.60E-01
lipid modification (GO:0030258)	13	+	2.23E-01	7.69E-01
ribose phosphate metabolic process (GO:0019693)	21	+	2.23E-01	7.68E-01
mitochondrial transmembrane transport (GO:1990542)	7	-	2.31E-01	7.92E-01
endocytosis (GO:0006897)	8	+	2.31E-01	7.91E-01
potassium ion transmembrane transport (GO:0071805)	2	+	2.35E-01	8.00E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2	+	2.35E-01	7.97E-01
cotranslational protein targeting to membrane (GO:0006613)	2	+	2.35E-01	7.95E-01
multicellular organismal process (GO:0032501)	12	+	2.38E-01	8.03E-01
multicellular organism development (GO:0007275)	12	+	2.38E-01	8.00E-01
protein processing (GO:0016485)	5	-	2.39E-01	8.02E-01
negative regulation of molecular function (GO:0044092)	5	-	2.39E-01	7.99E-01
negative regulation of catalytic activity (GO:0043086)	5	-	2.39E-01	7.97E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	4	+	2.40E-01	7.97E-01
hexose metabolic process (GO:0019318)	9	+	2.41E-01	7.99E-01
aromatic amino acid family catabolic process (GO:0009074)	4	+	2.42E-01	7.99E-01
Golgi vesicle transport (GO:0048193)	19	-	2.43E-01	7.98E-01
organic acid biosynthetic process (GO:0016053)	28	-	2.45E-01	8.02E-01
carboxylic acid biosynthetic process (GO:0046394)	28	-	2.45E-01	8.00E-01
isoprenoid biosynthetic process (GO:0008299)	7	+	2.46E-01	8.03E-01
purine ribonucleotide metabolic process (GO:0009150)	16	+	2.48E-01	8.04E-01
vacuolar transport (GO:0007034)	6	-	2.51E-01	8.13E-01
positive regulation of catalytic activity (GO:0043085)	6	-	2.51E-01	8.11E-01
purine-containing compound catabolic process (GO:0072523)	10	+	2.53E-01	8.14E-01
carbohydrate derivative catabolic process (GO:1901136)	10	+	2.53E-01	8.12E-01
peroxisome organization (GO:0007031)	4	-	2.56E-01	8.18E-01
nucleotide-excision repair (GO:0006289)	4	-	2.56E-01	8.15E-01
post-Golgi vesicle-mediated transport (GO:0006892)	4	-	2.56E-01	8.13E-01
late endosome to vacuole transport (GO:0045324)	4	-	2.56E-01	8.10E-01
oxidative phosphorylation (GO:0006119)	4	-	2.56E-01	8.08E-01
nucleotide-sugar metabolic process (GO:0009225)	4	-	2.56E-01	8.06E-01
alpha-amino acid biosynthetic process (GO:1901607)	19	-	2.57E-01	8.08E-01
mitochondrion organization (GO:0007005)	17	-	2.59E-01	8.10E-01
ribosomal small subunit biogenesis (GO:0042274)	12	-	2.59E-01	8.09E-01
response to cold (GO:0009409)	2	+	2.63E-01	8.19E-01
dicarboxylic acid metabolic process (GO:0043648)	7	+	2.64E-01	8.20E-01
regulation of catalytic activity (GO:0050790)	12	-	2.65E-01	8.22E-01
glutamate metabolic process (GO:0006536)	3	+	2.69E-01	8.32E-01
vegetative to reproductive phase transition of meristem (GO:0010228)	1	+	2.71E-01	8.33E-01
immune system process (GO:0002376)	1	+	2.71E-01	8.31E-01
leaf development (GO:0048366)	1	+	2.71E-01	8.28E-01
innate immune response (GO:0045087)	1	+	2.71E-01	8.26E-01
defense response to symbiont (GO:0140546)	1	+	2.71E-01	8.24E-01
protein K63-linked ubiquitination (GO:0070534)	1	+	2.71E-01	8.21E-01
jasmonic acid metabolic process (GO:0009694)	1	+	2.71E-01	8.19E-01
gibberellin metabolic process (GO:0009685)	1	+	2.71E-01	8.16E-01
programmed cell death (GO:0012501)	1	+	2.71E-01	8.14E-01
cell death (GO:0008219)	1	+	2.71E-01	8.12E-01
postreplication repair (GO:0006301)	1	+	2.71E-01	8.10E-01
long-chain fatty acid metabolic process (GO:0001676)	1	+	2.71E-01	8.07E-01
immune response (GO:0006955)	1	+	2.71E-01	8.05E-01
response to glucose (GO:0009749)	1	+	2.71E-01	8.03E-01
organic anion transport (GO:0015711)	13	+	2.71E-01	8.03E-01
chloroplast organization (GO:0009658)	7	-	2.72E-01	8.02E-01
lipid metabolic process (GO:0006629)	62	+	2.74E-01	8.06E-01
regulation of mRNA metabolic process (GO:1903311)	8	+	2.78E-01	8.14E-01
organic acid transmembrane transport (GO:1903825)	9	+	2.80E-01	8.18E-01
carboxylic acid transmembrane transport (GO:1905039)	9	+	2.80E-01	8.16E-01
cell differentiation (GO:0030154)	6	+	2.85E-01	8.29E-01
