Analysis Type:	PANTHER Enrichment Test (release 20231017)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	strict_OB2GO_for_PANTHER.clean.uniq.txt (Oryza sativa)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
PANTHER GO-Slim Biological Process	number	overUnder	pvalue	fdr
regulation of phosphorylation (GO:0042325)	4	+	6.68E-02	7.33E-01
regulation of protein phosphorylation (GO:0001932)	4	+	6.68E-02	7.26E-01
cellular component biogenesis (GO:0044085)	75	-	6.70E-02	7.21E-01
tRNA metabolic process (GO:0006399)	13	-	6.71E-02	7.14E-01
ribosome biogenesis (GO:0042254)	32	-	6.84E-02	7.20E-01
protein-containing complex assembly (GO:0065003)	30	-	6.98E-02	7.28E-01
heterocycle biosynthetic process (GO:0018130)	38	-	7.05E-02	7.27E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	10	+	7.27E-02	7.42E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	10	+	7.27E-02	7.35E-01
ATP metabolic process (GO:0046034)	10	+	7.27E-02	7.28E-01
regulation of biosynthetic process (GO:0009889)	97	-	7.57E-02	7.51E-01
regulation of cellular biosynthetic process (GO:0031326)	97	-	7.57E-02	7.44E-01
regulation of nitrogen compound metabolic process (GO:0051171)	90	-	7.66E-02	7.46E-01
organelle assembly (GO:0070925)	23	-	7.67E-02	7.40E-01
organonitrogen compound metabolic process (GO:1901564)	316	+	7.70E-02	7.35E-01
cell division (GO:0051301)	6	+	7.89E-02	7.47E-01
glucan biosynthetic process (GO:0009250)	6	+	7.89E-02	7.40E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	41	-	7.96E-02	7.40E-01
regulation of primary metabolic process (GO:0080090)	92	-	8.34E-02	7.69E-01
phospholipid catabolic process (GO:0009395)	5	+	9.20E-02	8.40E-01
nicotinamide nucleotide metabolic process (GO:0046496)	15	+	9.41E-02	8.52E-01
pyridine nucleotide metabolic process (GO:0019362)	15	+	9.41E-02	8.44E-01
regulation of macromolecule biosynthetic process (GO:0010556)	95	-	9.48E-02	8.43E-01
regulation of gene expression (GO:0010468)	95	-	9.48E-02	8.36E-01
cellular response to chemical stimulus (GO:0070887)	11	+	9.53E-02	8.34E-01
actin filament depolymerization (GO:0030042)	1	+	9.62E-02	8.34E-01
protein depolymerization (GO:0051261)	1	+	9.62E-02	8.27E-01
actin polymerization or depolymerization (GO:0008154)	1	+	9.62E-02	8.20E-01
glutathione metabolic process (GO:0006749)	6	+	9.70E-02	8.20E-01
regulation of protein kinase activity (GO:0045859)	3	+	9.88E-02	8.29E-01
regulation of transferase activity (GO:0051338)	3	+	9.88E-02	8.23E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	3	+	9.88E-02	8.16E-01
ceramide biosynthetic process (GO:0046513)	3	+	9.88E-02	8.10E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	3	+	9.88E-02	8.03E-01
regulation of kinase activity (GO:0043549)	3	+	9.88E-02	7.97E-01
organic cyclic compound biosynthetic process (GO:1901362)	49	-	9.89E-02	7.91E-01
glucose homeostasis (GO:0042593)	1	+	1.02E-01	8.07E-01
intracellular glucose homeostasis (GO:0001678)	1	+	1.02E-01	8.01E-01
carbohydrate homeostasis (GO:0033500)	1	+	1.02E-01	7.95E-01
carbohydrate phosphorylation (GO:0046835)	1	+	1.02E-01	7.89E-01
vesicle fusion (GO:0006906)	7	-	1.02E-01	7.85E-01
cell cycle process (GO:0022402)	16	+	1.02E-01	7.80E-01
phospholipid metabolic process (GO:0006644)	20	+	1.03E-01	7.84E-01
cell wall biogenesis (GO:0042546)	9	+	1.04E-01	7.82E-01
purine-containing compound catabolic process (GO:0072523)	9	+	1.05E-01	7.82E-01
carbohydrate derivative catabolic process (GO:1901136)	9	+	1.05E-01	7.76E-01
cellular process (GO:0009987)	655	+	1.11E-01	8.17E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	1	+	1.11E-01	8.14E-01
protein hydroxylation (GO:0018126)	1	+	1.11E-01	8.09E-01
regulation of RNA splicing (GO:0043484)	1	+	1.11E-01	8.03E-01
dephosphorylation (GO:0016311)	22	+	1.12E-01	8.05E-01
organonitrogen compound biosynthetic process (GO:1901566)	86	-	1.14E-01	8.08E-01
epigenetic regulation of gene expression (GO:0040029)	4	+	1.18E-01	8.36E-01
monosaccharide metabolic process (GO:0005996)	10	+	1.23E-01	8.67E-01
regulation of pH (GO:0006885)	4	+	1.25E-01	8.72E-01
external encapsulating structure organization (GO:0045229)	1	+	1.26E-01	8.73E-01
protein targeting to vacuole (GO:0006623)	1	+	1.26E-01	8.67E-01
establishment of protein localization to vacuole (GO:0072666)	1	+	1.26E-01	8.61E-01
protein localization to vacuole (GO:0072665)	1	+	1.26E-01	8.56E-01
cell wall organization (GO:0071555)	1	+	1.26E-01	8.50E-01
regulation of metabolic process (GO:0019222)	109	-	1.27E-01	8.54E-01
protein-containing complex disassembly (GO:0032984)	6	+	1.29E-01	8.60E-01
positive regulation of molecular function (GO:0044093)	6	-	1.30E-01	8.60E-01
monocarboxylic acid catabolic process (GO:0072329)	6	-	1.30E-01	8.54E-01
organelle organization (GO:0006996)	79	-	1.32E-01	8.64E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	10	-	1.33E-01	8.62E-01
positive regulation of biosynthetic process (GO:0009891)	10	-	1.33E-01	8.57E-01
positive regulation of DNA-templated transcription (GO:0045893)	10	-	1.33E-01	8.52E-01
transcription by RNA polymerase II (GO:0006366)	10	-	1.33E-01	8.46E-01
positive regulation of cellular biosynthetic process (GO:0031328)	10	-	1.33E-01	8.41E-01
positive regulation of RNA biosynthetic process (GO:1902680)	10	-	1.33E-01	8.36E-01
aromatic compound biosynthetic process (GO:0019438)	44	-	1.35E-01	8.46E-01
regulation of cellular metabolic process (GO:0031323)	103	-	1.37E-01	8.52E-01
positive regulation of biological process (GO:0048518)	23	-	1.41E-01	8.69E-01
response to stress (GO:0006950)	76	+	1.41E-01	8.65E-01
sulfur compound metabolic process (GO:0006790)	25	+	1.41E-01	8.62E-01
response to oxidative stress (GO:0006979)	6	+	1.44E-01	8.71E-01
cellular catabolic process (GO:0044248)	55	+	1.46E-01	8.81E-01
autophagosome maturation (GO:0097352)	2	+	1.47E-01	8.82E-01
peptide catabolic process (GO:0043171)	2	+	1.47E-01	8.77E-01
ribosomal large subunit biogenesis (GO:0042273)	13	-	1.51E-01	8.95E-01
organelle localization (GO:0051640)	13	-	1.51E-01	8.90E-01
multicellular organism reproduction (GO:0032504)	1	+	1.53E-01	8.97E-01
leaf development (GO:0048366)	1	+	1.53E-01	8.92E-01
protein K63-linked ubiquitination (GO:0070534)	1	+	1.53E-01	8.87E-01
multicellular organismal reproductive process (GO:0048609)	1	+	1.53E-01	8.82E-01
floral organ development (GO:0048437)	1	+	1.53E-01	8.77E-01
postreplication repair (GO:0006301)	1	+	1.53E-01	8.72E-01
cell wall organization or biogenesis (GO:0071554)	12	+	1.59E-01	9.00E-01
regulation of macromolecule metabolic process (GO:0060255)	104	-	1.61E-01	9.08E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	16	-	1.61E-01	9.04E-01
positive regulation of RNA metabolic process (GO:0051254)	16	-	1.61E-01	9.00E-01
peptide biosynthetic process (GO:0043043)	32	-	1.62E-01	9.01E-01
translation (GO:0006412)	32	-	1.62E-01	8.96E-01
vesicle organization (GO:0016050)	14	-	1.67E-01	9.15E-01
positive regulation of cellular process (GO:0048522)	19	-	1.67E-01	9.10E-01
fatty acid catabolic process (GO:0009062)	5	-	1.67E-01	9.06E-01
maturation of LSU-rRNA (GO:0000470)	5	-	1.67E-01	9.01E-01
response to radiation (GO:0009314)	5	-	1.67E-01	8.96E-01
RNA methylation (GO:0001510)	5	-	1.67E-01	8.92E-01
nucleobase-containing compound transport (GO:0015931)	5	-	1.67E-01	8.87E-01
macromolecule methylation (GO:0043414)	5	-	1.67E-01	8.83E-01
fatty acid beta-oxidation (GO:0006635)	5	-	1.67E-01	8.78E-01
response to light stimulus (GO:0009416)	5	-	1.67E-01	8.74E-01
positive regulation of catalytic activity (GO:0043085)	5	-	1.67E-01	8.69E-01
mitochondrial transport (GO:0006839)	9	-	1.68E-01	8.71E-01
regulation of phosphate metabolic process (GO:0019220)	5	+	1.73E-01	8.93E-01
regulation of phosphorus metabolic process (GO:0051174)	5	+	1.73E-01	8.88E-01
purine nucleotide metabolic process (GO:0006163)	23	+	1.80E-01	9.21E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	27	-	1.85E-01	9.39E-01
ribose phosphate metabolic process (GO:0019693)	18	+	1.85E-01	9.37E-01
protein dephosphorylation (GO:0006470)	14	+	1.88E-01	9.44E-01
protein polyubiquitination (GO:0000209)	7	+	1.96E-01	9.82E-01
shoot system development (GO:0048367)	3	+	1.96E-01	9.78E-01
regulation of biological quality (GO:0065008)	22	+	1.96E-01	9.75E-01
chromatin remodeling (GO:0006338)	7	+	1.97E-01	9.72E-01
chromatin organization (GO:0006325)	7	+	1.97E-01	9.67E-01
modification-dependent macromolecule catabolic process (GO:0043632)	45	-	2.01E-01	9.84E-01
modification-dependent protein catabolic process (GO:0019941)	45	-	2.01E-01	9.79E-01
positive regulation of metabolic process (GO:0009893)	21	-	2.03E-01	9.82E-01
positive regulation of macromolecule metabolic process (GO:0010604)	21	-	2.03E-01	9.78E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	21	-	2.03E-01	9.73E-01
polysaccharide biosynthetic process (GO:0000271)	10	+	2.09E-01	9.98E-01
polysaccharide metabolic process (GO:0005976)	17	+	2.11E-01	1.00E00
protein metabolic process (GO:0019538)	237	+	2.13E-01	1.00E00
organelle membrane fusion (GO:0090174)	8	-	2.13E-01	1.00E00
DNA-templated transcription initiation (GO:0006352)	8	-	2.13E-01	1.00E00
mitochondrial transmembrane transport (GO:1990542)	8	-	2.13E-01	9.97E-01
membrane fusion (GO:0061025)	8	-	2.13E-01	9.92E-01
organelle fusion (GO:0048284)	8	-	2.13E-01	9.88E-01
cellular response to steroid hormone stimulus (GO:0071383)	1	+	2.14E-01	9.85E-01
regulation of localization (GO:0032879)	1	+	2.14E-01	9.81E-01
release of sequestered calcium ion into cytosol (GO:0051209)	1	+	2.14E-01	9.77E-01
calcium ion transmembrane import into cytosol (GO:0097553)	1	+	2.14E-01	9.72E-01
polyamine biosynthetic process (GO:0006596)	1	+	2.14E-01	9.68E-01
photosynthesis (GO:0015979)	1	+	2.14E-01	9.64E-01
response to organic cyclic compound (GO:0014070)	1	+	2.14E-01	9.60E-01
cellular response to organic cyclic compound (GO:0071407)	1	+	2.14E-01	9.56E-01
unsaturated fatty acid metabolic process (GO:0033559)	1	+	2.14E-01	9.51E-01
steroid hormone mediated signaling pathway (GO:0043401)	1	+	2.14E-01	9.47E-01
cell cycle G1/S phase transition (GO:0044843)	1	+	2.14E-01	9.43E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	+	2.14E-01	9.39E-01
NLS-bearing protein import into nucleus (GO:0006607)	1	+	2.14E-01	9.35E-01
G1/S transition of mitotic cell cycle (GO:0000082)	1	+	2.14E-01	9.31E-01
response to glucose (GO:0009749)	1	+	2.14E-01	9.27E-01
response to steroid hormone (GO:0048545)	1	+	2.14E-01	9.24E-01
negative regulation of sequestering of calcium ion (GO:0051283)	1	+	2.14E-01	9.20E-01
regulation of sequestering of calcium ion (GO:0051282)	1	+	2.14E-01	9.16E-01
rRNA modification (GO:0000154)	4	-	2.16E-01	9.22E-01
maturation of SSU-rRNA (GO:0030490)	4	-	2.16E-01	9.18E-01
activation of GTPase activity (GO:0090630)	4	-	2.16E-01	9.14E-01
positive regulation of hydrolase activity (GO:0051345)	4	-	2.16E-01	9.10E-01
regulation of hydrolase activity (GO:0051336)	4	-	2.16E-01	9.07E-01
plastid organization (GO:0009657)	4	-	2.16E-01	9.03E-01
establishment of organelle localization (GO:0051656)	4	-	2.16E-01	8.99E-01
recombinational repair (GO:0000725)	4	-	2.16E-01	8.96E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	4	-	2.16E-01	8.92E-01
DNA recombination (GO:0006310)	4	-	2.16E-01	8.89E-01
double-strand break repair (GO:0006302)	4	-	2.16E-01	8.85E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	4	-	2.16E-01	8.82E-01
spliceosomal snRNP assembly (GO:0000387)	4	-	2.16E-01	8.78E-01
chromosome organization (GO:0051276)	4	-	2.16E-01	8.75E-01
positive regulation of GTPase activity (GO:0043547)	4	-	2.16E-01	8.71E-01
nucleotide-sugar metabolic process (GO:0009225)	4	-	2.16E-01	8.68E-01
chromosome segregation (GO:0007059)	4	-	2.16E-01	8.64E-01
regulation of GTPase activity (GO:0043087)	4	-	2.16E-01	8.61E-01
regulation of hormone levels (GO:0010817)	8	+	2.17E-01	8.63E-01
regulation of transcription by RNA polymerase II (GO:0006357)	42	-	2.20E-01	8.68E-01
glucan metabolic process (GO:0044042)	10	+	2.21E-01	8.69E-01
amide biosynthetic process (GO:0043604)	42	-	2.21E-01	8.67E-01
cellular response to hormone stimulus (GO:0032870)	5	+	2.32E-01	9.05E-01
cellular response to organic substance (GO:0071310)	5	+	2.32E-01	9.02E-01
cellular response to endogenous stimulus (GO:0071495)	5	+	2.32E-01	8.98E-01
hormone-mediated signaling pathway (GO:0009755)	5	+	2.32E-01	8.95E-01
purine ribonucleotide metabolic process (GO:0009150)	15	+	2.32E-01	8.94E-01
nucleoside phosphate metabolic process (GO:0006753)	26	+	2.40E-01	9.19E-01
nucleotide metabolic process (GO:0009117)	26	+	2.40E-01	9.16E-01
hormone metabolic process (GO:0042445)	6	+	2.42E-01	9.21E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	5	+	2.43E-01	9.20E-01
ribonucleotide metabolic process (GO:0009259)	17	+	2.43E-01	9.18E-01
positive regulation of cellular metabolic process (GO:0031325)	17	-	2.45E-01	9.22E-01
cellular component organization or biogenesis (GO:0071840)	136	-	2.45E-01	9.19E-01
membrane organization (GO:0061024)	24	-	2.49E-01	9.32E-01
pyrimidine-containing compound metabolic process (GO:0072527)	2	+	2.53E-01	9.43E-01
cellular component organization (GO:0016043)	109	-	2.57E-01	9.52E-01
biological_process (GO:0008150)	940	+	2.59E-01	9.57E-01
detoxification (GO:0098754)	4	+	2.63E-01	9.69E-01
response to toxic substance (GO:0009636)	4	+	2.63E-01	9.65E-01
catabolic process (GO:0009056)	117	+	2.69E-01	9.84E-01
protein localization to mitochondrion (GO:0070585)	7	-	2.73E-01	9.95E-01
establishment of protein localization to mitochondrion (GO:0072655)	7	-	2.73E-01	9.91E-01
lipid metabolic process (GO:0006629)	66	+	2.74E-01	9.90E-01
organic substance catabolic process (GO:1901575)	106	+	2.75E-01	9.93E-01
aromatic amino acid family biosynthetic process (GO:0009073)	8	-	2.75E-01	9.90E-01
cellular lipid metabolic process (GO:0044255)	56	+	2.76E-01	9.88E-01
response to hormone (GO:0009725)	7	+	2.79E-01	9.97E-01
response to endogenous stimulus (GO:0009719)	7	+	2.79E-01	9.93E-01
cellular response to oxidative stress (GO:0034599)	3	+	2.81E-01	9.97E-01
regulation of multicellular organismal process (GO:0051239)	3	-	2.84E-01	1.00E00
spindle assembly (GO:0051225)	3	-	2.84E-01	1.00E00
pattern specification process (GO:0007389)	3	-	2.84E-01	9.97E-01
regulation of amide metabolic process (GO:0034248)	3	-	2.84E-01	9.93E-01
branched-chain amino acid biosynthetic process (GO:0009082)	3	-	2.84E-01	9.90E-01
DNA-templated DNA replication (GO:0006261)	3	-	2.84E-01	9.87E-01
DNA replication (GO:0006260)	3	-	2.84E-01	9.83E-01
cytosolic transport (GO:0016482)	3	-	2.84E-01	9.80E-01
meiotic cell cycle process (GO:1903046)	3	-	2.84E-01	9.77E-01
glycosylation (GO:0070085)	3	-	2.84E-01	9.74E-01
Golgi to plasma membrane transport (GO:0006893)	3	-	2.84E-01	9.70E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	3	-	2.84E-01	9.67E-01
meiotic cell cycle (GO:0051321)	3	-	2.84E-01	9.64E-01
chloroplast organization (GO:0009658)	3	-	2.84E-01	9.61E-01
regulation of multicellular organismal development (GO:2000026)	3	-	2.84E-01	9.58E-01
double-strand break repair via homologous recombination (GO:0000724)	3	-	2.84E-01	9.55E-01
nuclear export (GO:0051168)	3	-	2.84E-01	9.52E-01
macromolecule glycosylation (GO:0043413)	3	-	2.84E-01	9.48E-01
glycoprotein biosynthetic process (GO:0009101)	3	-	2.84E-01	9.45E-01
glycoprotein metabolic process (GO:0009100)	3	-	2.84E-01	9.42E-01
negative regulation of translation (GO:0017148)	3	-	2.84E-01	9.39E-01
protein glycosylation (GO:0006486)	3	-	2.84E-01	9.36E-01
retrograde transport, endosome to Golgi (GO:0042147)	3	-	2.84E-01	9.33E-01
rRNA methylation (GO:0031167)	3	-	2.84E-01	9.30E-01
sexual reproduction (GO:0019953)	3	-	2.84E-01	9.27E-01
regulation of translation (GO:0006417)	3	-	2.84E-01	9.24E-01
negative regulation of protein metabolic process (GO:0051248)	3	-	2.84E-01	9.22E-01
amino acid catabolic process (GO:0009063)	6	+	2.86E-01	9.25E-01
cytoskeleton organization (GO:0007010)	20	+	2.90E-01	9.34E-01
transmembrane transport (GO:0055085)	79	+	2.92E-01	9.37E-01
regulation of cellular pH (GO:0030641)	3	+	2.92E-01	9.36E-01
regulation of intracellular pH (GO:0051453)	3	+	2.92E-01	9.33E-01
protein transmembrane transport (GO:0071806)	10	-	2.93E-01	9.32E-01
post-transcriptional regulation of gene expression (GO:0010608)	10	-	2.93E-01	9.29E-01
protein ubiquitination (GO:0016567)	29	+	2.96E-01	9.36E-01
protein modification by small protein conjugation (GO:0032446)	31	+	2.96E-01	9.35E-01
mitochondrion organization (GO:0007005)	13	-	2.98E-01	9.37E-01
purine-containing compound metabolic process (GO:0072521)	25	+	2.99E-01	9.38E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	3	+	3.04E-01	9.50E-01
'de novo' protein folding (GO:0006458)	3	+	3.04E-01	9.47E-01
regulation of cell cycle (GO:0051726)	13	+	3.08E-01	9.57E-01
cell differentiation (GO:0030154)	7	+	3.11E-01	9.63E-01
cellular developmental process (GO:0048869)	7	+	3.11E-01	9.60E-01
cellular homeostasis (GO:0019725)	19	-	3.15E-01	9.71E-01
DNA metabolic process (GO:0006259)	14	-	3.16E-01	9.71E-01
DNA damage response (GO:0006974)	14	-	3.16E-01	9.68E-01
establishment of localization in cell (GO:0051649)	49	-	3.20E-01	9.77E-01
amine metabolic process (GO:0009308)	10	+	3.24E-01	9.86E-01
generation of precursor metabolites and energy (GO:0006091)	22	+	3.30E-01	1.00E00
response to abiotic stimulus (GO:0009628)	11	-	3.31E-01	1.00E00
localization (GO:0051179)	191	+	3.33E-01	1.00E00
defense response (GO:0006952)	28	+	3.40E-01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	19	-	3.41E-01	1.00E00
receptor-mediated endocytosis (GO:0006898)	3	+	3.50E-01	1.00E00
glutamate metabolic process (GO:0006536)	3	+	3.50E-01	1.00E00
clathrin-dependent endocytosis (GO:0072583)	3	+	3.50E-01	1.00E00
carbohydrate transport (GO:0008643)	3	+	3.50E-01	1.00E00
nuclear transport (GO:0051169)	7	-	3.51E-01	1.00E00
regulation of response to stimulus (GO:0048583)	7	-	3.51E-01	1.00E00
nucleocytoplasmic transport (GO:0006913)	7	-	3.51E-01	1.00E00
protein transmembrane import into intracellular organelle (GO:0044743)	6	-	3.51E-01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	6	-	3.51E-01	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	6	-	3.51E-01	1.00E00
protein targeting to mitochondrion (GO:0006626)	6	-	3.51E-01	1.00E00
ribosomal large subunit assembly (GO:0000027)	6	-	3.51E-01	1.00E00
translational initiation (GO:0006413)	6	-	3.51E-01	1.00E00
proteasomal protein catabolic process (GO:0010498)	32	-	3.51E-01	1.00E00
membrane lipid biosynthetic process (GO:0046467)	8	+	3.55E-01	1.00E00
macromolecule metabolic process (GO:0043170)	338	-	3.62E-01	1.00E00
organonitrogen compound catabolic process (GO:1901565)	73	+	3.63E-01	1.00E00
metabolic process (GO:0008152)	542	+	3.64E-01	1.00E00
