




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	moderate_OB2GO_for_PANTHER.Overrep.txt (Oryza sativa)
Reference List:	Oryza sativa (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Oryza sativa - REFLIST (43658)	moderate_OB2GO_for_PANTHER.Overrep.txt (193)	moderate_OB2GO_for_PANTHER.Overrep.txt (expected)	moderate_OB2GO_for_PANTHER.Overrep.txt (over/under)	moderate_OB2GO_for_PANTHER.Overrep.txt (fold Enrichment)	moderate_OB2GO_for_PANTHER.Overrep.txt (raw P-value)	moderate_OB2GO_for_PANTHER.Overrep.txt (FDR)
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	182	2	.80	+	2.49	1.93E-01	9.83E-01
oxidoreductase activity (GO:0016491)	914	10	4.04	+	2.47	7.83E-03	2.92E-01
transferase activity, transferring one-carbon groups (GO:0016741)	184	2	.81	+	2.46	1.96E-01	9.89E-01
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	647	7	2.86	+	2.45	2.56E-02	5.65E-01
inorganic cation transmembrane transporter activity (GO:0022890)	189	2	.84	+	2.39	2.04E-01	1.00E00
protein serine/threonine kinase activity (GO:0004674)	474	5	2.10	+	2.39	6.02E-02	7.69E-01
carboxylic acid transmembrane transporter activity (GO:0046943)	95	1	.42	+	2.38	3.44E-01	1.00E00
organic acid transmembrane transporter activity (GO:0005342)	95	1	.42	+	2.38	3.44E-01	1.00E00
hydrolase activity (GO:0016787)	1341	14	5.93	+	2.36	2.71E-03	1.64E-01
glycosyltransferase activity (GO:0016757)	289	3	1.28	+	2.35	1.37E-01	9.09E-01
enzyme inhibitor activity (GO:0004857)	97	1	.43	+	2.33	3.50E-01	1.00E00
molecular function inhibitor activity (GO:0140678)	97	1	.43	+	2.33	3.50E-01	1.00E00
passive transmembrane transporter activity (GO:0022803)	98	1	.43	+	2.31	3.53E-01	1.00E00
UDP-glucosyltransferase activity (GO:0035251)	98	1	.43	+	2.31	3.53E-01	1.00E00
channel activity (GO:0015267)	98	1	.43	+	2.31	3.53E-01	1.00E00
chromatin binding (GO:0003682)	99	1	.44	+	2.28	3.55E-01	1.00E00
heterocyclic compound binding (GO:1901363)	200	2	.88	+	2.26	2.22E-01	1.00E00
monoatomic cation transmembrane transporter activity (GO:0008324)	201	2	.89	+	2.25	2.23E-01	1.00E00
transferase activity (GO:0016740)	2134	21	9.43	+	2.23	5.95E-04	7.22E-02
hexosyltransferase activity (GO:0016758)	204	2	.90	+	2.22	2.28E-01	1.00E00
carboxylic ester hydrolase activity (GO:0052689)	103	1	.46	+	2.20	3.67E-01	1.00E00
acyltransferase activity (GO:0016746)	620	6	2.74	+	2.19	5.83E-02	7.86E-01
ion binding (GO:0043167)	416	4	1.84	+	2.18	1.14E-01	9.35E-01
ATP-dependent activity (GO:0140657)	314	3	1.39	+	2.16	1.63E-01	9.63E-01
lipid binding (GO:0008289)	107	1	.47	+	2.11	3.78E-01	1.00E00
catalytic activity (GO:0003824)	4878	44	21.56	+	2.04	4.95E-06	8.01E-04
carbohydrate derivative binding (GO:0097367)	113	1	.50	+	2.00	3.94E-01	1.00E00
kinase activity (GO:0016301)	684	6	3.02	+	1.98	1.31E-01	9.51E-01
small molecule binding (GO:0036094)	462	4	2.04	+	1.96	1.49E-01	9.65E-01
UDP-glycosyltransferase activity (GO:0008194)	116	1	.51	+	1.95	4.02E-01	1.00E00
inorganic molecular entity transmembrane transporter activity (GO:0015318)	234	2	1.03	+	1.93	2.77E-01	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	825	7	3.65	+	1.92	9.98E-02	9.31E-01
protein binding (GO:0005515)	717	6	3.17	+	1.89	1.40E-01	9.21E-01
molecular_function (GO:0003674)	8256	69	36.50	+	1.89	3.19E-08	7.74E-06
glucosyltransferase activity (GO:0046527)	121	1	.53	+	1.87	4.15E-01	1.00E00
enzyme regulator activity (GO:0030234)	250	2	1.11	+	1.81	3.03E-01	1.00E00
molecular adaptor activity (GO:0060090)	128	1	.57	+	1.77	4.33E-01	1.00E00
protein-macromolecule adaptor activity (GO:0030674)	128	1	.57	+	1.77	4.33E-01	1.00E00
molecular function regulator activity (GO:0098772)	269	2	1.19	+	1.68	3.34E-01	1.00E00
catalytic activity, acting on a protein (GO:0140096)	1486	11	6.57	+	1.67	1.05E-01	9.27E-01
transcription regulator activity (GO:0140110)	567	4	2.51	+	1.60	3.23E-01	1.00E00
enzyme binding (GO:0019899)	142	1	.63	+	1.59	4.67E-01	1.00E00
nuclease activity (GO:0004518)	146	1	.65	+	1.55	4.77E-01	1.00E00
peptidase activity (GO:0008233)	305	2	1.35	+	1.48	3.91E-01	1.00E00
DNA-binding transcription factor activity (GO:0003700)	497	3	2.20	+	1.37	4.86E-01	1.00E00
lyase activity (GO:0016829)	169	1	.75	+	1.34	5.28E-01	1.00E00
transcription cis-regulatory region binding (GO:0000976)	350	2	1.55	+	1.29	6.70E-01	1.00E00
transcription regulatory region nucleic acid binding (GO:0001067)	350	2	1.55	+	1.29	6.70E-01	1.00E00
sequence-specific DNA binding (GO:0043565)	532	3	2.35	+	1.28	5.12E-01	1.00E00
binding (GO:0005488)	2879	16	12.73	+	1.26	3.10E-01	1.00E00
DNA binding (GO:0003677)	736	4	3.25	+	1.23	5.71E-01	1.00E00
sequence-specific double-stranded DNA binding (GO:1990837)	374	2	1.65	+	1.21	6.83E-01	1.00E00
organic cyclic compound binding (GO:0097159)	1810	9	8.00	+	1.12	7.15E-01	1.00E00
double-stranded DNA binding (GO:0003690)	423	2	1.87	+	1.07	7.12E-01	1.00E00
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	217	1	.96	+	1.04	6.19E-01	1.00E00
cis-regulatory region sequence-specific DNA binding (GO:0000987)	220	1	.97	+	1.03	6.24E-01	1.00E00
nucleic acid binding (GO:0003676)	1599	7	7.07	-	.99	1.00E00	1.00E00
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	230	1	1.02	-	.98	1.00E00	1.00E00
structural molecule activity (GO:0005198)	243	1	1.07	-	.93	1.00E00	1.00E00
catalytic activity, acting on RNA (GO:0140098)	255	1	1.13	-	.89	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	35402	124	156.50	-	.79	3.19E-08	1.55E-05
ubiquitin-protein transferase activity (GO:0004842)	305	1	1.35	-	.74	1.00E00	1.00E00
ubiquitin-like protein transferase activity (GO:0019787)	323	1	1.43	-	.70	1.00E00	1.00E00
aminoacyltransferase activity (GO:0016755)	324	1	1.43	-	.70	1.00E00	1.00E00
mRNA binding (GO:0003729)	327	1	1.45	-	.69	1.00E00	1.00E00
catalytic activity, acting on a nucleic acid (GO:0140640)	396	1	1.75	-	.57	1.00E00	1.00E00
RNA binding (GO:0003723)	824	2	3.64	-	.55	5.93E-01	1.00E00
ubiquitin ligase-substrate adaptor activity (GO:1990756)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
proton channel activity (GO:0015252)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
identical protein binding (GO:0042802)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H3K4 methyltransferase activity (GO:0042800)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartic-type endopeptidase activity (GO:0004190)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
monoatomic ion-gated channel activity (GO:0022839)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
single-stranded telomeric DNA binding (GO:0043047)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on metal ions (GO:0016722)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated channel activity (GO:0022832)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activity (GO:0004623)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol phosphate phosphatase activity (GO:0052745)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium channel activity (GO:0005267)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	88	0	.39	-	 < 0.01	1.00E00	1.00E00
calcium channel activity (GO:0005262)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
monoatomic cation channel activity (GO:0005261)	37	0	.16	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase activity (GO:0004222)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
sterol transporter activity (GO:0015248)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine binding (GO:0001786)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
metallocarboxypeptidase activity (GO:0004181)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	35	0	.15	-	 < 0.01	1.00E00	1.00E00
syntaxin binding (GO:0019905)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
chloride channel activity (GO:0005254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase binding (GO:0019903)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatase binding (GO:0019902)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-lysine N-methyltransferase activity (GO:0016279)	16	0	.07	-	 < 0.01	1.00E00	1.00E00
protein kinase binding (GO:0019901)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
tubulin binding (GO:0015631)	94	0	.42	-	 < 0.01	1.00E00	1.00E00
lysine N-methyltransferase activity (GO:0016278)	16	0	.07	-	 < 0.01	1.00E00	1.00E00
kinase binding (GO:0019900)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
aminopeptidase activity (GO:0004177)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
endopeptidase activity (GO:0004175)	125	0	.55	-	 < 0.01	1.00E00	1.00E00
enzyme activator activity (GO:0008047)	50	0	.22	-	 < 0.01	1.00E00	1.00E00
DNA N-glycosylase activity (GO:0019104)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin protein ligase activity (GO:0061630)	206	0	.91	-	 < 0.01	1.00E00	1.00E00
RNA cap binding (GO:0000339)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
GTPase activity (GO:0003924)	121	0	.53	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel activity (GO:0005249)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	40	0	.18	-	 < 0.01	1.00E00	1.00E00
carbohydrate binding (GO:0030246)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ribosome binding (GO:0043022)	47	0	.21	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex binding (GO:0043021)	57	0	.25	-	 < 0.01	1.00E00	1.00E00
DNA-directed DNA polymerase activity (GO:0003887)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic ion channel activity (GO:0005244)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
magnesium ion binding (GO:0000287)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	41	0	.18	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate kinase activity (GO:0004550)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA binding (GO:0019843)	57	0	.25	-	 < 0.01	1.00E00	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	23	0	.10	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
neutral L-amino acid transmembrane transporter activity (GO:0015175)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA polymerase activity (GO:0034062)	40	0	.18	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA polymerase activity (GO:0034061)	16	0	.07	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
small GTPase binding (GO:0031267)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activity (GO:0097472)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyribodipyrimidine photo-lyase activity (GO:0003904)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium-activated cation channel activity (GO:0005227)	10	0	.04	-	 < 0.01	1.00E00	1.00E00
xylosyltransferase activity (GO:0042285)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
catalytic activity, acting on DNA (GO:0140097)	132	0	.58	-	 < 0.01	1.00E00	1.00E00
nucleobase transmembrane transporter activity (GO:0015205)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
galactosyltransferase activity (GO:0008378)	26	0	.11	-	 < 0.01	1.00E00	1.00E00
microtubule binding (GO:0008017)	92	0	.41	-	 < 0.01	1.00E00	1.00E00
electron transfer activity (GO:0009055)	20	0	.09	-	 < 0.01	1.00E00	1.00E00
acetylglucosaminyltransferase activity (GO:0008375)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	35	0	.15	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor activity (GO:0004930)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA nuclease activity (GO:0004536)	30	0	.13	-	 < 0.01	1.00E00	1.00E00
hormone activity (GO:0005179)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid binding (GO:0016597)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' exonuclease activity (GO:0008409)	14	0	.06	-	 < 0.01	1.00E00	1.00E00
3'-5' exonuclease activity (GO:0008408)	51	0	.23	-	 < 0.01	1.00E00	1.00E00
SUMO transferase activity (GO:0019789)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein peptidase activity (GO:0019783)	90	0	.40	-	 < 0.01	1.00E00	1.00E00
RNA polymerase binding (GO:0070063)	19	0	.08	-	 < 0.01	1.00E00	1.00E00
fatty acyl-CoA hydrolase activity (GO:0047617)	12	0	.05	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	31	0	.14	-	 < 0.01	1.00E00	1.00E00
DNA exonuclease activity (GO:0004529)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
transmembrane signaling receptor activity (GO:0004888)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
exonuclease activity (GO:0004527)	69	0	.31	-	 < 0.01	1.00E00	1.00E00
DNA endonuclease activity (GO:0004520)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
lipid kinase activity (GO:0001727)	27	0	.12	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
polyubiquitin modification-dependent protein binding (GO:0031593)	23	0	.10	-	 < 0.01	1.00E00	1.00E00
catalytic activity, acting on a rRNA (GO:0140102)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
signaling receptor complex adaptor activity (GO:0030159)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylated histone binding (GO:0035064)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic-nucleotide phosphodiesterase activity (GO:0004112)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate binding (GO:0032266)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II complex binding (GO:0000993)	16	0	.07	-	 < 0.01	1.00E00	1.00E00
transition metal ion binding (GO:0046914)	64	0	.28	-	 < 0.01	1.00E00	1.00E00
ATPase activator activity (GO:0001671)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase inhibitor activity (GO:0004869)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
signaling receptor activator activity (GO:0030546)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid transporter activity (GO:0005548)	16	0	.07	-	 < 0.01	1.00E00	1.00E00
signaling receptor regulator activity (GO:0030545)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Hsp70 protein binding (GO:0030544)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
