family_id	chr	array_size	genes	spacers
3168	8	2	Os08t0182400-01,Os08t0185300-01	8
3256	8	2	Os08t0214300-00,Os08t0216050-00	7
3267	12	2	Os12t0218500-01,Os12t0221700-00	10
3278	8	2	Os08t0214233-01,Os08t0216300-01	9
3293	11	2	Os11t0256600-00,Os11t0259700-01	8
3318	8	2	Os08t0282500-01,Os08t0285200-01	8
3345	12	2	Os12t0152200-00,Os12t0153400-00	10
3375	8	2	Os08t0558000-01,Os08t0558800-01	8
3449	3	2	Os03t0374900-00,Os03t0375966-00	8
3453	4	2	Os04t0182875-00,Os04t0184500-00	10
3517	11	2	Os11t0227600-01,Os11t0229333-00	7
3518	4	2	Os04t0616200-01,Os04t0616600-01	6
3637	1	2	Os01t0136450-00,Os01t0137200-00	9
3638	2	2	Os02t0155300-01,Os02t0156300-01	7
3697	9	2	Os09t0339000-01,Os09t0341100-00	6
3715	4	2	Os04t0126600-00,Os04t0127600-00	8
3789	2	2	Os02t0800500-02,Os02t0801300-01	6
3813	10	2	Os10t0524766-00,Os10t0525301-00	6
3874	1	2	Os01t0161300-00,Os01t0162800-00	7
3944	11	2	Os11t0222800-00,Os11t0224200-00	7
3959	1	2	Os01t0649200-01,Os01t0650100-01	7
3962	8	2	Os08t0218700-01,Os08t0222800-00	8
4004	4	2	Os04t0308400-00,Os04t0310200-00	9
4022	6	2	Os06t0721900-00,Os06t0723650-00	10
4088	8	2	Os08t0193900-01,Os08t0195800-00	8
4157	4	2	Os04t0218350-01,Os04t0219000-01	6
