family_id	chr	array_size	genes	spacers
457	4	4	"Os04t0630400-01,Os04t0630600-00,Os04t0630800-01,Os04t0631000-00"	"2,1,1"
509	7	4	"Os07t0609100-00,Os07t0610200-00,Os07t0611200-00,Os07t0611500-00"	"2,1,1"
560	4	4	"Os04t0191600-02,Os04t0191800-01,Os04t0193300-01,Os04t0194000-01"	"1,4,1"
601	6	4	"Os06t0705600-00,Os06t0705700-01,Os06t0706100-00,Os06t0706400-01"	"1,1,1"
650	1	4	"Os01t0152000-01,Os01t0152600-00,Os01t0152800-01,Os01t0153000-00"	"5,2,4"
707	11	4	"Os11t0191800-01,Os11t0192500-00,Os11t0193800-01,Os11t0194400-01"	"1,1,4"
715	11	4	"Os11t0251200-00,Os11t0251400-02,Os11t0252400-01,Os11t0253100-00"	"1,4,1"
739	11	4	"Os11t0691100-00,Os11t0691300-00,Os11t0691500-00,Os11t0691650-00"	"2,1,1"
2	2	3	"Os02t0236800-01,Os02t0237000-00,Os02t0240100-01"	"1,5"
2	7	3	"Os07t0677200-01,Os07t0677300-01,Os07t0677400-00"	"1,1"
2	6	3	"Os06t0521400-00,Os06t0521500-01,Os06t0522300-01"	"1,2"
7	3	3	"Os03t0593600-00,Os03t0594100-01,Os03t0594900-01"	"1,5"
8	7	3	"Os07t0130400-01,Os07t0130800-01,Os07t0131375-00"	"4,2"
8	7	3	"Os07t0575600-02,Os07t0575700-01,Os07t0575750-00"	"1,1"
9	10	3	"Os10t0527800-01,Os10t0528100-01,Os10t0528200-01"	"1,1"
9	10	3	"Os10t0529400-01,Os10t0529500-01,Os10t0529700-01"	"1,1"
10	5	3	"Os05t0328800-00,Os05t0329100-02,Os05t0329300-02"	"3,1"
11	8	3	"Os08t0553100-00,Os08t0553200-00,Os08t0553300-00"	"1,1"
13	3	3	"Os03t0276500-01,Os03t0276800-01,Os03t0277300-01"	"2,4"
15	7	3	"Os07t0127600-01,Os07t0128800-00,Os07t0129200-01"	"2,1"
20	7	3	"Os07t0525500-00,Os07t0525900-00,Os07t0526400-01"	"1,1"
20	5	3	"Os05t0212600-00,Os05t0212900-00,Os05t0213100-00"	"1,1"
20	11	3	"Os11t0529500-00,Os11t0529800-00,Os11t0530600-01"	"1,1"
22	7	3	"Os07t0663600-01,Os07t0663700-01,Os07t0663800-01"	"1,1"
30	5	3	"Os05t0247100-02,Os05t0247800-01,Os05t0248200-01"	"1,1"
31	4	3	"Os04t0185600-00,Os04t0186400-02,Os04t0186800-00"	"1,1"
31	3	3	"Os03t0150500-01,Os03t0150600-01,Os03t0150800-01"	"2,1"
36	4	3	"Os04t0120300-00,Os04t0121100-01,Os04t0121300-00"	"1,1"
36	1	3	"Os01t0794800-01,Os01t0795000-01,Os01t0795100-00"	"2,1"
37	1	3	"Os01t0117000-00,Os01t0117200-01,Os01t0117600-01"	"2,5"
41	9	3	"Os09t0400000-00,Os09t0400300-01,Os09t0400400-01"	"2,1"
45	1	3	"Os01t0114400-00,Os01t0114900-00,Os01t0115500-00"	"4,3"
47	4	3	"Os04t0632500-00,Os04t0633300-00,Os04t0633800-00"	"5,3"
47	9	3	"Os09t0550600-00,Os09t0551000-00,Os09t0551201-00"	"1,1"
48	11	3	"Os11t0656000-00,Os11t0656400-00,Os11t0656700-00"	"2,2"
49	1	3	"Os01t0369700-01,Os01t0370200-00,Os01t0370900-00"	"4,2"
54	2	3	"Os02t0249000-01,Os02t0249600-01,Os02t0249800-01"	"3,1"
75	6	3	"Os06t0696400-01,Os06t0696600-01,Os06t0697000-02"	"4,1"
75	4	3	"Os04t0604200-01,Os04t0604300-01,Os04t0604800-00"	"1,2"
80	1	3	"Os01t0734800-01,Os01t0735900-01,Os01t0736100-01"	"4,2"
81	6	3	"Os06t0146600-01,Os06t0146800-01,Os06t0147000-01"	"2,1"
88	12	3	"Os12t0567800-01,Os12t0568200-01,Os12t0568500-01"	"2,1"
92	3	3	"Os03t0268900-02,Os03t0269000-02,Os03t0269100-02"	"2,1"
98	4	3	"Os04t0447500-01,Os04t0447600-01,Os04t0447700-01"	"1,1"
98	10	3	"Os10t0113000-01,Os10t0113100-01,Os10t0113900-02"	"1,5"
99	1	3	"Os01t0152900-00,Os01t0153100-00,Os01t0153300-00"	"4,4"
100	12	3	"Os12t0132800-01,Os12t0133000-00,Os12t0133100-02"	"2,2"
107	11	3	"Os11t0227200-01,Os11t0227700-01,Os11t0227800-01"	"2,2"
112	11	3	"Os11t0210300-01,Os11t0210500-01,Os11t0210600-01"	"1,1"
117	4	3	"Os04t0453200-01,Os04t0453400-02,Os04t0454200-01"	"4,5"
119	9	3	"Os09t0457400-01,Os09t0457600-00,Os09t0457800-01"	"1,1"
125	7	3	"Os07t0518100-01,Os07t0518500-02,Os07t0519100-01"	"2,2"
132	6	3	"Os06t0156600-01,Os06t0156700-01,Os06t0157000-01"	"1,2"
135	7	3	"Os07t0638600-00,Os07t0639000-01,Os07t0639400-01"	"1,1"
149	10	3	"Os10t0514901-00,Os10t0515200-01,Os10t0515900-01"	"1,1"
154	2	3	"Os02t0626100-01,Os02t0626400-01,Os02t0626600-00"	"2,2"
155	6	3	"Os06t0272800-00,Os06t0273200-00,Os06t0273500-01"	"2,2"
162	2	3	"Os02t0800400-01,Os02t0800700-01,Os02t0800900-01"	"3,5"
163	6	3	"Os06t0177700-00,Os06t0178500-01,Os06t0178700-01"	"2,3"
199	5	3	"Os05t0365600-01,Os05t0366000-00,Os05t0366600-01"	"1,3"
200	1	3	"Os01t0889900-01,Os01t0890200-00,Os01t0890600-00"	"3,4"
204	3	3	"Os03t0730400-01,Os03t0730500-01,Os03t0730700-00"	"2,1"
218	7	3	"Os07t0489300-01,Os07t0489950-01,Os07t0490100-02"	"3,1"
223	6	3	"Os06t0722450-01,Os06t0722700-01,Os06t0723900-01"	"3,2"
230	8	3	"Os08t0136300-01,Os08t0136500-01,Os08t0136700-01"	"1,1"
241	4	3	"Os04t0208400-01,Os04t0208500-01,Os04t0208600-01"	"2,1"
243	1	3	"Os01t0668400-00,Os01t0668600-00,Os01t0668901-00"	"1,1"
243	1	3	"Os01t0669100-01,Os01t0670100-01,Os01t0670600-01"	"1,1"
245	6	3	"Os06t0299300-01,Os06t0300000-01,Os06t0300200-00"	"1,1"
257	12	3	"Os12t0576600-01,Os12t0576700-01,Os12t0576750-01"	"1,1"
269	4	3	"Os04t0368800-00,Os04t0370100-01,Os04t0370900-01"	"4,4"
290	4	3	"Os04t0616300-01,Os04t0616500-01,Os04t0616700-03"	"2,1"
311	2	3	"Os02t0491900-00,Os02t0492000-02,Os02t0492900-01"	"1,3"
319	4	3	"Os04t0201900-00,Os04t0202300-00,Os04t0202800-00"	"2,2"
323	4	3	"Os04t0337500-01,Os04t0338000-01,Os04t0339400-01"	"2,2"
324	3	3	"Os03t0201500-01,Os03t0201800-01,Os03t0201901-00"	"3,1"
331	10	3	"Os10t0151100-00,Os10t0151500-00,Os10t0152000-00"	"2,2"
335	12	3	"Os12t0291100-01,Os12t0291400-01,Os12t0292400-01"	"3,3"
336	5	3	"Os05t0212550-00,Os05t0213000-00,Os05t0213150-00"	"3,1"
339	8	3	"Os08t0390200-01,Os08t0391700-00,Os08t0392100-00"	"4,1"
349	7	3	"Os07t0429700-01,Os07t0431160-00,Os07t0432201-01"	"1,1"
351	9	3	"Os09t0441100-01,Os09t0441400-01,Os09t0441700-00"	"1,3"
353	3	3	"Os03t0749100-01,Os03t0749300-02,Os03t0749500-01"	"2,3"
370	5	3	"Os05t0256100-01,Os05t0257100-01,Os05t0261700-02"	"2,3"
376	10	3	"Os10t0524700-00,Os10t0525000-01,Os10t0525200-01"	"3,2"
381	7	3	"Os07t0551700-01,Os07t0552800-01,Os07t0553000-00"	"2,1"
384	4	3	"Os04t0358000-01,Os04t0359100-01,Os04t0359700-00"	"1,1"
391	2	3	"Os02t0215500-01,Os02t0215700-01,Os02t0216000-00"	"2,2"
398	3	3	"Os03t0571700-01,Os03t0571900-01,Os03t0572900-01"	"1,3"
412	8	3	"Os08t0498100-01,Os08t0498400-01,Os08t0498600-02"	"1,1"
448	6	3	"Os06t0224650-01,Os06t0224900-02,Os06t0225200-01"	"1,3"
512	6	3	"Os06t0568600-01,Os06t0569500-01,Os06t0569900-01"	"1,1"
535	4	3	"Os04t0334700-01,Os04t0334951-01,Os04t0336600-00"	"2,3"
538	8	3	"Os08t0501000-00,Os08t0501200-00,Os08t0501500-00"	"2,1"
553	10	3	"Os10t0164500-00,Os10t0165300-01,Os10t0166600-01"	"1,2"
589	7	3	"Os07t0106700-01,Os07t0106900-01,Os07t0107100-01"	"1,1"
598	11	3	"Os11t0558900-01,Os11t0561100-00,Os11t0564900-00"	"5,5"
622	5	3	"Os05t0333500-02,Os05t0334000-01,Os05t0334400-01"	"1,1"
656	7	3	"Os07t0649100-00,Os07t0649300-00,Os07t0649500-00"	"1,1"
670	5	3	"Os05t0189300-01,Os05t0189900-01,Os05t0190300-03"	"1,1"
671	9	3	"Os09t0482100-01,Os09t0482400-01,Os09t0482600-01"	"2,4"
727	11	3	"Os11t0206200-01,Os11t0206400-01,Os11t0206600-02"	"1,2"
888	6	3	"Os06t0288300-01,Os06t0289200-01,Os06t0289900-01"	"2,1"
903	4	3	"Os04t0156200-00,Os04t0158400-00,Os04t0161100-00"	"1,3"
935	7	3	"Os07t0462800-00,Os07t0463600-00,Os07t0464200-00"	"3,2"
940	5	3	"Os05t0161200-01,Os05t0161500-01,Os05t0161800-01"	"1,1"
964	10	3	"Os10t0134033-00,Os10t0134500-00,Os10t0134700-00"	"1,1"
966	8	3	"Os08t0348300-00,Os08t0352100-00,Os08t0353700-01"	"4,2"
988	11	3	"Os11t0202000-01,Os11t0202200-01,Os11t0202400-00"	"2,3"
1001	2	3	"Os02t0184800-00,Os02t0185350-00,Os02t0185766-00"	"3,3"
1021	2	3	"Os02t0589000-01,Os02t0589700-00,Os02t0590400-01"	"5,4"
1049	1	3	"Os01t0207200-01,Os01t0207600-00,Os01t0208400-01"	"3,3"
1054	11	3	"Os11t0191500-00,Os11t0194100-01,Os11t0194600-01"	"5,4"
1147	2	3	"Os02t0107600-01,Os02t0108400-00,Os02t0108900-00"	"5,2"
1156	2	3	"Os02t0206100-01,Os02t0206700-01,Os02t0207400-00"	"3,2"
1204	12	3	"Os12t0502800-04,Os12t0503000-05,Os12t0503300-00"	"3,4"
1232	9	3	"Os09t0501200-01,Os09t0501700-00,Os09t0502000-01"	"3,2"
1249	7	3	"Os07t0493200-01,Os07t0493800-00,Os07t0494300-00"	"2,1"
1266	7	3	"Os07t0532800-00,Os07t0533000-00,Os07t0533300-00"	"2,1"
1362	1	3	"Os01t0153500-00,Os01t0153900-00,Os01t0154100-00"	"5,2"
1378	8	3	"Os08t0543050-00,Os08t0543100-00,Os08t0543500-01"	"1,4"
1388	4	3	"Os04t0334825-00,Os04t0335075-00,Os04t0336700-00"	"1,3"
1441	2	3	"Os02t0813000-00,Os02t0813166-00,Os02t0813350-01"	"1,2"
1449	7	3	"Os07t0646200-00,Os07t0646500-00,Os07t0646700-00"	"3,1"
1491	1	3	"Os01t0176000-01,Os01t0176100-00,Os01t0176200-01"	"1,1"
1	5	2	"Os05t0276500-01,Os05t0277000-00"	1
1	1	2	"Os01t0248900-01,Os01t0249100-00"	1
1	3	2	"Os03t0155500-00,Os03t0155700-00"	1
1	10	2	"Os10t0439100-00,Os10t0439200-00"	1
2	11	2	"Os11t0112200-01,Os11t0112400-01"	1
2	12	2	"Os12t0111800-00,Os12t0112000-01"	1
5	3	2	"Os03t0788500-01,Os03t0789000-00"	5
7	2	2	"Os02t0184700-00,Os02t0184900-01"	1
7	11	2	"Os11t0635300-00,Os11t0635500-01"	1
7	6	2	"Os06t0641500-00,Os06t0642200-00"	5
8	7	2	"Os07t0129900-00,Os07t0130100-01"	1
9	10	2	"Os10t0528400-01,Os10t0528900-01"	1
10	5	2	"Os05t0330600-00,Os05t0331366-00"	3
10	5	2	"Os05t0331800-01,Os05t0332000-01"	1
11	8	2	"Os08t0551366-00,Os08t0551500-00"	1
11	8	2	"Os08t0552100-00,Os08t0552300-00"	1
11	8	2	"Os08t0553000-00,Os08t0552800-00"	3
11	8	2	"Os08t0553400-00,Os08t0553500-00"	1
15	1	2	"Os01t0382000-01,Os01t0382400-01"	1
16	10	2	"Os10t0349400-00,Os10t0349900-01"	1
16	10	2	"Os10t0552200-01,Os10t0552600-01"	2
17	1	2	"Os01t0567500-01,Os01t0567600-00"	1
19	4	2	"Os04t0103500-01,Os04t0103700-01"	1
19	5	2	"Os05t0166300-01,Os05t0166600-00"	2
20	10	2	"Os10t0167900-00,Os10t0168300-00"	2
21	12	2	"Os12t0181500-01,Os12t0181600-01"	1
21	1	2	"Os01t0878400-01,Os01t0878700-03"	2
21	6	2	"Os06t0228600-01,Os06t0228800-01"	1
22	7	2	"Os07t0664000-00,Os07t0664200-01"	2
22	7	2	"Os07t0664500-01,Os07t0665000-00"	3
24	7	2	"Os07t0537000-01,Os07t0537500-01"	5
24	7	2	"Os07t0540100-01,Os07t0540800-00"	5
25	2	2	"Os02t0649900-01,Os02t0650300-01"	1
25	4	2	"Os04t0390500-02,Os04t0390600-01"	2
25	4	2	"Os04t0524600-01,Os04t0524900-00"	2
25	4	2	"Os04t0542200-01,Os04t0542800-01"	1
26	6	2	"Os06t0662500-00,Os06t0662600-00"	1
26	6	2	"Os06t0662900-00,Os06t0663300-00"	3
27	4	2	"Os04t0319800-01,Os04t0320700-02"	3
27	4	2	"Os04t0324100-01,Os04t0326100-00"	4
27	2	2	"Os02t0577700-00,Os02t0578300-01"	4
28	6	2	"Os06t0260500-00,Os06t0262800-01"	2
30	11	2	"Os11t0701100-01,Os11t0701200-01"	1
30	11	2	"Os11t0701500-01,Os11t0701800-01"	3
30	11	2	"Os11t0701900-01,Os11t0702100-01"	1
31	6	2	"Os06t0324800-01,Os06t0325200-01"	1
32	12	2	"Os12t0467700-01,Os12t0468000-01"	1
32	7	2	"Os07t0192000-01,Os07t0192700-01"	2
33	1	2	"Os01t0946500-01,Os01t0946700-01"	2
34	2	2	"Os02t0569400-01,Os02t0569900-01"	1
34	8	2	"Os08t0507100-00,Os08t0507702-01"	2
35	11	2	"Os11t0115100-01,Os11t0115350-01"	1
35	11	2	"Os11t0115400-00,Os11t0116000-01"	2
35	12	2	"Os12t0115100-00,Os12t0115300-01"	1
36	2	2	"Os02t0269600-00,Os02t0270900-00"	5
38	9	2	"Os09t0536300-00,Os09t0536400-01"	1
38	3	2	"Os03t0243900-01,Os03t0244200-02"	4
43	3	2	"Os03t0762300-01,Os03t0762400-01"	1
45	1	2	"Os01t0137250-00,Os01t0137500-01"	3
46	7	2	"Os07t0448200-00,Os07t0448800-01"	3
47	4	2	"Os04t0631800-00,Os04t0632100-01"	1
47	9	2	"Os09t0551251-00,Os09t0551400-00"	2
49	1	2	"Os01t0371200-01,Os01t0371400-00"	1
49	1	2	"Os01t0371500-01,Os01t0372400-01"	2
50	9	2	"Os09t0546200-00,Os09t0546700-00"	1
50	9	2	"Os09t0547033-01,Os09t0547100-01"	1
52	2	2	"Os02t0508100-01,Os02t0508801-00"	2
52	5	2	"Os05t0103300-01,Os05t0103400-01"	1
53	2	2	"Os02t0811501-00,Os02t0811650-00"	1
56	1	2	"Os01t0602400-01,Os01t0602500-01"	2
57	3	2	"Os03t0102500-01,Os03t0102700-01"	1
57	3	2	"Os03t0106500-01,Os03t0106700-00"	1
57	3	2	"Os03t0106800-01,Os03t0106900-00"	1
57	10	2	"Os10t0555600-01,Os10t0555700-02"	1
57	10	2	"Os10t0555900-02,Os10t0556100-01"	2
58	7	2	"Os07t0569550-00,Os07t0569800-01"	2
60	3	2	"Os03t0752800-02,Os03t0753100-01"	1
62	12	2	"Os12t0215950-01,Os12t0217400-00"	4
64	9	2	"Os09t0273800-01,Os09t0274800-00"	3
65	10	2	"Os10t0126800-01,Os10t0127900-03"	5
65	10	2	"Os10t0128200-01,Os10t0128600-01"	3
68	1	2	"Os01t0216500-00,Os01t0216900-00"	1
69	6	2	"Os06t0494400-01,Os06t0495500-01"	2
69	10	2	"Os10t0344500-00,Os10t0344900-01"	2
76	11	2	"Os11t0625900-01,Os11t0628000-00"	2
78	5	2	"Os05t0458300-00,Os05t0458500-00"	1
79	9	2	"Os09t0502600-00,Os09t0502900-00"	1
79	6	2	"Os06t0138700-01,Os06t0139000-01"	1
80	5	2	"Os05t0527100-00,Os05t0527900-01"	5
81	6	2	"Os06t0147100-01,Os06t0147250-00"	2
81	6	2	"Os06t0147300-01,Os06t0147400-01"	1
84	2	2	"Os02t0154000-00,Os02t0154200-01"	1
89	3	2	"Os03t0133500-01,Os03t0133800-01"	1
89	3	2	"Os03t0305000-01,Os03t0305100-01"	1
90	3	2	"Os03t0266300-03,Os03t0266900-02"	3
90	3	2	"Os03t0267000-00,Os03t0267200-01"	1
90	1	2	"Os01t0135800-01,Os01t0135900-02"	1
90	1	2	"Os01t0136000-00,Os01t0136100-01"	1
92	11	2	"Os11t0652900-00,Os11t0654400-00"	4
94	3	2	"Os03t0830200-00,Os03t0830400-01"	1
95	6	2	"Os06t0149700-00,Os06t0149900-01"	1
96	3	2	"Os03t0121200-01,Os03t0121300-01"	3
97	2	2	"Os02t0156633-00,Os02t0157200-00"	4
101	6	2	"Os06t0549633-00,Os06t0549900-01"	2
102	7	2	"Os07t0635500-01,Os07t0635700-00"	1
105	7	2	"Os07t0605800-01,Os07t0606400-00"	2
107	11	2	"Os11t0226933-01,Os11t0227100-00"	3
108	6	2	"Os06t0159725-00,Os06t0160001-00"	3
109	7	2	"Os07t0582400-01,Os07t0582500-01"	1
109	11	2	"Os11t0637100-00,Os11t0637200-01"	1
111	8	2	"Os08t0523400-00,Os08t0523700-00"	1
112	3	2	"Os03t0189400-01,Os03t0189600-02"	1
113	2	2	"Os02t0763900-01,Os02t0764200-01"	1
113	6	2	"Os06t0211600-01,Os06t0212100-01"	1
116	3	2	"Os03t0171300-01,Os03t0171700-01"	3
117	4	2	"Os04t0452600-00,Os04t0452700-01"	1
117	2	2	"Os02t0573500-01,Os02t0574000-01"	1
118	9	2	"Os09t0460300-01,Os09t0460400-01"	1
118	9	2	"Os09t0460700-01,Os09t0461700-01"	1
119	8	2	"Os08t0473600-01,Os08t0473900-01"	3
123	6	2	"Os06t0125400-00,Os06t0125500-03"	2
124	7	2	"Os07t0116800-00,Os07t0117000-01"	1
124	7	2	"Os07t0117200-00,Os07t0117350-00"	1
124	7	2	"Os07t0117800-00,Os07t0118000-00"	1
126	4	2	"Os04t0494800-01,Os04t0494900-01"	1
130	9	2	"Os09t0531800-01,Os09t0531900-01"	2
131	3	2	"Os03t0575200-01,Os03t0576200-00"	4
131	2	2	"Os02t0518600-01,Os02t0519100-01"	2
132	6	2	"Os06t0531600-01,Os06t0531900-01"	1
134	7	2	"Os07t0162400-01,Os07t0162500-02"	1
142	2	2	"Os02t0756800-01,Os02t0757100-01"	1
142	6	2	"Os06t0220000-01,Os06t0220200-00"	1
148	5	2	"Os05t0399200-01,Os05t0400100-01"	5
148	8	2	"Os08t0238200-01,Os08t0239300-01"	5
148	11	2	"Os11t0275200-01,Os11t0275500-01"	1
153	12	2	"Os12t0226400-00,Os12t0226700-01"	1
153	12	2	"Os12t0226900-01,Os12t0227400-01"	1
154	4	2	"Os04t0518100-01,Os04t0518400-01"	2
157	3	2	"Os03t0709100-01,Os03t0709300-01"	1
157	2	2	"Os02t0256800-00,Os02t0257100-01"	1
158	7	2	"Os07t0217600-01,Os07t0218700-01"	3
158	2	2	"Os02t0570500-01,Os02t0570700-01"	1
158	10	2	"Os10t0439800-00,Os10t0439924-01"	1
159	4	2	"Os04t0474800-02,Os04t0474900-01"	2
159	8	2	"Os08t0509200-01,Os08t0509400-01"	1
160	4	2	"Os04t0344400-00,Os04t0345400-01"	1
160	3	2	"Os03t0347900-01,Os03t0348200-00"	1
162	2	2	"Os02t0801100-01,Os02t0801600-00"	5
163	6	2	"Os06t0176500-00,Os06t0176700-01"	2
169	1	2	"Os01t0588100-00,Os01t0588400-01"	3
170	4	2	"Os04t0223500-01,Os04t0223901-00"	2
170	9	2	"Os09t0548400-01,Os09t0548700-01"	1
172	4	2	"Os04t0206600-01,Os04t0206700-01"	1
174	1	2	"Os01t0720900-00,Os01t0721200-00"	2
174	1	2	"Os01t0721500-01,Os01t0721800-01"	1
176	2	2	"Os02t0253601-00,Os02t0254366-00"	4
178	1	2	"Os01t0699400-01,Os01t0699500-01"	1
183	12	2	"Os12t0548401-01,Os12t0548700-01"	1
191	4	2	"Os04t0552066-00,Os04t0552250-00"	1
191	2	2	"Os02t0658651-00,Os02t0658850-00"	1
197	7	2	"Os07t0111700-01,Os07t0111900-00"	3
199	9	2	"Os09t0511600-04,Os09t0511900-01"	2
200	1	2	"Os01t0870400-00,Os01t0871000-00"	3
203	1	2	"Os01t0311800-01,Os01t0312500-01"	1
204	11	2	"Os11t0430000-00,Os11t0431700-01"	4
205	1	2	"Os01t0860400-01,Os01t0860500-02"	1
210	11	2	"Os11t0297300-01,Os11t0297800-01"	2
211	12	2	"Os12t0257600-00,Os12t0258700-01"	3
211	1	2	"Os01t0850550-00,Os01t0850700-02"	1
213	11	2	"Os11t0578700-01,Os11t0579600-01"	5
213	11	2	"Os11t0582700-01,Os11t0584100-01"	3
215	5	2	"Os05t0472400-00,Os05t0472700-01"	1
215	3	2	"Os03t0667300-00,Os03t0667500-01"	1
219	3	2	"Os03t0416200-01,Os03t0416300-01"	3
223	6	2	"Os06t0720400-01,Os06t0720700-01"	4
224	3	2	"Os03t0703000-01,Os03t0703100-01"	1
227	8	2	"Os08t0199400-01,Os08t0200100-01"	2
230	3	2	"Os03t0277600-01,Os03t0277700-01"	1
234	7	2	"Os07t0448300-00,Os07t0448600-00"	1
236	6	2	"Os06t0514100-01,Os06t0514800-00"	1
237	7	2	"Os07t0156200-00,Os07t0157600-00"	5
237	5	2	"Os05t0134400-02,Os05t0134800-00"	2
238	8	2	"Os08t0376700-01,Os08t0377200-01"	3
244	4	2	"Os04t0413200-01,Os04t0413500-01"	1
246	11	2	"Os11t0460800-01,Os11t0461000-01"	1
246	10	2	"Os10t0101100-01,Os10t0101200-01"	2
247	1	2	"Os01t0609300-01,Os01t0609900-02"	3
249	5	2	"Os05t0317900-01,Os05t0318700-02"	4
250	12	2	"Os12t0516900-01,Os12t0517000-00"	1
254	4	2	"Os04t0552000-00,Os04t0552200-00"	1
254	2	2	"Os02t0658600-00,Os02t0658800-01"	1
