family_id	chr	gene1	gene2	spacers
5	7	Os07t0515100-01	Os07t0568600-01	406
5	12	Os12t0133500-00	Os12t0169800-00	265
5	12	Os12t0169800-00	Os12t0230200-02	294
5	12	Os12t0230200-02	Os12t0486600-00	570
5	1	Os01t0622600-01	Os01t0808400-01	1505
5	1	Os01t0808400-01	Os01t0832300-00	192
5	2	Os02t0685900-00	Os02t0832000-01	1368
5	5	Os05t0467000-01	Os05t0585500-01	1021
6	8	Os08t0190100-01	Os08t0231400-01	233
6	1	Os01t0249200-01	Os01t0284500-01	262
6	1	Os01t0284500-01	Os01t0952000-02	4141
7	6	Os06t0500700-01	Os06t0639800-01	729
7	6	Os06t0642600-00	Os06t0671300-01	236
7	1	Os01t0377000-01	Os01t0957800-01	3707
8	7	Os07t0131500-00	Os07t0133100-01	11
8	7	Os07t0133100-01	Os07t0283050-00	848
8	7	Os07t0283125-00	Os07t0575600-02	1079
8	3	Os03t0258000-01	Os03t0823000-01	3357
9	10	Os10t0365200-00	Os10t0527400-01	1049
9	1	Os01t0558100-01	Os01t0692100-01	985
10	7	Os07t0206500-00	Os07t0219250-00	73
12	1	Os01t0206700-03	Os01t0536000-01	1370
12	1	Os01t0536000-01	Os01t0759200-01	1688
12	1	Os01t0759200-01	Os01t0824600-01	519
12	3	Os03t0126800-00	Os03t0319400-01	1752
12	3	Os03t0319400-01	Os03t0339900-01	167
12	3	Os03t0339900-01	Os03t0634400-01	1046
12	7	Os07t0150700-01	Os07t0678600-01	2676
12	7	Os07t0678600-01	Os07t0687000-01	80
12	11	Os11t0113700-01	Os11t0134300-01	143
12	5	Os05t0208100-01	Os05t0332300-01	506
12	5	Os05t0332300-01	Os05t0476350-00	959
13	2	Os02t0115900-01	Os02t0774300-01	3999
13	3	Os03t0113700-01	Os03t0276500-01	1510
13	3	Os03t0277300-01	Os03t0710500-00	2135
13	3	Os03t0710500-00	Os03t0821100-01	1010
13	11	Os11t0187600-01	Os11t0703900-01	1876
13	5	Os05t0367800-00	Os05t0428600-01	416
13	5	Os05t0428600-01	Os05t0460000-01	226
13	1	Os01t0688900-00	Os01t0840100-01	1275
15	2	Os02t0472500-00	Os02t0786500-01	2353
16	10	Os10t0178000-00	Os10t0349300-01	269
16	10	Os10t0349900-01	Os10t0551800-00	1301
17	3	Os03t0101300-02	Os03t0218400-01	1131
17	3	Os03t0218400-01	Os03t0594400-01	1923
17	7	Os07t0106200-02	Os07t0131600-01	189
17	7	Os07t0131600-01	Os07t0206600-01	505
17	7	Os07t0206600-01	Os07t0559700-00	1280
17	9	Os09t0268300-02	Os09t0297300-00	116
17	9	Os09t0297300-00	Os09t0322000-01	84
17	9	Os09t0322000-01	Os09t0416200-01	471
18	5	Os05t0125400-00	Os05t0207700-01	606
18	5	Os05t0207700-01	Os05t0372100-01	732
18	5	Os05t0372100-01	Os05t0463000-01	642
18	5	Os05t0463000-01	Os05t0498900-01	282
18	2	Os02t0513000-01	Os02t0833000-01	2676
18	3	Os03t0130900-02	Os03t0283900-01	1403
18	7	Os07t0668900-02	Os07t0695300-01	240
18	1	Os01t0259200-02	Os01t0789200-01	2899
18	1	Os01t0789200-01	Os01t0936100-01	1294
19	4	Os04t0103700-01	Os04t0155500-00	221
19	4	Os04t0155500-00	Os04t0356600-01	681
19	4	Os04t0356600-01	Os04t0419700-00	355
19	4	Os04t0420900-02	Os04t0506700-00	737
20	10	Os10t0158400-00	Os10t0162856-00	37
20	10	Os10t0162856-00	Os10t0167900-00	28
20	10	Os10t0168500-00	Os10t0177300-00	30
20	7	Os07t0271500-01	Os07t0501100-01	555
20	7	Os07t0501100-01	Os07t0525500-00	181
21	2	Os02t0102200-01	Os02t0722400-01	3669
21	12	Os12t0181600-01	Os12t0194900-01	71
21	1	Os01t0878700-03	Os01t0882800-01	40
21	4	Os04t0470700-01	Os04t0659800-00	1659
21	6	Os06t0228800-01	Os06t0556000-01	1068
22	7	Os07t0592100-01	Os07t0663500-00	572
22	4	Os04t0179200-01	Os04t0405300-01	843
23	9	Os09t0327100-01	Os09t0527600-01	1343
23	5	Os05t0105100-01	Os05t0516800-01	2591
23	5	Os05t0516800-01	Os05t0564400-02	433
23	1	Os01t0667600-01	Os01t0750000-02	711
23	1	Os01t0750000-02	Os01t0848700-01	822
23	6	Os06t0551400-01	Os06t0714600-01	1168
23	3	Os03t0823700-01	Os03t0843100-01	178
24	7	Os07t0538200-01	Os07t0540100-01	16
24	7	Os07t0542600-01	Os07t0628700-01	701
25	2	Os02t0116400-01	Os02t0649900-01	2959
25	1	Os01t0238700-01	Os01t0829900-01	3330
25	4	Os04t0390600-01	Os04t0524500-01	1094
25	4	Os04t0524900-00	Os04t0542200-01	146
25	4	Os04t0542800-01	Os04t0674600-01	1200
26	6	Os06t0655200-01	Os06t0662225-00	49
26	4	Os04t0317800-01	Os04t0328900-00	29
27	4	Os04t0320700-02	Os04t0324100-01	13
27	4	Os04t0326100-00	Os04t0451200-01	723
27	2	Os02t0578300-01	Os02t0755500-01	1460
28	3	Os03t0181500-01	Os03t0220100-01	361
28	3	Os03t0220100-01	Os03t0245700-02	223
28	5	Os05t0568000-02	Os05t0574600-01	58
28	6	Os06t0262800-01	Os06t0598800-01	1093
28	2	Os02t0205500-01	Os02t0731900-01	2775
29	4	Os04t0411400-01	Os04t0488400-01	656
29	6	Os06t0157700-01	Os06t0498800-01	1375
29	6	Os06t0498800-01	Os06t0552900-00	228
29	11	Os11t0152500-00	Os11t0293800-00	746
29	1	Os01t0111600-01	Os01t0202700-00	802
29	12	Os12t0152000-00	Os12t0232300-00	435
31	3	Os03t0136400-01	Os03t0150500-01	121
32	12	Os12t0431100-01	Os12t0467700-01	104
32	12	Os12t0471100-01	Os12t0639200-01	985
33	1	Os01t0713200-01	Os01t0801500-01	752
33	1	Os01t0801500-01	Os01t0940700-02	1272
33	1	Os01t0941500-00	Os01t0944500-00	20
33	1	Os01t0944800-00	Os01t0946500-01	17
33	5	Os05t0375400-01	Os05t0495900-01	871
34	2	Os02t0569900-01	Os02t0571900-01	11
34	8	Os08t0465700-01	Os08t0507100-00	313
34	6	Os06t0501900-01	Os06t0599200-01	457
35	11	Os11t0116000-01	Os11t0427800-01	1150
36	4	Os04t0121300-00	Os04t0127200-02	19
38	6	Os06t0691200-01	Os06t0716200-01	274
38	3	Os03t0233200-00	Os03t0243900-01	94
38	4	Os04t0165000-01	Os04t0689900-01	3424
38	7	Os07t0417600-01	Os07t0419300-01	15
39	11	Os11t0594800-01	Os11t0683600-00	417
39	7	Os07t0118250-00	Os07t0119800-00	11
40	9	Os09t0127300-01	Os09t0262000-00	177
40	9	Os09t0262000-00	Os09t0419200-01	730
40	2	Os02t0180700-01	Os02t0808800-01	3717
40	2	Os02t0808800-01	Os02t0811400-00	18
40	8	Os08t0277200-01	Os08t0441500-01	768
41	4	Os04t0229100-01	Os04t0612700-01	2374
41	10	Os10t0194200-01	Os10t0430200-03	589
42	1	Os01t0265100-01	Os01t0813400-01	3015
42	2	Os02t0128600-01	Os02t0327100-01	1435
43	6	Os06t0237600-00	Os06t0695200-00	1922
43	4	Os04t0465100-01	Os04t0656800-01	1673
44	5	Os05t0113900-01	Os05t0461400-02	2074
44	12	Os12t0438000-02	Os12t0530000-01	341
44	3	Os03t0162200-01	Os03t0279200-01	1070
44	3	Os03t0279200-01	Os03t0743400-01	2400
45	1	Os01t0115500-00	Os01t0116800-00	19
45	1	Os01t0117500-00	Os01t0137250-00	164
45	1	Os01t0137500-01	Os01t0691050-00	3047
46	4	Os04t0233400-01	Os04t0521100-01	1596
46	4	Os04t0521100-01	Os04t0559700-01	311
46	2	Os02t0629200-02	Os02t0666200-02	277
46	2	Os02t0666200-02	Os02t0823100-01	1396
48	1	Os01t0368900-01	Os01t0936000-00	3565
49	1	Os01t0353400-00	Os01t0369700-01	110
49	1	Os01t0374000-01	Os01t0764000-01	2014
51	5	Os05t0462900-00	Os05t0466600-01	25
51	9	Os09t0433600-01	Os09t0553100-00	1013
52	1	Os01t0101900-00	Os01t0923200-01	5395
53	7	Os07t0595750-00	Os07t0661450-00	536
53	7	Os07t0661450-00	Os07t0685600-01	214
53	2	Os02t0158701-00	Os02t0159850-00	13
53	2	Os02t0159850-00	Os02t0193933-00	316
53	2	Os02t0193933-00	Os02t0808601-00	3591
53	2	Os02t0808601-00	Os02t0811501-00	20
54	2	Os02t0242600-01	Os02t0248800-01	38
54	2	Os02t0249900-01	Os02t0268100-01	113
55	3	Os03t0319300-01	Os03t0743500-02	2055
55	1	Os01t0267900-01	Os01t0279300-01	95
55	1	Os01t0279300-01	Os01t0810300-01	2872
55	11	Os11t0134400-00	Os11t0586200-00	1665
55	12	Os12t0132300-02	Os12t0603800-00	1793
56	1	Os01t0602500-01	Os01t0627400-01	201
56	1	Os01t0628900-01	Os01t0728300-01	796
57	3	Os03t0102700-01	Os03t0106500-01	32
57	10	Os10t0548600-01	Os10t0555600-01	57
59	3	Os03t0390200-01	Os03t0610900-01	602
59	3	Os03t0610900-01	Os03t0764800-01	1134
59	4	Os04t0432000-02	Os04t0691100-01	2350
60	7	Os07t0108900-02	Os07t0605200-01	2346
60	3	Os03t0215400-01	Os03t0752800-02	3063
61	5	Os05t0541200-01	Os05t0591600-01	473
61	1	Os01t0588900-01	Os01t0708500-01	928
61	3	Os03t0109300-01	Os03t0857900-02	5079
62	12	Os12t0217400-00	Os12t0222800-00	17
62	1	Os01t0158600-01	Os01t0160200-02	13
62	1	Os01t0160700-00	Os01t0163000-01	13
63	5	Os05t0138200-01	Os05t0399300-01	1413
63	3	Os03t0132900-01	Os03t0418000-00	2370
64	9	Os09t0274800-00	Os09t0412050-00	618
64	9	Os09t0412050-00	Os09t0539500-01	1052
66	3	Os03t0243100-01	Os03t0780400-01	3046
66	3	Os03t0780400-01	Os03t0820500-01	400
67	3	Os03t0242900-01	Os03t0605300-01	1775
67	3	Os03t0605300-01	Os03t0761500-01	1134
68	1	Os01t0216900-00	Os01t0223000-01	51
69	6	Os06t0495500-01	Os06t0707100-01	1334
69	1	Os01t0504500-02	Os01t0684900-01	1202
70	1	Os01t0323000-01	Os01t0631700-01	1187
70	1	Os01t0631700-01	Os01t0664200-02	229
70	10	Os10t0497600-02	Os10t0533150-00	278
71	1	Os01t0249050-00	Os01t0823150-00	3210
71	3	Os03t0155566-00	Os03t0377201-00	1930
71	3	Os03t0377201-00	Os03t0822033-00	2346
71	5	Os05t0277100-00	Os05t0477666-00	1213
72	3	Os03t0137200-01	Os03t0207400-01	653
72	3	Os03t0207400-01	Os03t0761100-03	3217
72	3	Os03t0761100-03	Os03t0832400-01	665
73	9	Os09t0258500-01	Os09t0478500-01	1201
73	2	Os02t0654300-01	Os02t0725000-01	566
74	3	Os03t0124900-01	Os03t0833800-01	4685
75	8	Os08t0237800-00	Os08t0240500-00	11
76	6	Os06t0581500-01	Os06t0585950-00	13
77	8	Os08t0224500-01	Os08t0326500-01	401
77	3	Os03t0397600-00	Os03t0656800-01	798
77	3	Os03t0656800-01	Os03t0792800-01	1121
78	1	Os01t0634500-00	Os01t0827300-01	1577
78	1	Os01t0827300-01	Os01t0842400-01	144
79	5	Os05t0571700-01	Os05t0575400-01	33
79	6	Os06t0139000-01	Os06t0142100-00	27
81	6	Os06t0147400-01	Os06t0580100-01	1842
81	1	Os01t0238200-01	Os01t0585200-01	1367
82	2	Os02t0661100-01	Os02t0753000-01	773
82	7	Os07t0485000-01	Os07t0624600-01	1069
83	6	Os06t0597400-01	Os06t0729300-01	1073
83	2	Os02t0169400-01	Os02t0672200-01	2648
83	2	Os02t0672200-01	Os02t0831600-01	1445
83	3	Os03t0682600-00	Os03t0800200-01	1027
85	2	Os02t0236100-01	Os02t0283800-01	263
85	8	Os08t0174700-01	Os08t0442700-01	1287
85	6	Os06t0225300-01	Os06t0274500-01	294
86	3	Os03t0808100-01	Os03t0837100-01	280
86	7	Os07t0208500-01	Os07t0252400-01	225
86	7	Os07t0252400-01	Os07t0424400-06	281
87	6	Os06t0103900-01	Os06t0128100-01	210
87	10	Os10t0510400-02	Os10t0569300-01	496
88	12	Os12t0568500-01	Os12t0570700-01	18
89	3	Os03t0130100-01	Os03t0133500-01	40
89	3	Os03t0133800-01	Os03t0305000-01	1565
91	2	Os02t0151300-01	Os02t0738600-01	3356
92	11	Os11t0438700-02	Os11t0443700-01	12
92	11	Os11t0443700-01	Os11t0652900-00	918
93	5	Os05t0143500-02	Os05t0566400-01	2707
93	5	Os05t0566400-01	Os05t0576800-01	99
93	1	Os01t0629900-01	Os01t0643800-01	78
93	1	Os01t0643800-01	Os01t0665200-01	168
93	6	Os06t0367900-01	Os06t0708000-01	1481
94	2	Os02t0580000-02	Os02t0763000-01	1511
95	6	Os06t0149900-01	Os06t0564500-01	1736
95	1	Os01t0814800-01	Os01t0978100-02	1503
97	2	Os02t0157200-00	Os02t0515125-00	1563
98	4	Os04t0167800-01	Os04t0447500-01	1207
99	1	Os01t0149600-01	Os01t0152300-00	29
99	1	Os01t0153300-00	Os01t0839500-00	4155
99	5	Os05t0460475-00	Os05t0574300-00	974
100	1	Os01t0268100-01	Os01t0279400-01	94
102	7	Os07t0418500-01	Os07t0635200-00	1417
103	2	Os02t0663900-01	Os02t0816000-01	1321
103	5	Os05t0370600-01	Os05t0429700-01	406
103	4	Os04t0472900-01	Os04t0683800-01	1896
103	4	Os04t0683800-01	Os04t0691800-01	88
104	3	Os03t0146000-01	Os03t0819900-01	4330
104	7	Os07t0195100-01	Os07t0239400-01	232
104	1	Os01t0179700-01	Os01t0558600-01	1714
105	8	Os08t0240000-02	Os08t0277300-00	148
105	8	Os08t0277300-00	Os08t0297800-01	86
105	7	Os07t0148600-00	Os07t0605800-01	2088
108	6	Os06t0130900-00	Os06t0159725-00	271
110	12	Os12t0162400-01	Os12t0597000-01	1537
110	1	Os01t0598200-01	Os01t0711500-00	892
111	8	Os08t0516550-00	Os08t0522700-00	68
112	2	Os02t0637700-01	Os02t0815500-01	1507
113	2	Os02t0275200-01	Os02t0763900-01	2593
115	8	Os08t0414700-01	Os08t0445700-01	201
115	9	Os09t0397300-01	Os09t0427800-00	213
115	1	Os01t0730300-02	Os01t0749400-02	167
118	9	Os09t0455900-01	Os09t0460300-01	43
120	3	Os03t0229500-00	Os03t0839200-01	3755
121	3	Os03t0694500-01	Os03t0823800-01	1176
121	8	Os08t0369000-01	Os08t0420600-01	255
122	7	Os07t0233300-01	Os07t0608400-01	1555
123	8	Os08t0320200-02	Os08t0492000-01	945
123	6	Os06t0125500-03	Os06t0127700-01	23
127	1	Os01t0369300-02	Os01t0935500-01	3551
127	6	Os06t0270200-00	Os06t0625900-01	1245
127	6	Os06t0625900-01	Os06t0671000-01	334
128	8	Os08t0114200-01	Os08t0387400-01	1386
128	2	Os02t0123700-01	Os02t0733300-01	3558
129	2	Os02t0472700-00	Os02t0710500-01	1681
130	9	Os09t0480400-01	Os09t0531800-01	458
130	8	Os08t0327100-01	Os08t0496200-00	940
132	6	Os06t0157000-01	Os06t0531600-01	1503
133	11	Os11t0559200-00	Os11t0568800-00	28
136	2	Os02t0634700-01	Os02t0794500-02	1317
136	1	Os01t0158200-01	Os01t0833500-01	4049
137	3	Os03t0100800-01	Os03t0689300-01	3625
138	1	Os01t0224700-01	Os01t0645400-02	1936
138	1	Os01t0645400-02	Os01t0732700-01	740
139	2	Os02t0280400-02	Os02t0622100-01	1433
139	2	Os02t0622100-01	Os02t0810400-01	1570
139	1	Os01t0231500-01	Os01t0570500-01	1342
140	9	Os09t0537600-01	Os09t0571400-01	314
141	7	Os07t0205500-01	Os07t0573400-02	1418
141	1	Os01t0170500-01	Os01t0550800-01	1764
143	5	Os05t0106600-02	Os05t0438800-01	1973
143	3	Os03t0718100-01	Os03t0836000-01	1095
144	1	Os01t0282800-02	Os01t0805900-01	2822
144	3	Os03t0105600-01	Os03t0661300-01	3376
144	3	Os03t0661300-01	Os03t0780600-01	969
145	11	Os11t0180000-01	Os11t0464600-00	828
146	8	Os08t0103400-00	Os08t0535400-01	2514
146	8	Os08t0535400-01	Os08t0539100-01	33
146	1	Os01t0868200-02	Os01t0925300-01	546
147	5	Os05t0134000-03	Os05t0207500-01	534
147	1	Os01t0252100-03	Os01t0296100-01	298
149	10	Os10t0139700-01	Os10t0513400-00	1472
150	1	Os01t0658400-01	Os01t0673600-01	116
150	1	Os01t0673600-01	Os01t0819400-00	1237
150	2	Os02t0120600-01	Os02t0261100-01	1175
151	4	Os04t0619400-01	Os04t0658700-00	361
151	4	Os04t0658700-00	Os04t0679200-01	218
151	2	Os02t0165100-01	Os02t0639100-00	2426
152	3	Os03t0133875-00	Os03t0818050-00	4420
152	3	Os03t0818050-00	Os03t0823301-00	56
152	3	Os03t0823301-00	Os03t0844050-00	196
157	3	Os03t0259100-01	Os03t0709100-01	2307
157	3	Os03t0709300-01	Os03t0850900-01	1299
157	2	Os02t0257100-01	Os02t0731400-01	2424
158	2	Os02t0529800-00	Os02t0570500-01	269
163	2	Os02t0280700-01	Os02t0320800-01	206
163	6	Os06t0176700-01	Os06t0177700-00	11
164	2	Os02t0454700-00	Os02t0468100-00	73
164	4	Os04t0277400-01	Os04t0481800-01	1167
166	2	Os02t0532900-01	Os02t0771700-01	1898
167	2	Os02t0120800-02	Os02t0312600-01	1443
167	2	Os02t0312600-01	Os02t0742200-01	2232
167	2	Os02t0742200-01	Os02t0834000-01	897
168	2	Os02t0650500-01	Os02t0819600-01	1473
171	3	Os03t0340500-01	Os03t0401300-01	421
171	4	Os04t0249500-00	Os04t0309600-01	191
172	4	Os04t0204100-00	Os04t0206450-01	16
173	1	Os01t0133600-00	Os01t0875800-01	4683
176	4	Os04t0143932-00	Os04t0205000-00	233
176	4	Os04t0205000-00	Os04t0375400-00	535
176	2	Os02t0216250-00	Os02t0234051-00	130
176	2	Os02t0234051-00	Os02t0253601-00	100
179	8	Os08t0430500-01	Os08t0480800-01	316
180	1	Os01t0279800-01	Os01t0809300-01	2859
181	4	Os04t0223300-00	Os04t0434800-01	862
182	12	Os12t0136900-00	Os12t0586600-01	1656
182	3	Os03t0203700-02	Os03t0616400-01	2159
183	12	Os12t0437800-01	Os12t0548401-01	437
184	10	Os10t0148100-01	Os10t0150300-01	11
186	3	Os03t0134500-00	Os03t0417700-01	2351
188	1	Os01t0139600-01	Os01t0666000-01	2813
188	1	Os01t0666000-01	Os01t0693300-01	234
189	1	Os01t0818300-01	Os01t0886300-03	636
189	5	Os05t0419500-01	Os05t0481500-01	458
190	11	Os11t0105901-00	Os11t0506400-00	1515
190	11	Os11t0506400-00	Os11t0657700-00	739
190	11	Os11t0657700-00	Os11t0680800-00	99
190	11	Os11t0680800-00	Os11t0691190-00	56
192	1	Os01t0649100-02	Os01t0829800-02	1507
193	3	Os03t0745600-01	Os03t0795600-01	448
194	3	Os03t0167700-01	Os03t0805300-01	3982
195	5	Os05t0424800-01	Os05t0430700-01	49
195	5	Os05t0430700-01	Os05t0513400-02	624
195	1	Os01t0873700-01	Os01t0882300-01	87
196	2	Os02t0529400-01	Os02t0550600-01	123
196	4	Os04t0409900-01	Os04t0432400-01	151
198	3	Os03t0226300-01	Os03t0719850-00	2674
198	3	Os03t0719850-00	Os03t0844100-01	1151
198	1	Os01t0323100-01	Os01t0899000-01	3452
199	1	Os01t0813700-01	Os01t0930800-01	1072
200	1	Os01t0587400-01	Os01t0870400-00	2329
200	1	Os01t0871000-00	Os01t0889900-01	194
201	4	Os04t0127500-01	Os04t0307900-00	597
201	8	Os08t0378300-00	Os08t0501600-00	765
202	12	Os12t0484600-02	Os12t0637700-02	919
202	3	Os03t0682100-00	Os03t0800000-02	1026
203	1	Os01t0312500-01	Os01t0788400-01	2545
205	1	Os01t0303100-01	Os01t0660200-01	1482
205	1	Os01t0660200-01	Os01t0687400-01	231
205	1	Os01t0687400-01	Os01t0691000-01	28
205	1	Os01t0691000-01	Os01t0860400-01	1433
206	6	Os06t0490400-00	Os06t0681600-01	1115
207	7	Os07t0503900-01	Os07t0510400-02	38
207	7	Os07t0510500-01	Os07t0564100-01	387
208	1	Os01t0118000-01	Os01t0905800-01	5072
209	6	Os06t0219400-00	Os06t0284200-02	370
209	3	Os03t0169000-01	Os03t0328100-01	1416
210	11	Os11t0291000-00	Os11t0297300-01	24
210	11	Os11t0297800-01	Os11t0673200-01	1191
210	4	Os04t0530700-01	Os04t0640700-01	964
212	9	Os09t0254600-00	Os09t0258700-00	20
213	3	Os03t0720400-01	Os03t0802100-01	731
213	11	Os11t0576400-00	Os11t0578700-01	16
213	11	Os11t0579600-01	Os11t0582700-01	14
214	3	Os03t0165400-01	Os03t0255100-01	809
214	1	Os01t0580200-01	Os01t0875500-01	2433
216	1	Os01t0866500-01	Os01t0974800-01	1020
216	5	Os05t0114000-01	Os05t0438500-01	1900
217	1	Os01t0600900-02	Os01t0720500-01	954
217	9	Os09t0296800-01	Os09t0346500-04	206
218	7	Os07t0250100-00	Os07t0486700-00	542
220	3	Os03t0681800-00	Os03t0844500-01	1462
220	5	Os05t0178400-01	Os05t0555100-01	2311
221	5	Os05t0467150-00	Os05t0585601-00	1020
222	2	Os02t0128800-01	Os02t0293400-01	1259
224	3	Os03t0212800-01	Os03t0703000-01	2655
225	3	Os03t0120100-01	Os03t0785500-01	4237
226	4	Os04t0449900-01	Os04t0625800-01	1536
226	3	Os03t0174100-01	Os03t0569900-01	2199
227	1	Os01t0880800-01	Os01t0919900-01	335
228	8	Os08t0134900-01	Os08t0555400-00	2438
231	6	Os06t0481850-00	Os06t0595433-00	541
231	10	Os10t0126100-00	Os10t0460733-00	1137
232	5	Os05t0155800-00	Os05t0289700-01	637
232	5	Os05t0289700-01	Os05t0315700-00	117
234	4	Os04t0521001-00	Os04t0559750-00	313
235	3	Os03t0286900-01	Os03t0370600-00	655
238	8	Os08t0358800-01	Os08t0376700-01	91
238	4	Os04t0524300-01	Os04t0673300-01	1338
239	6	Os06t0526800-00	Os06t0698300-01	1105
239	2	Os02t0149800-01	Os02t0255100-01	863
241	2	Os02t0178200-00	Os02t0493100-00	1253
242	1	Os01t0908700-01	Os01t0960500-01	493
242	8	Os08t0135400-01	Os08t0494300-01	1881
244	4	Os04t0413500-01	Os04t0664800-00	2186
246	11	Os11t0461000-01	Os11t0643400-00	820
247	1	Os01t0177900-01	Os01t0609000-00	2058
249	5	Os05t0280700-01	Os05t0317700-01	145
252	4	Os04t0141800-00	Os04t0152000-00	19
255	1	Os01t0907600-01	Os01t0971400-01	597
256	3	Os03t0276900-00	Os03t0692000-00	1992
258	5	Os05t0232800-00	Os05t0256350-00	85
258	1	Os01t0379800-00	Os01t0722550-00	1619
259	11	Os11t0601500-00	Os11t0681400-00	377
259	1	Os01t0366300-01	Os01t0545500-01	369
262	6	Os06t0575400-01	Os06t0602500-01	120
263	4	Os04t0101700-01	Os04t0545100-01	2341
264	6	Os06t0232300-01	Os06t0660200-01	1689
266	12	Os12t0441600-00	Os12t0444800-00	16
267	5	Os05t0570400-00	Os05t0573300-01	21
267	1	Os01t0616900-00	Os01t0654100-01	266
268	8	Os08t0467201-00	Os08t0554501-00	750
269	4	Os04t0275100-01	Os04t0368000-01	310
270	9	Os09t0132900-02	Os09t0247600-01	61
272	1	Os01t0607200-01	Os01t0945100-00	2894
275	6	Os06t0154500-01	Os06t0699400-01	2624
277	5	Os05t0465800-01	Os05t0528000-01	500
277	1	Os01t0360200-03	Os01t0835500-01	2670
278	4	Os04t0556600-01	Os04t0565200-01	65
279	7	Os07t0194000-01	Os07t0249200-01	297
279	3	Os03t0165800-01	Os03t0803000-01	3980
280	1	Os01t0257300-01	Os01t0933500-00	4164
283	1	Os01t0198200-01	Os01t0744300-01	2990
283	1	Os01t0744300-01	Os01t0772600-02	252
284	8	Os08t0298700-01	Os08t0557800-01	1604
285	6	Os06t0125000-00	Os06t0146100-01	219
285	6	Os06t0146100-01	Os06t0286500-01	983
286	1	Os01t0764800-01	Os01t0785400-01	176
287	3	Os03t0166200-00	Os03t0803500-01	3978
289	6	Os06t0244000-01	Os06t0311800-00	340
291	2	Os02t0128400-01	Os02t0306900-01	1329
291	8	Os08t0161900-01	Os08t0374400-00	964
292	1	Os01t0226300-01	Os01t0736900-01	2701
292	5	Os05t0312500-01	Os05t0526400-01	1475
293	6	Os06t0107600-01	Os06t0109200-01	13
294	5	Os05t0409500-00	Os05t0493800-01	614
296	3	Os03t0300900-01	Os03t0359600-01	447
296	3	Os03t0359600-01	Os03t0678800-00	1202
298	7	Os07t0450000-02	Os07t0523100-00	422
299	11	Os11t0189600-01	Os11t0285000-01	490
299	11	Os11t0286800-01	Os11t0562100-01	672
300	6	Os06t0144900-01	Os06t0583900-01	1882
302	11	Os11t0126400-00	Os11t0439600-01	1146
303	7	Os07t0274700-01	Os07t0604600-01	1345
