;;GO_term;GeneCount;FoldEnrichment;FDR;;
62;GO:0010557;positive regulation of macromolecule biosynthetic process ;50;2,15;4,84E-07;;
63;GO:0043632;modification-dependent macromolecule catabolic process ;107;1,66;6,31E-07;;
64;GO:0032501;multicellular organismal process ;42;2,29;6,37E-07;;
65;GO:0007275;multicellular organism development ;42;2,29;6,47E-07;;
66;GO:0019941;modification-dependent protein catabolic process ;105;1,66;6,75E-07;;
67;GO:0016070;RNA metabolic process ;207;1,42;1,30E-06;;
68;GO:0043687;post-translational protein modification ;115;1,61;1,43E-06;;
69;GO:1901564;organonitrogen compound metabolic process ;563;1,22;2,21E-06;;
70;GO:0006511;ubiquitin-dependent protein catabolic process ;98;1,66;2,57E-06;;
71;GO:0044237;cellular metabolic process ;739;1,17;2,57E-05;;
72;GO:0006139;nucleobase-containing compound metabolic process ;297;1,28;5,56E-05;;
73;GO:0071554;cell wall organization or biogenesis ;44;1,96;6,02E-05;;
74;GO:0006725;cellular aromatic compound metabolic process ;330;1,26;7,30E-05;;
75;GO:0016043;cellular component organization ;226;1,32;9,41E-05;;
76;GO:1901360;organic cyclic compound metabolic process ;341;1,25;0,000111;;
77;GO:0051179;localization ;309;1,26;0,000113;;
78;GO:0005976;polysaccharide metabolic process ;43;1,93;0,000144;;
79;GO:0009408;response to heat ;28;2,25;0,000173;;
80;GO:0009791;post-embryonic development ;23;2,39;0,000287;;
81;GO:0009725;response to hormone ;32;2,09;0,000355;;
82;GO:0006468;protein phosphorylation ;129;1,42;0,000382;;
83;GO:0034605;cellular response to heat ;18;2,65;0,000405;;
84;GO:0009266;response to temperature stimulus ;30;2,09;0,000424;;
85;GO:0051716;cellular response to stimulus ;188;1,33;0,000425;;
86;GO:0055085;transmembrane transport ;125;1,42;0,00045;;
87;GO:0009719;response to endogenous stimulus ;32;2,04;0,000452;;
88;GO:0010033;response to organic substance ;50;1,74;0,000616;;
89;GO:0071840;cellular component organization or biogenesis ;271;1,26;0,00062;;
90;GO:0046483;heterocycle metabolic process ;309;1,24;0,000706;;
91;GO:0009628;response to abiotic stimulus ;49;1,74;0,00079;;
92;GO:0044042;glucan metabolic process ;25;2,17;0,000842;;
93;GO:0016310;phosphorylation ;132;1,38;0,00115;;
94;GO:0055080;monoatomic cation homeostasis ;29;1,97;0,00192;;
95;GO:0042221;response to chemical ;69;1,54;0,00228;;
96;GO:0051234;establishment of localization ;279;1,23;0,00228;;
97;GO:0033554;cellular response to stress ;96;1,43;0,00236;;
98;GO:0043487;regulation of RNA stability ;21;2,18;0,00297;;
99;GO:0006997;nucleus organization ;7;4,12;0,00298;;
100;GO:0048878;chemical homeostasis ;43;1,7;0,00317;;
101;GO:0006515;protein quality control for misfolded or incompletely synthesized proteins ;9;3,4;0,00325;;
102;GO:0051640;organelle localization ;28;1,95;0,00417;;
103;GO:0051239;regulation of multicellular organismal process ;11;2,91;0,00437;;
104;GO:0006399;tRNA metabolic process ;42;1,68;0,00438;;
105;GO:0050790;regulation of catalytic activity ;37;1,75;0,00483;;
106;GO:0071824;protein-DNA complex organization ;37;1,75;0,00488;;
107;GO:0048731;system development ;23;2,03;0,00506;;
108;GO:0006885;regulation of pH ;15;2,41;0,00559;;
109;GO:1901566;organonitrogen compound biosynthetic process ;83;0,72;0,00604;;
110;GO:0006325;chromatin organization ;30;1,83;0,00642;;
111;GO:0050801;monoatomic ion homeostasis ;29;1,87;0,00667;;
112;GO:0051345;positive regulation of hydrolase activity ;10;2,94;0,00686;;
113;GO:0007006;mitochondrial membrane organization ;7;3,7;0,00709;;
114;GO:0007007;inner mitochondrial membrane organization ;7;3,7;0,00715;;
115;GO:0034641;cellular nitrogen compound metabolic process ;334;1,18;0,00718;;
116;GO:0061024;membrane organization ;43;1,65;0,00749;;
117;GO:0006338;chromatin remodeling ;29;1,83;0,00779;;
118;GO:0065009;regulation of molecular function ;37;1,7;0,00824;;
119;GO:0006898;receptor-mediated endocytosis ;13;2,46;0,0094;;
120;GO:0048367;shoot system development ;13;2,46;0,00948;;
121;GO:0044380;protein localization to cytoskeleton ;6;3,97;0,00997;;
122;GO:0045944;positive regulation of transcription by RNA polymerase II ;17;2,19;0,01;;
123;GO:0009653;anatomical structure morphogenesis ;11;2,65;0,0107;;
124;GO:0030154;cell differentiation ;23;1,93;0,011;;
125;GO:0042592;homeostatic process ;47;1,57;0,0111;;
126;GO:0048869;cellular developmental process ;23;1,9;0,0128;;
127;GO:0043488;regulation of mRNA stability ;19;2,05;0,0147;;
128;GO:0006796;phosphate-containing compound metabolic process ;218;1,22;0,0148;;
129;GO:0043085;positive regulation of catalytic activity ;12;2,44;0,0149;;
130;GO:0006793;phosphorus metabolic process ;219;1,21;0,0177;;
131;GO:0043547;positive regulation of GTPase activity ;9;2,8;0,0178;;
132;GO:0006810;transport ;254;1,2;0,018;;
133;GO:0061013;regulation of mRNA catabolic process ;19;1,97;0,0198;;
134;GO:0000271;polysaccharide biosynthetic process ;26;1,76;0,0219;;
135;GO:0006996;organelle organization ;148;1,26;0,0235;;
136;GO:0009888;tissue development ;11;2,43;0,0237;;
137;GO:0005975;carbohydrate metabolic process ;69;1,4;0,0241;;
138;GO:0015711;organic anion transport ;33;1,66;0,0242;;
139;GO:0051656;establishment of organelle localization ;14;2,25;0,0252;;
140;GO:0031329;regulation of cellular catabolic process ;21;1,85;0,0268;;
141;GO:2000026;regulation of multicellular organismal development ;8;2,82;0,0282;;
142;GO:0051336;regulation of hydrolase activity ;11;2,33;0,0336;;
143;GO:0009250;glucan biosynthetic process ;17;1,96;0,037;;
144;GO:0043087;regulation of GTPase activity ;9;2,51;0,0424;;
145;GO:0050793;regulation of developmental process ;19;1,86;0,0433;;
146;GO:1990778;protein localization to cell periphery ;7;2,85;0,047;;
147;GO:0009894;regulation of catabolic process ;27;1,66;0,0495;;
