pair	dS	dN	t	kappa	omega	dN_SE	dS_SE
OB01G11090.1_OB01G11060.1	1.3701	0.3380	1.8410	2.7462	0.2467	0.0186	0.2310
OB01G11120.1_OB01G11080.1	0.6782	0.2781	1.1478	2.3054	0.4100	0.0165	0.0656
OB01G11120.1_OB01G11150.1	0.3228	0.1448	0.5749	2.2529	0.4486	0.0110	0.0325
OB01G11140.1_OB01G11000.1	2.0443	0.3663	2.3156	1.7525	0.1792	0.0191	0.9646
OB01G11140.1_OB01G11040.1	1.5976	0.3407	1.9322	1.6574	0.2133	0.0185	0.3628
OB01G11140.1_OB01G11060.1	1.4084	0.3563	1.8240	1.5018	0.2530	0.0184	0.1424
OB01G11140.1_OB01G11090.1	1.6017	0.3288	1.9461	1.7407	0.2053	0.0177	0.3677
OB01G11180.1_OB02G10880.1	2.5728	0.3512	2.6039	1.6357	0.1365	0.0244	0.8507
OB01G11190.1_OB05G23760.1	3.9895	0.3898	3.2463	0.9388	0.0977	0.0265	6.2183
OB01G11190.1_OB08G11620.1	4.0428	0.3826	3.4153	0.8939	0.0946	0.0264	6.4414
OB01G11190.1_OB11G13650.1	1.6500	0.1625	1.5196	1.2578	0.0985	0.0152	0.2677
OB01G11220.1_OB01G35930.1	2.5440	0.1428	2.2221	2.2733	0.0561	0.0146	3.0327
OB01G11250.1_OB06G22550.1	3.7388	0.4292	3.2152	1.3010	0.1148	0.0234	9.2430
OB01G11310.1_OB01G11290.1	0.6613	0.3194	1.1882	1.6367	0.4830	0.0245	0.0953
OB01G11570.1_OB01G11650.1	2.5217	0.2865	1.6553	1.5814	0.1136	0.0159	3.3462
OB01G11590.1_OB01G11570.1	4.0046	0.3430	2.3845	1.2699	0.0857	0.0184	6.2809
OB01G11590.1_OB01G11650.1	4.0207	0.3797	2.5089	1.1227	0.0944	0.0197	6.3480
OB01G11600.1_OB01G33130.1	1.4788	0.2462	1.5649	1.5544	0.1665	0.0157	0.3592
OB01G11720.1_OB01G42170.1	4.0485	0.4536	3.4679	1.2459	0.1120	0.0289	6.4656
OB01G11720.1_OB07G23070.1	4.1955	0.6566	4.3903	1.6036	0.1565	0.0397	7.1254
OB01G11720.1_OB07G23330.1	4.0128	0.4855	3.5983	0.9780	0.1210	0.0321	6.3148
OB01G11730.1_OB11G24550.1	0.9150	0.1589	1.1397	2.9275	0.1737	0.0178	0.1488
OB01G11770.1_OB04G34710.1	2.6944	0.3090	2.1838	1.3696	0.1147	0.0243	1.2924
OB01G11850.1_OB02G41210.1	3.9950	0.3828	3.5304	1.4505	0.0958	0.0283	6.2409
OB01G12170.1_OB03G36570.1	3.8351	0.3277	2.0357	1.3754	0.0855	0.0177	5.6164
OB01G12170.1_OB05G19330.1	3.4820	0.1387	1.3015	2.6278	0.0398	0.0123	4.4537
OB01G12200.1_OB02G12140.1	2.8890	0.3820	1.9435	1.6591	0.1322	0.0384	3.0319
OB01G12210.1_OB01G12200.1	99.0000	0.3717	31.3474	2.5810	0.0038	0.0382	0.0000
OB01G12210.1_OB01G12220.1	99.0000	0.2701	26.4849	2.3458	0.0027	0.0303	0.0000
OB01G12210.1_OB01G12230.1	3.0821	0.4300	2.3668	1.2748	0.1395	0.0424	3.4331
OB01G12210.1_OB01G12240.1	99.0000	0.2752	26.7216	2.2024	0.0028	0.0306	-nan
OB01G12210.1_OB02G12140.1	5.2668	0.4877	3.0362	1.5255	0.0926	0.0464	69.6452
OB01G12220.1_OB01G12200.1	2.7997	0.2091	1.3692	1.7604	0.0747	0.0257	2.8635
OB01G12220.1_OB01G12230.1	1.0796	0.1539	0.7772	0.6597	0.1426	0.0214	0.4068
OB01G12220.1_OB01G12240.1	0.5807	0.0368	0.2178	3.1107	0.0634	0.0096	0.4871
OB01G12220.1_OB02G12140.1	99.0000	0.3786	27.1197	1.3149	0.0038	0.0377	0.0000
OB01G12230.1_OB01G12200.1	3.0223	0.3946	2.1892	1.6293	0.1305	0.0400	3.3033
OB01G12230.1_OB02G12140.1	99.0000	0.4947	36.8480	1.4001	0.0050	0.0470	-nan
OB01G12240.1_OB01G12200.1	2.7803	0.2428	1.4315	1.8743	0.0873	0.0281	2.8283
OB01G12240.1_OB01G12230.1	0.6696	0.1137	0.5286	0.4206	0.1698	0.0180	0.2072
OB01G12240.1_OB02G12140.1	99.0000	0.3733	28.6157	1.1084	0.0038	0.0373	0.0000
OB01G12250.1_OB01G33570.1	0.9297	0.2098	1.1898	2.1185	0.2257	0.0123	0.0986
OB01G12250.1_OB01G48780.1	4.6537	0.3740	3.9937	2.0411	0.0804	0.0182	9.6552
OB01G12250.1_OB05G24540.1	1.6557	0.4180	2.2124	2.1489	0.2525	0.0197	0.1739
OB01G12290.1_OB01G12430.1	0.4375	0.0985	0.4403	2.1429	0.2251	0.0125	0.0990
OB01G12380.1_OB01G12330.1	1.0556	0.4654	1.8508	1.9991	0.4408	0.0244	0.1268
OB01G12400.1_OB01G12330.1	1.2960	0.4694	2.0240	1.6619	0.3622	0.0276	0.2147
OB01G12400.1_OB01G12380.1	0.4452	0.2608	0.9101	1.1733	0.5859	0.0178	0.0492
OB01G12500.1_OB01G36400.1	1.8437	0.5433	2.7062	2.4519	0.2947	0.0468	0.9165
OB01G12580.1_OB11G12630.1	0.1681	0.0855	0.3105	0.6113	0.5085	0.0230	0.0644
OB01G12590.1_OB11G12620.1	1.1302	0.0301	0.3428	2.6440	0.0266	0.0086	0.3754
OB01G12590.1_OB12G13020.1	1.3047	0.0180	0.3925	1.5198	0.0138	0.0074	0.4864
OB01G12750.1_OB10G10390.1	4.2713	0.4539	3.3361	1.5378	0.1063	0.0230	7.4922
OB01G12750.1_OB10G10440.1	2.4120	0.4068	2.1251	1.4875	0.1687	0.0210	0.6986
OB01G12780.1_OB03G22000.1	2.2844	0.1885	2.2898	1.4843	0.0825	0.0185	1.5539
OB01G12820.1_OB01G12810.1	1.3497	0.1666	1.0621	2.5053	0.1235	0.0102	0.3199
OB01G12830.1_OB01G12810.1	0.8705	0.1667	0.8389	2.5961	0.1915	0.0102	0.1173
OB01G12830.1_OB01G12820.1	0.6300	0.1266	0.5839	2.6654	0.2009	0.0088	0.0780
OB01G13040.1_OB01G12990.1	0.2443	0.0976	0.3755	6.4881	0.3998	0.0231	0.0822
OB01G13080.1_OB04G29100.1	3.8889	0.3271	3.8600	2.6689	0.0841	0.0311	5.8192
OB01G13080.1_OB10G23240.1	1.9305	0.3232	2.3732	2.2976	0.1674	0.0309	0.4298
OB01G13180.1_OB01G13190.1	0.6585	0.2036	0.9741	3.3138	0.3092	0.0251	0.1230
OB01G13200.1_OB01G45450.1	2.3515	0.2682	2.2522	1.3616	0.1140	0.0175	0.5511
OB01G13200.1_OB03G22510.1	1.7685	0.2552	1.8411	1.2732	0.1443	0.0173	0.2647
OB01G13260.1_OB09G27000.1	3.8889	0.3930	3.6180	1.3805	0.1011	0.0321	5.8190
OB01G13260.1_OB10G24770.1	2.2045	0.4953	2.7383	1.3375	0.2247	0.0362	0.5852
OB01G13310.1_OB01G13320.1	1.2365	0.3439	1.7702	2.0298	0.2782	0.0151	0.1326
OB01G13310.1_OB01G13340.1	1.1297	0.3170	1.6089	1.7595	0.2806	0.0141	0.1066
OB01G13320.1_OB01G13340.1	0.5722	0.2016	0.9202	2.3536	0.3523	0.0107	0.0422
OB01G13330.1_OB05G14410.1	0.8874	0.0073	0.2438	0.7818	0.0082	0.0042	0.4508
OB01G13350.1_OB01G13330.1	0.7439	0.0048	0.1890	1.8115	0.0065	0.0034	0.3005
OB01G13350.1_OB05G14410.1	1.6734	0.0143	0.4154	1.9110	0.0085	0.0058	0.7472
OB01G13350.1_OB12G12310.1	2.7916	0.0374	0.8665	1.2019	0.0134	0.0097	2.8487
OB01G13380.1_OB01G13410.1	1.1913	0.2191	1.1462	1.1616	0.1839	0.0212	0.3402
OB01G13480.1_OB05G14320.1	2.3849	0.4735	2.8959	2.1271	0.1985	0.0214	1.5018
OB01G13480.1_OB11G15010.1	2.3126	0.3946	2.3913	1.5681	0.1706	0.0180	0.4403
OB01G13500.1_OB03G22840.1	2.2083	0.3899	2.4928	1.6060	0.1766	0.0210	0.4094
OB01G13530.1_OB08G16170.1	0.1795	0.1305	0.4196	7.9047	0.7269	0.0409	0.0971
OB01G13710.1_OB05G18100.1	2.4698	0.2161	2.1813	1.5313	0.0875	0.0185	0.7919
OB01G13740.1_OB01G13720.1	0.2025	0.0987	0.3660	1.7216	0.4874	0.0151	0.0432
OB01G13790.1_OB05G14130.1	0.7298	0.0864	0.7772	1.9848	0.1184	0.0100	0.0835
OB01G13810.1_OB03G23620.1	4.3712	0.1526	3.3186	1.6105	0.0349	0.0124	8.0049
OB01G13830.1_OB12G15850.1	1.2571	0.3708	1.8231	1.8458	0.2950	0.0165	0.1470
OB01G13990.1_OB12G10750.1	2.1408	0.4147	2.6180	1.7411	0.1937	0.0296	0.4791
OB01G14060.1_OB02G32140.1	2.1494	0.2924	2.4075	1.6514	0.1360	0.0233	1.0478
OB01G14060.1_OB06G24320.1	1.5490	0.2778	1.9075	1.8615	0.1794	0.0227	0.2216
OB01G14130.1_OB05G14380.1	0.8403	0.3036	1.3501	2.3850	0.3613	0.0182	0.0876
OB01G14140.1_OB01G17840.1	0.0744	0.0435	0.1582	2.3496	0.5849	0.0166	0.0339
OB01G14140.1_OB01G20180.1	0.1046	0.0481	0.1866	1.3935	0.4602	0.0191	0.0506
OB01G14140.1_OB05G20380.1	0.0612	0.0242	0.1047	1.7313	0.3954	0.0122	0.0311
OB01G14140.1_OB06G19570.1	0.0494	0.0143	0.0755	4.6000	0.2901	0.0102	0.0289
OB01G14160.1_OB05G14460.1	1.7534	0.2867	1.9379	1.6838	0.1635	0.0212	0.6093
OB01G14320.1_OB03G45100.1	3.6133	0.3374	2.2402	1.4429	0.0934	0.0238	4.8542
OB01G14320.1_OB05G11250.1	4.0958	0.4646	3.5464	1.1759	0.1134	0.0287	6.6709
OB01G14320.1_OB05G11270.1	3.9406	0.4354	3.4354	1.3254	0.1105	0.0307	6.0208
OB01G14320.1_OB05G14510.1	1.8431	0.1960	1.2044	1.4049	0.1064	0.0145	1.9806
OB01G14320.1_OB06G22930.1	4.0411	0.2540	2.6755	1.1995	0.0628	0.0176	6.4339
OB01G14320.1_OB07G15120.1	3.6903	0.3375	2.4048	1.5563	0.0914	0.0240	5.1056
OB01G14320.1_OB07G25380.1	4.0431	0.3972	3.2012	1.5051	0.0982	0.0252	6.4426
OB01G14350.1_OB01G46070.1	3.5145	0.4661	3.4902	1.4069	0.1326	0.0465	4.5496
OB01G14350.1_OB05G14540.1	3.5373	0.2504	3.0473	2.3230	0.0708	0.0300	4.6181
OB01G14350.1_OB05G26500.1	3.5395	0.5410	3.7502	1.4970	0.1529	0.0528	4.6246
OB01G14390.1_OB02G21010.1	4.5711	0.4692	4.4349	1.2513	0.1026	0.0242	9.1402
OB01G14390.1_OB03G38170.1	4.1172	0.4871	4.2031	1.3116	0.1183	0.0251	4.9498
OB01G14390.1_OB04G22110.1	2.7231	0.4677	3.0541	1.2096	0.1718	0.0240	0.7948
OB01G14390.1_OB08G14650.1	4.5535	0.4365	4.3176	1.2819	0.0959	0.0230	9.0339
OB01G14390.1_OB11G24810.1	2.2485	0.5840	3.0167	1.4356	0.2597	0.0293	0.4242
OB01G14470.1_OB09G12750.1	1.7254	0.2666	2.0898	2.0066	0.1545	0.0257	0.3113
OB01G14500.1_OB05G14630.1	4.5926	0.1366	2.9241	2.4613	0.0297	0.0090	9.2716
OB01G14500.1_OB06G28070.1	4.5598	0.2557	3.0829	1.3557	0.0561	0.0130	9.0714
OB01G14500.1_OB06G28090.1	4.6636	0.1952	3.3502	1.8549	0.0418	0.0112	9.7190
OB01G14530.1_OB03G31450.1	3.8002	0.6087	4.4233	1.0287	0.1602	0.0542	5.4887
OB01G14580.1_OB06G27950.1	1.6252	0.1345	1.3953	1.6964	0.0828	0.0227	0.4451
OB01G14610.1_OB05G14730.1	0.9726	0.2425	1.3484	3.0282	0.2493	0.0367	0.2898
OB01G14660.1_OB01G28070.1	0.1330	0.0293	0.1708	3.3661	0.2203	0.0087	0.0331
OB01G14710.1_OB01G14690.1	0.8452	0.3104	1.2750	2.4040	0.3673	0.0202	0.1216
OB01G14720.1_OB05G14790.1	0.9698	0.2126	1.2535	2.4568	0.2192	0.0135	0.1096
OB01G14720.1_OB12G22950.1	2.1043	0.3910	2.4946	1.4717	0.1858	0.0201	0.3319
OB01G14900.1_OB01G26790.1	1.3282	0.2669	1.7333	1.4968	0.2010	0.0260	0.2338
OB01G14910.1_OB04G23890.1	4.3006	0.3527	3.6177	1.4550	0.0820	0.0215	7.6393
OB01G14910.1_OB05G14870.1	1.2550	0.1081	1.1136	3.0557	0.0861	0.0105	0.2264
OB01G14930.1_OB05G14880.1	0.6417	0.0913	0.5301	0.6834	0.1424	0.0142	0.1403
OB01G14930.1_OB06G27710.1	2.9317	0.4121	2.5043	1.1758	0.1406	0.0366	2.8059
OB01G14960.1_OB05G14920.1	0.9588	0.3174	1.4362	2.0679	0.3311	0.0226	0.1549
OB01G15080.1_OB05G15020.1	1.0968	0.3666	1.6397	2.0589	0.3342	0.0190	0.1442
OB01G15130.1_OB05G15100.1	1.2877	0.1289	1.2813	1.9432	0.1001	0.0089	0.1734
OB01G15140.1_OB01G26630.1	1.6615	0.3887	1.9869	1.2622	0.2340	0.0273	0.4956
OB01G15200.1_OB07G28930.1	0.3876	0.1879	0.7062	2.7784	0.4848	0.0172	0.0564
OB01G15260.1_OB01G37860.1	3.9882	0.2553	2.9037	0.9585	0.0640	0.0198	6.2129
OB01G15260.1_OB05G31530.1	2.1365	0.2842	2.0352	1.5575	0.1330	0.0223	0.5424
OB01G15350.1_OB05G15120.1	0.6620	0.1945	0.9755	2.8330	0.2938	0.0321	0.1395
OB01G15440.1_OB05G15230.1	1.0045	0.0928	0.8887	1.6588	0.0924	0.0083	0.1367
OB01G15450.1_OB05G15250.1	1.0421	0.3783	1.6461	1.3162	0.3630	0.0306	0.1904
OB01G15460.1_OB05G15260.1	1.2189	0.0818	1.1052	2.3016	0.0671	0.0071	0.1704
OB01G15480.1_OB06G27660.1	99.0000	0.1934	27.0774	2.2145	0.0020	0.0145	0.0000
OB01G15580.1_OB05G29980.1	4.2584	0.2571	3.1199	1.0614	0.0604	0.0168	7.4284
OB01G15590.1_OB01G30350.1	3.6610	0.1602	1.3499	1.2513	0.0438	0.0170	7.4645
OB01G15590.1_OB05G15330.1	3.4769	0.2482	1.7415	1.5643	0.0714	0.0190	4.4390
OB01G15610.1_OB04G12460.1	5.0166	0.3755	4.2834	1.3717	0.0749	0.0144	12.2880
OB01G15610.1_OB05G15350.1	0.8902	0.1095	0.8891	2.7191	0.1230	0.0068	0.0803
OB01G15710.1_OB05G15390.1	1.2237	0.1592	1.3317	1.7823	0.1301	0.0142	0.2234
OB01G15710.1_OB05G22280.1	3.3539	0.4711	3.7374	1.6760	0.1404	0.0294	10.4006
OB01G15760.1_OB05G15550.1	3.3171	0.4161	2.1853	1.3559	0.1255	0.0309	3.9989
OB01G15760.1_OB05G15560.1	3.1290	0.3628	1.9548	1.5395	0.1159	0.0312	3.5391
OB01G15760.1_OB05G15580.1	3.2796	0.3502	1.9540	2.3404	0.1068	0.0273	3.9025
OB01G15760.1_OB05G15590.1	3.2663	0.3700	1.9677	2.6407	0.1133	0.0280	3.8691
OB01G15800.1_OB01G39200.1	2.0078	0.2742	2.1561	2.3157	0.1366	0.0183	0.3414
OB01G15800.1_OB01G54290.1	2.4961	0.4927	3.1288	1.8916	0.1974	0.0282	1.9183
OB01G15810.1_OB01G39190.1	4.4084	0.2279	3.5215	1.0372	0.0517	0.0154	8.2051
OB01G15810.1_OB05G15630.1	4.2075	0.1519	2.5341	1.2358	0.0361	0.0116	7.1824
OB01G15810.1_OB05G30900.1	2.0213	0.2380	1.9429	1.2484	0.1178	0.0159	0.3556
OB01G15810.1_OB06G13140.1	3.2438	0.1866	2.7050	1.0569	0.0575	0.0138	1.7302
OB01G15870.1_OB05G15660.1	1.2678	0.1777	1.3018	1.5707	0.1401	0.0185	0.1908
OB01G15890.1_OB02G18220.1	1.4216	0.1373	1.4663	2.4056	0.0966	0.0145	0.2984
OB01G15890.1_OB06G26220.1	1.7230	0.1597	1.7775	2.2617	0.0927	0.0159	0.5551
OB01G15900.1_OB03G39800.1	3.7743	0.3067	2.1120	1.4297	0.0813	0.0190	5.3957
OB01G15900.1_OB04G29530.1	3.8045	0.3108	2.1882	1.5135	0.0817	0.0193	5.5044
OB01G16110.1_OB07G16410.1	0.3692	0.4250	1.2091	0.9379	1.1511	0.2275	0.2370
OB01G16150.1_OB05G15890.1	2.7779	0.1379	1.3298	1.9809	0.0496	0.0227	2.8239
OB01G16190.1_OB05G15910.1	3.8540	0.1798	2.2746	1.8224	0.0467	0.0154	5.6867
OB01G16310.1_OB01G16290.1	0.4321	0.1918	0.7412	2.2158	0.4438	0.0120	0.0427
OB01G16320.1_OB01G39510.1	4.4043	0.0980	3.1847	1.6695	0.0222	0.0094	8.1827
OB01G16320.1_OB01G41500.1	4.5150	0.2011	3.4214	1.1611	0.0445	0.0130	8.8057
OB01G16320.1_OB03G43950.1	4.5360	0.2239	3.5687	1.1807	0.0494	0.0139	8.9295
OB01G16320.1_OB05G15920.1	1.0611	0.0668	0.8928	1.8586	0.0630	0.0091	0.2150
OB01G16320.1_OB07G13470.1	4.4709	0.2074	3.2612	0.8631	0.0464	0.0132	8.5523
OB01G16450.1_OB05G15980.1	1.5110	0.1732	0.8872	2.5619	0.1146	0.0352	1.8399
OB01G16550.1_OB05G16140.1	2.4842	0.1618	1.7123	1.1084	0.0651	0.0176	1.0671
OB01G16590.1_OB01G10860.1	1.5954	0.4336	1.9437	1.6038	0.2717	0.0443	0.4405
OB01G16590.1_OB01G17510.1	1.4982	0.2994	1.5125	1.6299	0.1998	0.0337	0.4056
OB01G16590.1_OB02G18690.1	2.3132	0.2647	2.1355	1.5307	0.1144	0.0319	3.1760
OB01G16590.1_OB02G26860.1	2.7388	0.3496	2.4040	1.7672	0.1276	0.0379	33.1848
OB01G16590.1_OB02G30600.1	3.6071	0.4544	3.9942	2.6572	0.1260	0.0493	4.8344
OB01G16590.1_OB04G18900.1	1.8389	0.3449	1.8577	1.3927	0.1876	0.0374	0.5991
OB01G16590.1_OB04G24120.1	3.6305	0.4680	4.1267	2.8050	0.1289	0.0509	4.9091
OB01G16590.1_OB05G30480.1	3.5665	0.4144	3.7693	1.7962	0.1162	0.0454	4.7072
OB01G16590.1_OB06G13470.1	1.0367	0.3318	1.4323	2.2607	0.3200	0.0371	0.2159
OB01G16590.1_OB06G13480.1	1.1682	0.3562	1.6110	2.1413	0.3050	0.0393	0.2582
OB01G16590.1_OB06G23780.1	1.1461	0.4211	1.6872	2.5209	0.3674	0.0444	0.3856
OB01G16590.1_OB06G25800.1	2.3019	0.3101	2.2550	1.5894	0.1347	0.0356	0.9825
OB01G16590.1_OB09G22840.1	2.4902	0.5455	3.3919	3.1988	0.2191	0.0596	1.0751
OB01G16590.1_OB11G12700.1	3.5152	0.3960	3.4906	1.1756	0.1126	0.0430	4.5516
OB01G16590.1_OB12G13090.1	3.5642	0.4448	3.7924	1.5249	0.1248	0.0475	4.7000
OB01G16590.1_OB12G16210.1	1.9642	0.4091	2.1023	1.9534	0.2083	0.0425	0.8331
OB01G16610.1_OB06G25740.1	1.4839	0.3608	2.0556	1.5787	0.2432	0.0289	0.3399
OB01G16740.1_OB06G25660.1	1.4623	0.0069	0.8784	1.0152	0.0047	0.0040	0.3250
OB01G16750.1_OB02G18900.1	0.0536	0.2208	0.5126	2.3671	4.1161	0.0457	0.0314
OB01G16770.1_OB01G20440.1	3.7990	0.4546	2.9892	1.2219	0.1197	0.0304	5.4842
OB01G16770.1_OB01G28610.1	3.6347	0.4116	2.5165	1.5120	0.1132	0.0279	4.9226
OB01G16770.1_OB03G19820.1	3.6773	0.4630	2.7051	1.3024	0.1259	0.0303	5.0623
OB01G16770.1_OB03G19840.1	3.5606	0.4300	2.6121	1.4648	0.1208	0.0314	4.6890
OB01G16770.1_OB03G19850.1	3.7751	0.4501	2.9058	1.0982	0.1192	0.0300	5.3985
OB01G16770.1_OB04G19840.1	3.5742	0.4263	2.3921	1.0763	0.1193	0.0280	4.7310
OB01G16770.1_OB04G34630.1	3.5924	0.3545	2.4204	1.8495	0.0987	0.0266	4.7878
OB01G16770.1_OB06G25450.1	3.6163	0.2294	1.9943	1.3731	0.0634	0.0187	4.8637
OB01G16770.1_OB06G25460.1	3.0765	0.2542	1.8502	1.3258	0.0826	0.0200	2.3913
OB01G16770.1_OB06G25470.1	3.3148	0.1870	1.5128	1.4364	0.0564	0.0176	3.9932
OB01G16770.1_OB07G31690.1	3.6934	0.3580	2.5312	1.6267	0.0969	0.0256	5.1162
OB01G16770.1_OB07G31700.1	3.5987	0.3390	2.2764	1.8447	0.0942	0.0245	4.8078
OB01G16770.1_OB07G31710.1	3.6668	0.3327	2.4222	1.5405	0.0907	0.0244	5.0275
OB01G16770.1_OB07G31720.1	3.7139	0.3476	2.5688	1.7008	0.0936	0.0253	5.1855
OB01G16770.1_OB07G31730.1	3.7241	0.3636	2.6399	1.8786	0.0976	0.0263	5.2204
OB01G16770.1_OB07G31740.1	3.6859	0.3670	2.6496	1.9289	0.0996	0.0273	5.0911
OB01G16770.1_OB07G31750.1	3.5709	0.3753	2.2968	1.6163	0.1051	0.0260	4.7209
OB01G16770.1_OB10G10370.1	3.6665	0.4684	2.7157	0.8327	0.1277	0.0308	5.0266
OB01G16770.1_OB10G10380.1	3.9140	0.4548	3.3302	1.1755	0.1162	0.0310	5.9163
OB01G16770.1_OB11G10460.1	4.0465	0.4346	3.8149	1.9735	0.1074	0.0312	6.4570
OB01G16770.1_OB11G10490.1	3.7350	0.3403	2.5545	1.4852	0.0911	0.0245	5.2579
OB01G16780.1_OB06G25380.1	3.8427	0.3763	2.3120	1.5609	0.0979	0.0209	5.6445
OB01G16780.1_OB09G17000.1	3.7491	0.3789	2.5559	1.4228	0.1011	0.0252	5.3070
OB01G16830.1_OB01G16820.1	0.9010	0.2256	1.1950	2.1694	0.2504	0.0165	0.1115
OB01G16840.1_OB01G16820.1	4.1918	0.4045	3.4208	1.6674	0.0965	0.0239	7.1084
OB01G16840.1_OB01G16830.1	4.2441	0.3517	3.3568	1.4780	0.0829	0.0210	7.3586
OB01G16870.1_OB05G10510.1	1.2730	0.2473	1.3333	1.9308	0.1943	0.0197	0.2065
OB01G16900.1_OB01G40450.1	4.9373	0.1734	4.0848	2.4323	0.0351	0.0098	11.6575
OB01G16900.1_OB02G19200.1	4.8534	0.1481	3.5823	2.4086	0.0305	0.0088	11.0245
OB01G16900.1_OB08G20780.1	4.7291	0.1495	3.0499	2.3098	0.0316	0.0087	10.1511
OB01G16900.1_OB09G13500.1	4.8431	0.1638	3.5664	2.5134	0.0338	0.0093	10.9496
OB01G16930.1_OB02G29370.1	2.2101	0.3226	2.1861	1.2171	0.1460	0.0277	0.6718
OB01G16930.1_OB08G25390.1	3.8013	0.3437	3.1944	1.4338	0.0904	0.0289	5.4926
OB01G16930.1_OB11G22610.1	3.8361	0.3603	3.3411	1.3354	0.0939	0.0299	5.6200
OB01G16990.1_OB03G28050.1	1.0216	0.2349	1.0529	1.3350	0.2299	0.0279	0.3195
OB01G17050.1_OB06G25250.1	2.9513	0.3233	1.8051	1.0485	0.1095	0.0327	3.1556
OB01G17050.1_OB07G10980.1	2.8768	0.3570	1.8990	0.7582	0.1241	0.0378	3.0081
OB01G17050.1_OB07G11060.1	2.7942	0.3219	1.6881	0.9549	0.1152	0.0346	2.8533
OB01G17050.1_OB07G11070.1	3.0733	0.4864	2.3807	1.1076	0.1583	0.0437	3.4137
OB01G17050.1_OB07G11080.1	2.8906	0.3473	1.8931	0.7973	0.1201	0.0370	3.0350
OB01G17050.1_OB07G11090.1	99.0000	0.3303	34.4436	1.0196	0.0033	0.0357	-nan
OB01G17060.1_OB01G40340.1	4.4246	0.2707	3.9892	1.7876	0.0612	0.0184	8.2934
OB01G17060.1_OB07G13690.1	4.4523	0.4991	4.1459	1.0293	0.1121	0.0259	8.4470
OB01G17120.1_OB01G17090.1	1.0924	0.0693	0.5447	3.9559	0.0634	0.0074	0.2954
OB01G17150.1_OB02G19370.1	1.5633	0.2124	1.6765	1.3735	0.1359	0.0153	0.1925
OB01G17310.1_OB01G17360.1	3.4965	0.3565	1.9875	1.7332	0.1020	0.0233	4.4962
OB01G17310.1_OB02G19560.1	3.8976	0.4482	3.0522	1.5591	0.1150	0.0285	5.8524
OB01G17310.1_OB06G13450.1	99.0000	0.2662	27.8474	1.2652	0.0027	0.0189	0.0000
