gene1	gene2	spacer_genes
OB01G11590.1	OB01G11640.1	4
OB01G11590.1	OB01G11650.1	5
OB01G12200.1	OB01G12210.1	0
OB01G12200.1	OB01G12220.1	1
OB01G12200.1	OB01G12230.1	2
OB01G12200.1	OB01G12240.1	3
OB01G12210.1	OB01G12220.1	0
OB01G12210.1	OB01G12230.1	1
OB01G12210.1	OB01G12240.1	2
OB01G12220.1	OB01G12230.1	0
OB01G12220.1	OB01G12240.1	1
OB01G12230.1	OB01G12240.1	0
OB01G12270.1	OB01G12320.1	4
OB01G12290.1	OB01G12300.1	0
OB01G12330.1	OB01G12360.1	2
OB01G12330.1	OB01G12380.1	4
OB01G12330.1	OB01G12400.1	6
OB01G12340.1	OB01G12420.1	7
OB01G12350.1	OB01G12440.1	8
OB01G12360.1	OB01G12380.1	1
OB01G12360.1	OB01G12400.1	3
OB01G12360.1	OB01G12460.1	9
OB01G12380.1	OB01G12400.1	1
OB01G12380.1	OB01G12460.1	7
OB01G12400.1	OB01G12460.1	5
OB01G12800.1	OB01G12840.1	3
OB01G12810.1	OB01G12820.1	0
OB01G12810.1	OB01G12830.1	1
OB01G12820.1	OB01G12830.1	0
OB01G12940.1	OB01G13020.1	7
OB01G12940.1	OB01G13040.1	9
OB01G12970.1	OB01G13010.1	3
OB01G12970.1	OB01G13020.1	4
OB01G12970.1	OB01G13040.1	6
OB01G12990.1	OB01G13040.1	4
OB01G13010.1	OB01G13020.1	0
OB01G13010.1	OB01G13040.1	2
OB01G13020.1	OB01G13040.1	1
OB01G13180.1	OB01G13190.1	0
OB01G13310.1	OB01G13320.1	0
OB01G13310.1	OB01G13340.1	2
OB01G13320.1	OB01G13340.1	1
OB01G13330.1	OB01G13350.1	1
OB01G13380.1	OB01G13410.1	1
OB01G13380.1	OB01G13420.1	2
OB01G13380.1	OB01G13430.1	3
OB01G13380.1	OB01G13440.1	4
OB01G13390.1	OB01G13420.1	1
OB01G13390.1	OB01G13430.1	2
OB01G13390.1	OB01G13440.1	3
OB01G13410.1	OB01G13420.1	0
OB01G13410.1	OB01G13430.1	1
OB01G13410.1	OB01G13440.1	2
OB01G13420.1	OB01G13430.1	0
OB01G13420.1	OB01G13440.1	1
OB01G13430.1	OB01G13440.1	0
OB01G13560.1	OB01G13590.1	2
OB01G13720.1	OB01G13740.1	1
OB01G13990.1	OB01G14000.1	0
OB01G14110.1	OB01G14130.1	1
OB01G14690.1	OB01G14710.1	1
OB01G15320.1	OB01G15330.1	0
OB01G16290.1	OB01G16310.1	1
OB01G16820.1	OB01G16830.1	0
OB01G16820.1	OB01G16840.1	1
OB01G16830.1	OB01G16840.1	0
OB01G17090.1	OB01G17100.1	0
OB01G17090.1	OB01G17120.1	2
OB01G17100.1	OB01G17120.1	1
OB01G17310.1	OB01G17320.1	0
OB01G17310.1	OB01G17330.1	1
OB01G17310.1	OB01G17340.1	2
OB01G17310.1	OB01G17360.1	4
OB01G17310.1	OB01G17400.1	8
OB01G17310.1	OB01G17410.1	9
OB01G17320.1	OB01G17330.1	0
OB01G17320.1	OB01G17340.1	1
OB01G17320.1	OB01G17360.1	3
OB01G17320.1	OB01G17410.1	8
OB01G17330.1	OB01G17340.1	0
OB01G17330.1	OB01G17360.1	2
OB01G17330.1	OB01G17380.1	4
OB01G17330.1	OB01G17400.1	6
OB01G17330.1	OB01G17410.1	7
OB01G17340.1	OB01G17360.1	1
OB01G17340.1	OB01G17410.1	6
OB01G17360.1	OB01G17410.1	4
OB01G17380.1	OB01G17400.1	1
OB01G17450.1	OB01G17460.1	0
OB01G17610.1	OB01G17620.1	0
OB01G17900.1	OB01G17960.1	5
OB01G17900.1	OB01G17980.1	7
OB01G17900.1	OB01G17990.1	8
OB01G17920.1	OB01G17940.1	1
OB01G17960.1	OB01G17980.1	1
OB01G17960.1	OB01G17990.1	2
OB01G17980.1	OB01G17990.1	0
OB01G18110.1	OB01G18120.1	0
OB01G18400.1	OB01G18410.1	0
OB01G18650.1	OB01G18660.1	0
OB01G19060.1	OB01G19090.1	2
OB01G19250.1	OB01G19260.1	0
OB01G19250.1	OB01G19270.1	1
OB01G19250.1	OB01G19280.1	2
OB01G19250.1	OB01G19290.1	3
OB01G19260.1	OB01G19270.1	0
OB01G19260.1	OB01G19280.1	1
OB01G19260.1	OB01G19290.1	2
OB01G19260.1	OB01G19340.1	7
OB01G19270.1	OB01G19280.1	0
OB01G19270.1	OB01G19290.1	1
OB01G19280.1	OB01G19290.1	0
OB01G19280.1	OB01G19340.1	5
OB01G19290.1	OB01G19340.1	4
OB01G19510.1	OB01G19520.1	0
OB01G19540.1	OB01G19560.1	1
OB01G20000.1	OB01G20010.1	0
OB01G20080.1	OB01G20090.1	0
OB01G20140.1	OB01G20150.1	0
OB01G20140.1	OB01G20170.1	2
OB01G20150.1	OB01G20170.1	1
OB01G20330.1	OB01G20340.1	0
OB01G21130.1	OB01G21160.1	2
OB01G21750.1	OB01G21760.1	0
OB01G21850.1	OB01G21860.1	0
OB01G21880.1	OB01G21900.1	0
OB01G22060.1	OB01G22070.1	0
OB01G22060.1	OB01G22080.1	1
OB01G22070.1	OB01G22080.1	0
OB01G22090.1	OB01G22100.1	0
OB01G22200.1	OB01G22220.1	1
OB01G22400.1	OB01G22420.1	1
OB01G22950.1	OB01G22970.1	1
OB01G23210.1	OB01G23220.1	0
OB01G23250.1	OB01G23270.1	1
OB01G23380.1	OB01G23390.1	0
OB01G23380.1	OB01G23410.1	2
OB01G23390.1	OB01G23410.1	1
OB01G23390.1	OB01G23420.1	2
OB01G23410.1	OB01G23420.1	0
OB01G23480.1	OB01G23500.1	1
OB01G23600.1	OB01G23630.1	2
OB01G23670.1	OB01G23680.1	0
OB01G23710.1	OB01G23720.1	0
OB01G23740.1	OB01G23750.1	0
OB01G23890.1	OB01G23910.1	1
OB01G24170.1	OB01G24220.1	4
OB01G24280.1	OB01G24290.1	0
OB01G24280.1	OB01G24320.1	3
OB01G24290.1	OB01G24320.1	2
OB01G24450.1	OB01G24500.1	4
OB01G24590.1	OB01G24700.1	8
OB01G24650.1	OB01G24670.1	1
OB01G24900.1	OB01G24940.1	3
OB01G24900.1	OB01G24970.1	6
OB01G24940.1	OB01G24970.1	2
OB01G25010.1	OB01G25030.1	1
OB01G25010.1	OB01G25050.1	3
OB01G25030.1	OB01G25050.1	1
OB01G25150.1	OB01G25170.1	1
OB01G25390.1	OB01G25440.1	4
OB01G25720.1	OB01G25740.1	1
OB01G25990.1	OB01G26010.1	1
OB01G26040.1	OB01G26050.1	0
OB01G27070.1	OB01G27080.1	0
OB01G28040.1	OB01G28060.1	1
OB01G28150.1	OB01G28220.1	5
OB01G28160.1	OB01G28230.1	5
OB01G28430.1	OB01G28450.1	1
OB01G28700.1	OB01G28710.1	0
OB01G28700.1	OB01G28720.1	1
OB01G28710.1	OB01G28720.1	0
OB01G28880.1	OB01G28900.1	1
OB01G28880.1	OB01G28920.1	3
OB01G28900.1	OB01G28920.1	1
OB01G29190.1	OB01G29200.1	0
OB01G29340.1	OB01G29370.1	2
OB01G29340.1	OB01G29400.1	5
OB01G29340.1	OB01G29440.1	9
OB01G29370.1	OB01G29400.1	2
OB01G29370.1	OB01G29440.1	6
OB01G29390.1	OB01G29430.1	3
OB01G29390.1	OB01G29460.1	6
OB01G29400.1	OB01G29440.1	3
OB01G29400.1	OB01G29510.1	10
OB01G29430.1	OB01G29460.1	2
OB01G29440.1	OB01G29510.1	6
OB01G29580.1	OB01G29600.1	2
OB01G29580.1	OB01G29620.1	1
OB01G29600.1	OB01G29620.1	0
OB01G29690.1	OB01G29700.1	0
OB01G29720.1	OB01G29750.1	2
OB01G29720.1	OB01G29770.1	4
OB01G29720.1	OB01G29780.1	5
OB01G29720.1	OB01G29790.1	6
OB01G29760.1	OB01G29770.1	0
OB01G29760.1	OB01G29780.1	1
OB01G29760.1	OB01G29790.1	2
OB01G29760.1	OB01G29800.1	3
OB01G29770.1	OB01G29780.1	0
OB01G29770.1	OB01G29790.1	1
OB01G29770.1	OB01G29800.1	2
OB01G29780.1	OB01G29790.1	0
OB01G29780.1	OB01G29800.1	1
OB01G29790.1	OB01G29800.1	0
OB01G29980.1	OB01G29990.1	0
OB01G30240.1	OB01G30250.1	0
OB01G30850.1	OB01G30870.1	1
OB01G30880.1	OB01G30890.1	0
OB01G30880.1	OB01G30900.1	1
OB01G30890.1	OB01G30900.1	0
OB01G31100.1	OB01G31130.1	2
OB01G31100.1	OB01G31140.1	3
OB01G31110.1	OB01G31130.1	1
OB01G31110.1	OB01G31140.1	2
OB01G31130.1	OB01G31140.1	0
OB01G31550.1	OB01G31580.1	2
OB01G31550.1	OB01G31590.1	3
OB01G31760.1	OB01G31780.1	1
OB01G31760.1	OB01G31820.1	5
OB01G31780.1	OB01G31820.1	3
OB01G32160.1	OB01G32180.1	1
OB01G32260.1	OB01G32290.1	2
OB01G32390.1	OB01G32400.1	0
OB01G32460.1	OB01G32480.1	1
OB01G32730.1	OB01G32740.1	0
OB01G32870.1	OB01G32880.1	0
OB01G32870.1	OB01G32890.1	1
OB01G32870.1	OB01G32900.1	2
OB01G32870.1	OB01G32910.1	3
OB01G32870.1	OB01G32920.1	4
OB01G32870.1	OB01G32930.1	5
OB01G32880.1	OB01G32890.1	0
OB01G32880.1	OB01G32900.1	1
OB01G32880.1	OB01G32910.1	2
OB01G32880.1	OB01G32920.1	3
OB01G32880.1	OB01G32930.1	4
OB01G32890.1	OB01G32900.1	0
OB01G32890.1	OB01G32910.1	1
OB01G32890.1	OB01G32920.1	2
OB01G32890.1	OB01G32930.1	3
OB01G32900.1	OB01G32910.1	0
OB01G32900.1	OB01G32920.1	1
OB01G32900.1	OB01G32930.1	2
OB01G32910.1	OB01G32920.1	0
OB01G32910.1	OB01G32930.1	1
OB01G32920.1	OB01G32930.1	0
OB01G33340.1	OB01G33350.1	0
OB01G33410.1	OB01G33420.1	0
OB01G33830.1	OB01G33840.1	0
OB01G33870.1	OB01G33880.1	0
OB01G33870.1	OB01G33890.1	1
OB01G33870.1	OB01G33910.1	3
OB01G33870.1	OB01G33920.1	4
OB01G33870.1	OB01G33950.1	6
OB01G33880.1	OB01G33890.1	0
OB01G33880.1	OB01G33910.1	2
OB01G33880.1	OB01G33920.1	3
OB01G33880.1	OB01G33950.1	5
OB01G33890.1	OB01G33910.1	1
OB01G33890.1	OB01G33920.1	2
OB01G33890.1	OB01G33950.1	4
OB01G33910.1	OB01G33920.1	0
OB01G33910.1	OB01G33950.1	2
OB01G33920.1	OB01G33950.1	1
OB01G33940.1	OB01G33970.1	2
OB01G33940.1	OB01G34020.1	7
OB01G34050.1	OB01G34060.1	0
OB01G34210.1	OB01G34230.1	1
OB01G34530.1	OB01G34590.1	5
OB01G34530.1	OB01G34600.1	6
OB01G34590.1	OB01G34600.1	0
OB01G35090.1	OB01G35100.1	0
OB01G35090.1	OB01G35110.1	1
OB01G35090.1	OB01G35130.1	3
OB01G35090.1	OB01G35140.1	4
OB01G35090.1	OB01G35170.1	7
OB01G35090.1	OB01G35180.1	8
OB01G35100.1	OB01G35110.1	0
OB01G35100.1	OB01G35130.1	2
OB01G35100.1	OB01G35140.1	3
OB01G35100.1	OB01G35170.1	6
OB01G35100.1	OB01G35180.1	7
OB01G35110.1	OB01G35130.1	1
OB01G35110.1	OB01G35140.1	2
OB01G35110.1	OB01G35170.1	5
OB01G35110.1	OB01G35180.1	6
OB01G35130.1	OB01G35140.1	0
OB01G35130.1	OB01G35170.1	3
OB01G35130.1	OB01G35180.1	4
OB01G35140.1	OB01G35170.1	2
OB01G35140.1	OB01G35180.1	3
OB01G35170.1	OB01G35180.1	0
OB01G35240.1	OB01G35260.1	1
OB01G35570.1	OB01G35590.1	1
OB01G36300.1	OB01G36310.1	0
OB01G36320.1	OB01G36330.1	0
OB01G36450.1	OB01G36460.1	0
OB01G36560.1	OB01G36570.1	0
OB01G36680.1	OB01G36690.1	0
OB01G36680.1	OB01G36720.1	3
OB01G36680.1	OB01G36750.1	6
OB01G36690.1	OB01G36720.1	2
OB01G36690.1	OB01G36750.1	5
OB01G36720.1	OB01G36750.1	2
OB01G36850.1	OB01G36860.1	0
OB01G36850.1	OB01G36870.1	1
OB01G36860.1	OB01G36870.1	0
OB01G36870.1	OB01G36880.1	0
OB01G36920.1	OB01G36980.1	4
OB01G36930.1	OB01G36940.1	0
OB01G37870.1	OB01G37880.1	0
OB01G38150.1	OB01G38210.1	5
OB01G38150.1	OB01G38220.1	6
OB01G38210.1	OB01G38220.1	0
OB01G38430.1	OB01G38440.1	0
OB01G38650.1	OB01G38660.1	0
OB01G38880.1	OB01G38890.1	0
OB01G38880.1	OB01G38910.1	2
OB01G38880.1	OB01G38930.1	4
OB01G38880.1	OB01G38940.1	5
OB01G38880.1	OB01G38960.1	7
OB01G38880.1	OB01G38970.1	8
OB01G38890.1	OB01G38910.1	1
OB01G38890.1	OB01G38930.1	3
OB01G38890.1	OB01G38940.1	4
OB01G38890.1	OB01G38960.1	6
OB01G38890.1	OB01G38970.1	7
OB01G38910.1	OB01G38930.1	1
OB01G38910.1	OB01G38940.1	2
OB01G38910.1	OB01G38960.1	4
OB01G38910.1	OB01G38970.1	5
OB01G38920.1	OB01G38950.1	2
OB01G38930.1	OB01G38940.1	0
OB01G38930.1	OB01G38960.1	2
OB01G38930.1	OB01G38970.1	3
OB01G38940.1	OB01G38960.1	1
OB01G38940.1	OB01G38970.1	2
OB01G38960.1	OB01G38970.1	0
OB01G39280.1	OB01G39290.1	0
OB01G39280.1	OB01G39300.1	1
OB01G39290.1	OB01G39300.1	0
OB01G39530.1	OB01G39540.1	0
OB01G40550.1	OB01G40560.1	0
OB01G40700.1	OB01G40720.1	1
OB01G41690.1	OB01G41700.1	0
OB01G42150.1	OB01G42180.1	2
OB01G42470.1	OB01G42490.1	1
OB01G42520.1	OB01G42530.1	0
OB01G42520.1	OB01G42540.1	1
OB01G42530.1	OB01G42540.1	0
OB01G42570.1	OB01G42580.1	0
OB01G42570.1	OB01G42610.1	3
OB01G42580.1	OB01G42610.1	2
OB01G42590.1	OB01G42620.1	2
OB01G42810.1	OB01G42820.1	0
OB01G42890.1	OB01G42900.1	0
OB01G43050.1	OB01G43060.1	0
OB01G43100.1	OB01G43120.1	1
OB01G43100.1	OB01G43130.1	2
OB01G43100.1	OB01G43140.1	3
OB01G43120.1	OB01G43130.1	0
OB01G43120.1	OB01G43140.1	1
OB01G43130.1	OB01G43140.1	0
OB01G43210.1	OB01G43220.1	0
OB01G43440.1	OB01G43460.1	1
OB01G43440.1	OB01G43480.1	3
OB01G43440.1	OB01G43490.1	4
OB01G43460.1	OB01G43480.1	1
OB01G43460.1	OB01G43490.1	2
OB01G43480.1	OB01G43490.1	0
OB01G43670.1	OB01G43680.1	0
OB01G43920.1	OB01G43930.1	0
OB01G44820.1	OB01G44840.1	1
OB01G44830.1	OB01G44850.1	1
OB01G45210.1	OB01G45220.1	0
OB01G45430.1	OB01G45490.1	6
OB01G45630.1	OB01G45650.1	1
OB01G45650.1	OB01G45690.1	3
OB01G45840.1	OB01G45850.1	0
OB01G45920.1	OB01G45930.1	0
OB01G45920.1	OB01G45940.1	1
OB01G45930.1	OB01G45940.1	0
OB01G46130.1	OB01G46140.1	0
OB01G46130.1	OB01G46150.1	1
OB01G46140.1	OB01G46150.1	0
OB01G47010.1	OB01G47030.1	1
OB01G47500.1	OB01G47510.1	0
OB01G47500.1	OB01G47520.1	1
OB01G47500.1	OB01G47540.1	3
OB01G47500.1	OB01G47550.1	4
OB01G47510.1	OB01G47550.1	3
OB01G47540.1	OB01G47550.1	0
OB01G47790.1	OB01G47810.1	0
OB01G48000.1	OB01G48010.1	0
OB01G48210.1	OB01G48270.1	4
OB01G48890.1	OB01G48980.1	6
OB01G49090.1	OB01G49110.1	0
OB01G49690.1	OB01G49700.1	0
OB01G50260.1	OB01G50330.1	6
OB01G50370.1	OB01G50380.1	0
OB01G50650.1	OB01G50660.1	0
OB01G50850.1	OB01G50870.1	1
OB01G50850.1	OB01G50880.1	2
OB01G50850.1	OB01G50900.1	4
OB01G50850.1	OB01G50910.1	5
OB01G50870.1	OB01G50880.1	0
OB01G50870.1	OB01G50900.1	2
OB01G50870.1	OB01G50910.1	3
OB01G50880.1	OB01G50900.1	1
OB01G50880.1	OB01G50910.1	2
OB01G50900.1	OB01G50910.1	0
OB01G51450.1	OB01G51480.1	1
OB01G51450.1	OB01G51490.1	3
OB01G51480.1	OB01G51490.1	1
OB01G51680.1	OB01G51690.1	1
OB01G51680.1	OB01G51700.1	0
OB01G51690.1	OB01G51700.1	0
OB01G51810.1	OB01G51940.1	9
OB01G51920.1	OB01G51930.1	0
OB01G52080.1	OB01G52090.1	0
OB01G52080.1	OB01G52100.1	1
OB01G52090.1	OB01G52100.1	0
OB01G52210.1	OB01G52250.1	3
OB01G52300.1	OB01G52390.1	8
OB01G52360.1	OB01G52380.1	1
OB01G52360.1	OB01G52400.1	3
OB01G52380.1	OB01G52400.1	1
OB01G52390.1	OB01G52450.1	5
OB01G52390.1	OB01G52460.1	6
OB01G52390.1	OB01G52470.1	7
OB01G52430.1	OB01G52440.1	0
OB01G52450.1	OB01G52460.1	0
OB01G52450.1	OB01G52470.1	1
OB01G52460.1	OB01G52470.1	0
OB01G52650.1	OB01G52660.1	0
OB01G52650.1	OB01G52670.1	1
OB01G52650.1	OB01G52690.1	2
OB01G52650.1	OB01G52700.1	3
OB01G52650.1	OB01G52710.1	4
OB01G52660.1	OB01G52670.1	0
OB01G52660.1	OB01G52690.1	1
OB01G52660.1	OB01G52700.1	2
OB01G52660.1	OB01G52710.1	3
OB01G52670.1	OB01G52690.1	0
OB01G52670.1	OB01G52700.1	1
OB01G52670.1	OB01G52710.1	2
OB01G52670.1	OB01G52800.1	10
OB01G52690.1	OB01G52700.1	0
OB01G52690.1	OB01G52710.1	1
OB01G52690.1	OB01G52800.1	9
OB01G52700.1	OB01G52710.1	0
OB01G52700.1	OB01G52800.1	8
OB01G52710.1	OB01G52800.1	7
OB01G52730.1	OB01G52740.1	0
OB01G52730.1	OB01G52750.1	1
OB01G52730.1	OB01G52760.1	2
OB01G52740.1	OB01G52750.1	0
OB01G52740.1	OB01G52760.1	1
OB01G53040.1	OB01G53070.1	2
OB01G53040.1	OB01G53080.1	3
OB01G53040.1	OB01G53090.1	4
OB01G53050.1	OB01G53070.1	1
OB01G53050.1	OB01G53080.1	2
OB01G53050.1	OB01G53090.1	3
OB01G53070.1	OB01G53080.1	0
OB01G53070.1	OB01G53090.1	1
OB01G53080.1	OB01G53090.1	0
OB01G53210.1	OB01G53220.1	0
OB01G53350.1	OB01G53360.1	0
OB01G53430.1	OB01G53440.1	0
OB01G53430.1	OB01G53450.1	1
OB01G53440.1	OB01G53450.1	0
OB01G53580.1	OB01G53600.1	1
OB01G53730.1	OB01G53750.1	1
OB01G53790.1	OB01G53800.1	0
OB01G54060.1	OB01G54070.1	0
OB01G54060.1	OB01G54080.1	1
OB01G54060.1	OB01G54100.1	3
OB01G54070.1	OB01G54080.1	0
OB01G54070.1	OB01G54100.1	2
OB01G54080.1	OB01G54100.1	1
OB01G54390.1	OB01G54450.1	5
OB01G54400.1	OB01G54430.1	2
OB02G10150.1	OB02G10190.1	2
OB02G10340.1	OB02G10360.1	1
OB02G10340.1	OB02G10370.1	2
OB02G10360.1	OB02G10370.1	0
OB02G11000.1	OB02G11010.1	0
OB02G11230.1	OB02G11240.1	0
OB02G11450.1	OB02G11470.1	1
OB02G11460.1	OB02G11480.1	1
OB02G11660.1	OB02G11680.1	1
OB02G11740.1	OB02G11750.1	0
OB02G11810.1	OB02G11820.1	0
OB02G11840.1	OB02G11860.1	1
OB02G12500.1	OB02G12510.1	0
OB02G12600.1	OB02G12690.1	7
OB02G13500.1	OB02G13510.1	0
OB02G13500.1	OB02G13530.1	2
OB02G13500.1	OB02G13560.1	5
OB02G13500.1	OB02G13570.1	6
OB02G13500.1	OB02G13590.1	8
OB02G13500.1	OB02G13600.1	9
OB02G13500.1	OB02G13610.1	10
OB02G13510.1	OB02G13530.1	1
OB02G13510.1	OB02G13560.1	4
OB02G13510.1	OB02G13570.1	5
OB02G13530.1	OB02G13560.1	2
OB02G13530.1	OB02G13570.1	3
OB02G13530.1	OB02G13590.1	5
OB02G13530.1	OB02G13600.1	6
OB02G13530.1	OB02G13610.1	7
OB02G13560.1	OB02G13570.1	0
OB02G13560.1	OB02G13590.1	2
OB02G13560.1	OB02G13600.1	3
OB02G13560.1	OB02G13610.1	4
OB02G13560.1	OB02G13660.1	9
OB02G13560.1	OB02G13670.1	10
OB02G13570.1	OB02G13590.1	1
OB02G13570.1	OB02G13600.1	2
OB02G13570.1	OB02G13660.1	8
OB02G13570.1	OB02G13670.1	9
OB02G13590.1	OB02G13600.1	0
OB02G13590.1	OB02G13610.1	1
OB02G13590.1	OB02G13660.1	6
OB02G13590.1	OB02G13670.1	7
OB02G13590.1	OB02G13680.1	8
OB02G13590.1	OB02G13690.1	9
OB02G13600.1	OB02G13610.1	0
OB02G13600.1	OB02G13660.1	5
OB02G13600.1	OB02G13670.1	6
OB02G13600.1	OB02G13680.1	7
OB02G13600.1	OB02G13690.1	8
OB02G13610.1	OB02G13660.1	4
OB02G13610.1	OB02G13670.1	5
OB02G13610.1	OB02G13680.1	6
OB02G13610.1	OB02G13690.1	7
OB02G13660.1	OB02G13670.1	0
OB02G13660.1	OB02G13680.1	1
OB02G13660.1	OB02G13690.1	2
OB02G13670.1	OB02G13680.1	0
OB02G13670.1	OB02G13690.1	1
OB02G13680.1	OB02G13690.1	0
OB02G15290.1	OB02G15300.1	0
OB02G15430.1	OB02G15440.1	0
OB02G15610.1	OB02G15620.1	0
OB02G15730.1	OB02G15740.1	0
OB02G15730.1	OB02G15750.1	1
OB02G15730.1	OB02G15760.1	2
OB02G15730.1	OB02G15770.1	3
OB02G15730.1	OB02G15780.1	4
OB02G15730.1	OB02G15790.1	5
OB02G15740.1	OB02G15750.1	0
OB02G15740.1	OB02G15760.1	1
OB02G15740.1	OB02G15770.1	2
OB02G15740.1	OB02G15780.1	3
OB02G15740.1	OB02G15790.1	4
OB02G15740.1	OB02G15810.1	6
OB02G15740.1	OB02G15830.1	8
OB02G15740.1	OB02G15840.1	9
OB02G15750.1	OB02G15760.1	0
OB02G15750.1	OB02G15770.1	1
OB02G15750.1	OB02G15780.1	2
OB02G15750.1	OB02G15790.1	3
OB02G15750.1	OB02G15840.1	8
OB02G15760.1	OB02G15770.1	0
OB02G15760.1	OB02G15780.1	1
OB02G15760.1	OB02G15790.1	2
OB02G15760.1	OB02G15840.1	7
OB02G15770.1	OB02G15780.1	0
OB02G15770.1	OB02G15790.1	1
OB02G15770.1	OB02G15840.1	6
OB02G15780.1	OB02G15790.1	0
OB02G15780.1	OB02G15810.1	2
OB02G15780.1	OB02G15840.1	5
OB02G15780.1	OB02G15890.1	10
OB02G15790.1	OB02G15840.1	4
OB02G15790.1	OB02G15890.1	9
OB02G15810.1	OB02G15910.1	9
OB02G15840.1	OB02G15890.1	4
OB02G15840.1	OB02G15910.1	6
OB02G15890.1	OB02G15910.1	1
OB02G15890.1	OB02G15930.1	3
OB02G15910.1	OB02G15930.1	1
OB02G16240.1	OB02G16250.1	0
OB02G17370.1	OB02G17400.1	2
OB02G17380.1	OB02G17410.1	2
OB02G17550.1	OB02G17560.1	0
OB02G17550.1	OB02G17580.1	0
OB02G17560.1	OB02G17580.1	1
OB02G17670.1	OB02G17770.1	8
OB02G17900.1	OB02G17910.1	0
OB02G18280.1	OB02G18290.1	0
OB02G18440.1	OB02G18460.1	0
OB02G19000.1	OB02G19010.1	0
OB02G19060.1	OB02G19080.1	1
OB02G19060.1	OB02G19110.1	4
OB02G19070.1	OB02G19110.1	3
OB02G19080.1	OB02G19110.1	2
OB02G19400.1	OB02G19410.1	0
OB02G19490.1	OB02G19510.1	1
OB02G19760.1	OB02G19770.1	0
OB02G19830.1	OB02G19860.1	2
OB02G20280.1	OB02G20300.1	1
OB02G20360.1	OB02G20390.1	2
OB02G20360.1	OB02G20410.1	4
OB02G20700.1	OB02G20710.1	0
OB02G20720.1	OB02G20730.1	0
OB02G20880.1	OB02G20890.1	0
OB02G21120.1	OB02G21160.1	3
OB02G21150.1	OB02G21160.1	0
OB02G21230.1	OB02G21270.1	3
OB02G21490.1	OB02G21500.1	0
OB02G21710.1	OB02G21720.1	0
OB02G22090.1	OB02G22100.1	0
OB02G22120.1	OB02G22150.1	2
OB02G22410.1	OB02G22440.1	2
OB02G22470.1	OB02G22510.1	3
OB02G22500.1	OB02G22510.1	0
OB02G23070.1	OB02G23130.1	4
OB02G23240.1	OB02G23330.1	8
OB02G23340.1	OB02G23370.1	2
OB02G23380.1	OB02G23390.1	0
OB02G23520.1	OB02G23620.1	9
OB02G23540.1	OB02G23550.1	0
OB02G23900.1	OB02G23920.1	1
OB02G24360.1	OB02G24380.1	1
OB02G24840.1	OB02G24940.1	9
OB02G25370.1	OB02G25410.1	2
OB02G25410.1	OB02G25420.1	0
OB02G25770.1	OB02G25800.1	2
OB02G26740.1	OB02G26760.1	1
OB02G27030.1	OB02G27040.1	0
OB02G27820.1	OB02G27840.1	1
OB02G28460.1	OB02G28470.1	0
OB02G28460.1	OB02G28570.1	8
OB02G28470.1	OB02G28570.1	7
OB02G28760.1	OB02G28790.1	2
OB02G28760.1	OB02G28820.1	5
OB02G28770.1	OB02G28820.1	4
OB02G28780.1	OB02G28830.1	4
OB02G28790.1	OB02G28820.1	2
OB02G28840.1	OB02G28850.1	0
OB02G28950.1	OB02G28970.1	1
OB02G29210.1	OB02G29220.1	0
OB02G29210.1	OB02G29230.1	1
OB02G29220.1	OB02G29230.1	0
OB02G29640.1	OB02G29650.1	0
